ticker,asset_class,region,group_tag,currency,benchmark_group,is_core_hedge
005930.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N
000660.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N
005380.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N
000270.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N
035420.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N
035720.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N
207940.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N
068270.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N
051910.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N
006400.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N
066570.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N
105560.KS,kr_stock,KR,financial,KRW,KOSPI200,N
055550.KS,kr_stock,KR,financial,KRW,KOSPI200,N
005490.KS,kr_stock,KR,materials,KRW,KOSPI200,N
032830.KS,kr_stock,KR,financial,KRW,KOSPI200,N
034020.KS,kr_stock,KR,industrial,KRW,KOSPI200,N
003670.KS,kr_stock,KR,battery_material,KRW,KOSPI200,N
011200.KS,kr_stock,KR,shipping,KRW,KOSPI200,N
017670.KS,kr_stock,KR,telecom,KRW,KOSPI200,N
000810.KS,kr_stock,KR,insurance,KRW,KOSPI200,N
AAPL,us_stock,US,large_cap,USD,SP500,N
MSFT,us_stock,US,large_cap,USD,SP500,N
NVDA,us_stock,US,large_cap,USD,SP500,N
AMZN,us_stock,US,large_cap,USD,SP500,N
GOOGL,us_stock,US,large_cap,USD,SP500,N
META,us_stock,US,large_cap,USD,SP500,N
TSLA,us_stock,US,large_cap,USD,SP500,N
BRK-B,us_stock,US,large_cap,USD,SP500,N
JPM,us_stock,US,financial,USD,SP500,N
V,us_stock,US,financial,USD,SP500,N
MA,us_stock,US,financial,USD,SP500,N
XOM,us_stock,US,energy,USD,SP500,N
JNJ,us_stock,US,defensive,USD,SP500,N
UNH,us_stock,US,defensive,USD,SP500,N
PG,us_stock,US,defensive,USD,SP500,N
KO,us_stock,US,defensive,USD,SP500,N
HD,us_stock,US,consumer,USD,SP500,N
AVGO,us_stock,US,semiconductor,USD,SP500,N
COST,us_stock,US,consumer,USD,SP500,N
PFE,us_stock,US,defensive,USD,SP500,N
SPY,etf,US,equity_index,USD,SP500,N
QQQ,etf,US,equity_index,USD,NASDAQ100,N
DIA,etf,US,equity_index,USD,DOW30,N
IWM,etf,US,equity_index,USD,RUSSELL2000,N
VTI,etf,US,equity_index,USD,US_TOTAL_MARKET,N
VXUS,etf,GLOBAL,equity_index,USD,GLOBAL_EX_US,N
EWY,etf,KR,country_etf,USD,KOREA_EQ,N
EFA,etf,GLOBAL,equity_index,USD,DEVELOPED_EX_US,N
TLT,bond_etf,US,bond_duration,USD,US_TREASURY,Y
IEF,bond_etf,US,bond_duration,USD,US_TREASURY,Y
SHY,bond_etf,US,bond_duration,USD,US_TREASURY,Y
LQD,bond_etf,US,credit_bond,USD,US_IG_CORP,Y
HYG,bond_etf,US,credit_bond,USD,US_HY_CORP,N
TIP,bond_etf,US,inflation_linked,USD,US_TIPS,Y
GLD,gold_etf,US,precious_metal,USD,GOLD,Y
IAU,gold_etf,US,precious_metal,USD,GOLD,Y
DBC,commodity_etf,US,broad_commodity,USD,COMMODITY,Y
USO,commodity_etf,US,oil,USD,ENERGY,Y
XLE,etf,US,energy_sector,USD,SP500_SECTOR,Y
XLP,etf,US,defensive_sector,USD,SP500_SECTOR,Y
XLU,etf,US,defensive_sector,USD,SP500_SECTOR,Y
XLV,etf,US,defensive_sector,USD,SP500_SECTOR,Y
ITA,etf,US,defense_sector,USD,AEROSPACE_DEFENSE,N
PPA,etf,US,defense_sector,USD,AEROSPACE_DEFENSE,N
VNQ,etf,US,reit,USD,US_REIT,N
BTC-USD,crypto,CRYPTO,large_cap,USD,CRYPTO_MARKET,Y
ETH-USD,crypto,CRYPTO,large_cap,USD,CRYPTO_MARKET,Y
BNB-USD,crypto,CRYPTO,large_cap,USD,CRYPTO_MARKET,N
SOL-USD,crypto,CRYPTO,large_cap,USD,CRYPTO_MARKET,N
XRP-USD,crypto,CRYPTO,large_cap,USD,CRYPTO_MARKET,N
