ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
000270.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.049609,low,-0.049609,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.049609
000270.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.048618,low,-0.048618,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.048618
000270.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.271043,low,-0.271043,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.271043
000270.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.654477,high,0.654477,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.654477
000270.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.001682,medium,-0.001682,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.001682
000660.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.026848,low,-0.026848,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.026848
000660.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.062254,low,0.062254,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=0.062254
000660.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.365157,medium,-0.365157,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.365157
000660.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.892238,high,0.892238,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.892238
000660.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.003018,high,-0.003018,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.003018
