ticker,asset_class,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,data_version
000270.KS,kr_stock,0.338447,-0.23932,-0.032181,-0.057539,0.079405,0.106758,-0.011184,,-0.00204,262426812891.66666,20260305
000660.KS,kr_stock,0.443392,-0.24089,-0.051257,-0.07773,0.178312,0.240347,0.006561,,-0.004497,3353244317608.998,20260305
000810.KS,kr_stock,0.382423,-0.257143,-0.03706,-0.066942,-0.004966,0.024832,0.083882,,-0.005662,54570272733.333336,20260305
003670.KS,kr_stock,0.580488,-0.345752,-0.049572,-0.072351,0.147614,0.022805,-0.122687,,-0.002906,105245133870.0,20260305
005380.KS,kr_stock,0.356653,-0.256677,-0.037688,-0.060738,0.082995,0.168855,-0.031369,,-0.00639,1196175090481.8494,20260305
005490.KS,kr_stock,0.409182,-0.296687,-0.034247,-0.059058,0.096937,0.087962,-0.200908,,-0.007222,215844842950.0,20260305
005930.KS,kr_stock,0.297577,-0.210092,-0.032992,-0.057217,0.099084,0.100662,-0.071153,,-0.003496,4492373361276.708,20260305
006400.KS,kr_stock,0.447226,-0.351417,-0.048586,-0.069722,0.060964,-0.003607,-0.085755,,-0.006329,350625906591.6667,20260305
011200.KS,kr_stock,0.475634,-0.280925,-0.030998,-0.053398,-0.076752,-0.241269,-0.346537,,-0.00616,47261399452.06631,20260305
017670.KS,kr_stock,0.253592,-0.187283,-0.017856,-0.045438,-0.046379,-0.017013,-0.342473,,-0.000104,88826612576.66667,20260305
032830.KS,kr_stock,0.33858,-0.267662,-0.035596,-0.052111,0.00527,-0.036893,-0.174795,,-0.002697,68234245109.65677,20260305
034020.KS,kr_stock,0.550912,-0.308208,-0.057748,-0.081449,0.216981,0.245265,-0.01412,,-0.009901,602514056725.0,20260305
035420.KS,kr_stock,0.366035,-0.276472,-0.043743,-0.060212,0.066162,0.16768,-0.060649,,-0.009246,358191752952.2401,20260305
035720.KS,kr_stock,0.418377,-0.331676,-0.038458,-0.066563,0.09528,0.155425,-0.175749,,-0.012874,170570568655.0,20260305
051910.KS,kr_stock,0.451695,-0.32691,-0.044463,-0.073722,0.115481,0.028772,-0.073503,,-0.008537,125971924675.0,20260305
055550.KS,kr_stock,0.29362,-0.15501,-0.026715,-0.038815,0.048729,-0.019674,-0.223144,,-0.003682,125396406233.3509,20260305
066570.KS,kr_stock,0.369785,-0.256987,-0.034416,-0.057917,0.135844,0.19786,-0.06393,,-0.010152,191297310710.0,20260305
068270.KS,kr_stock,0.372776,-0.205634,-0.032038,-0.048511,-0.061799,-0.199975,-0.03742,,-0.009462,164442068481.6315,20260305
105560.KS,kr_stock,0.342412,-0.176359,-0.034217,-0.050839,0.095212,0.054842,0.02438,,-0.006318,166848278725.6116,20260305
207940.KS,kr_stock,0.297958,-0.228499,-0.032025,-0.052967,0.018813,-0.17127,-0.171224,,-0.007271,102212506483.33333,20260305
AAPL,us_stock,0.27758,-0.278789,-0.032189,-0.046464,1.234862,1.226265,0.438956,,-0.014076,12614538681.77585,20260305
AMZN,us_stock,0.35228,-0.217362,-0.031393,-0.049143,1.470155,1.67845,0.462334,,-0.013713,10585010264.390816,20260305
AVGO,us_stock,0.425246,-0.252635,-0.042346,-0.062374,1.621921,1.498769,0.583039,,-0.008136,10540661797.824038,20260305
BNB-USD,crypto,0.59365,-0.554188,-0.040992,-0.072753,1.194296,1.284999,0.553015,,-0.005014,1700401711043.6912,20260305
BRK-B,us_stock,0.174184,-0.149481,-0.015588,-0.028076,0.636547,0.65377,-0.031479,,-0.006458,2377232789.367372,20260305
BTC-USD,crypto,0.470536,-0.497388,-0.037334,-0.056444,1.210538,1.373041,0.623953,,-0.008213,3655100929146573.5,20260305
COST,us_stock,0.226227,-0.193469,-0.022345,-0.034574,0.755781,0.802001,0.073325,,-0.013966,2409282547.700171,20260305
DBC,commodity_etf,0.189628,-0.109934,-0.014083,-0.026428,0.262086,0.362746,0.169729,,-0.003871,17206152.855428,20260305
DIA,etf,0.147,-0.12375,-0.014966,-0.0235,0.792032,0.789322,0.830411,,-0.008,3015310401.917216,20260305
EFA,etf,0.160996,-0.140535,-0.013482,-0.02335,0.758593,0.691109,0.716832,,-0.006828,2157006471.444639,20260305
ETH-USD,crypto,0.636302,-0.622945,-0.056877,-0.083325,1.681967,1.857731,0.646598,,-0.012928,65359590636393.695,20260305
EWY,etf,0.253995,-0.154522,-0.027332,-0.040139,0.924151,0.844073,0.50321,,-0.007742,1622436913.745645,20260305
GLD,gold_etf,0.172612,-0.138677,-0.021239,-0.039432,0.123714,0.071473,0.168857,,-0.002934,7987396420.015767,20260305
GOOGL,us_stock,0.307973,-0.166763,-0.024267,-0.037269,1.235868,1.221986,0.420085,,-0.010121,10833303861.8219,20260305
HD,us_stock,0.236729,-0.215011,-0.020355,-0.030749,0.830829,0.743608,0.207983,,-0.008107,1590742964.824971,20260305
HYG,bond_etf,0.074914,-0.043977,-0.00389,-0.007537,0.330636,0.326188,0.643962,,-0.003893,3112933312.934746,20260305
IAU,gold_etf,0.172147,-0.137836,-0.021209,-0.039044,0.123465,0.076653,0.16721,,-0.002915,1352814080.124786,20260305
IEF,bond_etf,0.077021,-0.032162,-0.005377,-0.006826,0.030514,-0.01253,-0.094922,,-0.001155,851024883.709566,20260305
ITA,etf,0.197011,-0.151661,-0.01962,-0.029378,0.804532,0.833809,0.525504,,-0.009061,214564563.160294,20260305
IWM,etf,0.22757,-0.16298,-0.019957,-0.030053,1.123025,1.050507,0.779164,,-0.009653,9926193763.317781,20260305
JNJ,us_stock,0.167158,-0.127251,-0.015043,-0.02593,0.201176,0.219391,-0.101472,,-0.000999,1971033209.408106,20260305
JPM,us_stock,0.243626,-0.158847,-0.023412,-0.040399,0.89075,0.875778,0.526941,,-0.007284,3355484592.972175,20260305
KO,us_stock,0.158521,-0.098185,-0.015173,-0.019821,0.303545,0.360367,-0.263458,,-0.006453,1342286087.931268,20260305
LQD,bond_etf,0.086689,-0.033789,-0.005497,-0.009187,0.182852,0.13275,0.235153,,-0.003137,3512277765.702201,20260305
MA,us_stock,0.239622,-0.169509,-0.021042,-0.037057,0.945352,0.963076,0.273791,,-0.009551,1998942482.675577,20260305
META,us_stock,0.435517,-0.261061,-0.031436,-0.052085,1.584398,1.55126,0.370578,,-0.013797,9960302397.682173,20260305
MSFT,us_stock,0.262202,-0.287788,-0.024461,-0.036936,1.1429,1.097683,0.323222,,-0.008874,14370510954.03707,20260305
NVDA,us_stock,0.520231,-0.224871,-0.040514,-0.055614,2.144653,2.0133,0.671975,,-0.015901,32065039224.514378,20260305
PFE,us_stock,0.253452,-0.192293,-0.028435,-0.036308,0.410443,0.526048,0.31013,,-0.001609,1210822440.398783,20260305
PG,us_stock,0.174592,-0.20102,-0.019005,-0.027181,0.296996,0.33418,-0.28698,,-0.008611,1676082429.307912,20260305
PPA,etf,0.18119,-0.13065,-0.017649,-0.027423,0.797051,0.794079,0.543126,,-0.008736,46698585.099934,20260305
QQQ,etf,0.225546,-0.169976,-0.020316,-0.032774,1.254612,1.230761,0.933196,,-0.011529,35588258420.228676,20260305
SHY,bond_etf,0.019566,-0.007253,-0.00109,-0.001784,0.007884,0.000566,-0.202589,,-0.000246,351539794.160588,20260305
SOL-USD,crypto,0.895923,-0.686019,-0.060406,-0.090399,1.959546,1.924209,0.615464,,-0.017215,501731876708.9885,20260305
SPY,etf,0.170349,-0.145931,-0.01599,-0.027648,1.0,1.0,1.0,,-0.009531,55387439347.234276,20260305
TIP,bond_etf,0.062772,-0.027395,-0.003624,-0.006047,0.070211,0.041592,0.030349,,-0.001764,288642451.658175,20260305
TLT,bond_etf,0.159723,-0.092311,-0.010283,-0.015879,0.059462,0.013429,0.056369,,-0.002698,3283056299.376391,20260305
TSLA,us_stock,0.600815,-0.230027,-0.052324,-0.078532,2.010982,1.94969,0.514344,,-0.020332,28448200715.05343,20260305
UNH,us_stock,0.311229,-0.600551,-0.033022,-0.091284,0.426423,0.432408,0.073109,,-0.004301,2700516754.365692,20260305
USO,commodity_etf,0.334865,-0.203922,-0.028357,-0.045544,0.343453,0.597228,-0.004244,,-0.005421,687957121.739588,20260305
V,us_stock,0.226233,-0.174139,-0.023217,-0.037219,0.854133,0.851982,0.311991,,-0.008284,2545785899.461011,20260305
VNQ,etf,0.188099,-0.145088,-0.01748,-0.025717,0.755007,0.780156,0.273783,,-0.011165,368526355.756237,20260305
VTI,etf,0.174222,-0.148749,-0.016249,-0.027591,1.017758,1.014314,0.994846,,-0.009727,2003431230.229448,20260305
VXUS,etf,0.156218,-0.1358,-0.013054,-0.022975,0.737714,0.688039,0.730889,,-0.00687,753038378.156154,20260305
XLE,etf,0.262599,-0.187932,-0.019396,-0.037307,0.691484,0.914329,0.085066,,-0.004715,2454652364.216464,20260305
XLP,etf,0.131649,-0.085331,-0.011609,-0.017813,0.405886,0.451584,-0.083536,,-0.00764,1637437642.475622,20260305
XLU,etf,0.171706,-0.091848,-0.014406,-0.02158,0.471705,0.490203,0.104233,,-0.007554,1108665291.225333,20260305
XLV,etf,0.145171,-0.136369,-0.016656,-0.02584,0.564116,0.580614,0.293639,,-0.005677,1972259894.761849,20260305
XOM,us_stock,0.26714,-0.160534,-0.02478,-0.036005,0.522583,0.68329,0.020854,,-0.003918,2636465943.23017,20260305
XRP-USD,crypto,0.816339,-0.658717,-0.053751,-0.083932,1.493286,1.401568,0.582687,,-0.007712,6146023756.087397,20260305
