ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,avg_stress_ret_krw,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
000270.KS,kr_stock,KRW,0.340279,-0.25534,-0.033481,-0.061262,-0.044706,-0.03969,-0.251433,0.649357,-0.001682,265322758010.0,0.340279,-0.25534,-0.033481,-0.061262,-0.044706,-0.03969,-0.251433,0.649357,-0.001682,0.788941,1.703896,20260310
000660.KS,kr_stock,KRW,0.445137,-0.239308,-0.055407,-0.080837,-0.014646,0.084367,-0.327728,0.885399,-0.003018,3477800200554.473,0.445137,-0.239308,-0.055407,-0.080837,-0.014646,0.084367,-0.327728,0.885399,-0.003018,3.421381,5.678046,20260310
000810.KS,kr_stock,KRW,0.382385,-0.257143,-0.038341,-0.067438,-0.076001,-0.051752,-0.033801,0.247677,-0.00137,54726546908.333336,0.382385,-0.257143,-0.038341,-0.067438,-0.076001,-0.051752,-0.033801,0.247677,-0.00137,0.292593,0.490484,20260310
003670.KS,kr_stock,KRW,0.581101,-0.345752,-0.050673,-0.073154,-0.08789,-0.101476,-0.438046,0.680797,-0.009845,106394684595.0,0.581101,-0.345752,-0.050673,-0.073154,-0.08789,-0.101476,-0.438046,0.680797,-0.009845,0.420728,0.593978,20260310
005380.KS,kr_stock,KRW,0.358109,-0.256677,-0.038039,-0.064211,-0.043236,0.053404,-0.208693,0.58609,-0.002556,1201743539045.4985,0.358109,-0.256677,-0.038039,-0.064211,-0.043236,0.053404,-0.208693,0.58609,-0.002556,1.714075,3.073853,20260310
005490.KS,kr_stock,KRW,0.409638,-0.296687,-0.035524,-0.060229,-0.082698,-0.118975,-0.364318,0.648851,-0.006627,218483301390.4823,0.409638,-0.296687,-0.035524,-0.060229,-0.082698,-0.118975,-0.364318,0.648851,-0.006627,0.25367,0.497232,20260310
005930.KS,kr_stock,KRW,0.300389,-0.210092,-0.034219,-0.060643,-0.064863,-0.014347,-0.439895,0.941024,-0.005609,4691196289370.904,0.300389,-0.210092,-0.034219,-0.060643,-0.064863,-0.014347,-0.439895,0.941024,-0.005609,2.250766,4.942787,20260310
006400.KS,kr_stock,KRW,0.447816,-0.351417,-0.048991,-0.06999,-0.134628,-0.124011,-0.395423,0.667039,-0.008172,359224821358.3333,0.447816,-0.351417,-0.048991,-0.06999,-0.134628,-0.124011,-0.395423,0.667039,-0.008172,0.712743,1.158154,20260310
011200.KS,kr_stock,KRW,0.47408,-0.280925,-0.030998,-0.053398,-0.183136,-0.188137,-0.375028,0.279061,-0.004006,48318770023.27367,0.47408,-0.280925,-0.030998,-0.053398,-0.183136,-0.188137,-0.375028,0.279061,-0.004006,0.178191,0.350355,20260310
017670.KS,kr_stock,KRW,0.253156,-0.187283,-0.018505,-0.045438,-0.10576,0.044039,-0.518941,0.548826,-0.000498,90543357253.33333,0.253156,-0.187283,-0.018505,-0.045438,-0.10576,0.044039,-0.518941,0.548826,-0.000498,0.370369,1.000763,20260310
032830.KS,kr_stock,KRW,0.338627,-0.197154,-0.033362,-0.050228,-0.088436,-0.065475,-0.402432,0.684587,-0.003578,68881990558.82578,0.338627,-0.197154,-0.033362,-0.050228,-0.088436,-0.065475,-0.402432,0.684587,-0.003578,1.369646,3.066212,20260310
034020.KS,kr_stock,KRW,0.550945,-0.269027,-0.057748,-0.081449,-0.036578,0.166748,-0.272588,0.74119,-0.005263,627129458818.3334,0.550945,-0.269027,-0.057748,-0.081449,-0.036578,0.166748,-0.272588,0.74119,-0.005263,2.481865,3.716493,20260310
035420.KS,kr_stock,KRW,0.365863,-0.276472,-0.043743,-0.060212,-0.080816,0.015752,-0.323469,0.629906,-0.006767,360752263637.0286,0.365863,-0.276472,-0.043743,-0.060212,-0.080816,0.015752,-0.323469,0.629906,-0.006767,-0.020405,-0.109223,20260310
035720.KS,kr_stock,KRW,0.419653,-0.331676,-0.039157,-0.068055,-0.099906,-0.020239,-0.449982,0.740009,-0.009048,169938637543.8797,0.419653,-0.331676,-0.039157,-0.068055,-0.099906,-0.020239,-0.449982,0.740009,-0.009048,0.286946,0.483668,20260310
051910.KS,kr_stock,KRW,0.450865,-0.32691,-0.046008,-0.076497,-0.073941,-0.050479,-0.318392,0.686411,-0.007061,128102625816.66667,0.450865,-0.32691,-0.046008,-0.076497,-0.073941,-0.050479,-0.318392,0.686411,-0.007061,0.229671,0.356716,20260310
055550.KS,kr_stock,KRW,0.293461,-0.161671,-0.027039,-0.039525,-0.062777,-0.071402,-0.325101,0.586931,-0.00497,128650086849.11372,0.293461,-0.161671,-0.027039,-0.039525,-0.062777,-0.071402,-0.325101,0.586931,-0.00497,0.916883,2.696639,20260310
066570.KS,kr_stock,KRW,0.369417,-0.256987,-0.034778,-0.058255,-0.006086,0.103834,-0.248669,0.565978,-0.006067,188659921418.33334,0.369417,-0.256987,-0.034778,-0.058255,-0.006086,0.103834,-0.248669,0.565978,-0.006067,0.399822,0.786688,20260310
068270.KS,kr_stock,KRW,0.370447,-0.205634,-0.032667,-0.049117,-0.126769,-0.119648,-0.295001,0.656125,-0.001792,165921600287.08203,0.370447,-0.205634,-0.032667,-0.049117,-0.126769,-0.119648,-0.295001,0.656125,-0.001792,0.198484,0.459676,20260310
105560.KS,kr_stock,KRW,0.342365,-0.176359,-0.034217,-0.050839,-0.040561,-0.032224,-0.19335,0.651299,-0.004102,168823654159.51797,0.342365,-0.176359,-0.034217,-0.050839,-0.040561,-0.032224,-0.19335,0.651299,-0.004102,0.846442,2.187801,20260310
207940.KS,kr_stock,KRW,0.297667,-0.228499,-0.033445,-0.053442,-0.074057,-0.232018,-0.438502,0.645929,-0.001544,102273046316.66667,0.297667,-0.228499,-0.033445,-0.053442,-0.074057,-0.232018,-0.438502,0.645929,-0.001544,-0.110139,-0.404213,20260310
AAPL,us_stock,USD,0.283117,-0.25903,-0.032886,-0.050266,1.206118,1.256876,0.602129,-0.381722,0.000211,18620098625099.355,0.283117,-0.25903,-0.032886,-0.050266,1.206118,1.256876,0.602129,-0.381722,0.000211,0.14054,0.333733,20260310
AMZN,us_stock,USD,0.355707,-0.211379,-0.033416,-0.050219,1.400729,1.55363,0.549021,-0.258232,0.001419,15855103513609.855,0.355707,-0.211379,-0.033416,-0.050219,1.400729,1.55363,0.549021,-0.258232,0.001419,0.093847,0.175039,20260310
AVGO,us_stock,USD,0.427746,-0.263454,-0.041833,-0.061772,1.532058,1.526495,0.568773,-0.171164,0.001733,15800063432163.28,0.427746,-0.263454,-0.041833,-0.061772,1.532058,1.526495,0.568773,-0.171164,0.001733,0.99918,1.963379,20260310
BNB-USD,crypto,USD,0.589002,-0.547629,-0.041879,-0.072363,1.056237,1.087853,0.576097,-0.104401,0.009049,2350381067827938.5,0.589002,-0.547629,-0.041879,-0.072363,1.056237,1.087853,0.576097,-0.104401,0.009049,0.067228,0.075218,20260310
BRK-B,us_stock,USD,0.19263,-0.194209,-0.01873,-0.035583,0.724752,0.74827,0.310172,-0.310704,0.001755,3545338493919.2837,0.19263,-0.194209,-0.01873,-0.035583,0.724752,0.74827,0.310172,-0.310704,0.001755,0.026993,-0.014057,20260310
BTC-USD,crypto,USD,0.4708,-0.479496,-0.036802,-0.0553,1.100287,1.008567,0.643946,-0.192716,0.007618,5.111255609833141e+18,0.4708,-0.479496,-0.036802,-0.0553,1.100287,1.008567,0.643946,-0.192716,0.007618,-0.287334,-0.814138,20260310
COST,us_stock,USD,0.242153,-0.149391,-0.025904,-0.036998,0.841488,0.902494,0.465681,-0.356095,-0.000411,3592778535499.5244,0.242153,-0.149391,-0.025904,-0.036998,0.841488,0.902494,0.465681,-0.356095,-0.000411,0.011097,-0.078558,20260310
DBC,commodity_etf,USD,0.209772,-0.145722,-0.016677,-0.030896,0.40495,0.604832,0.343664,-0.013682,-0.002503,31566453060.943737,0.209772,-0.145722,-0.016677,-0.030896,0.40495,0.604832,0.343664,-0.013682,-0.002503,0.325725,1.433695,20260310
DIA,etf,USD,0.163448,-0.130646,-0.019458,-0.029796,0.839032,0.824833,0.910542,-0.44323,-3.1e-05,4577122913849.333,0.163448,-0.130646,-0.019458,-0.029796,0.839032,0.824833,0.910542,-0.44323,-3.1e-05,0.171527,0.749651,20260310
EFA,etf,USD,0.167748,-0.127408,-0.015628,-0.027585,0.76465,0.737732,0.830195,-0.338449,0.00087,3294318284963.3545,0.167748,-0.127408,-0.015628,-0.027585,0.76465,0.737732,0.830195,-0.338449,0.00087,0.261756,1.305641,20260310
ETH-USD,crypto,USD,0.633382,-0.606647,-0.057294,-0.08163,1.447582,1.445446,0.609885,-0.122794,0.006639,9.027824383557546e+16,0.633382,-0.606647,-0.057294,-0.08163,1.447582,1.445446,0.609885,-0.122794,0.006639,-0.104198,-0.219014,20260310
EWY,etf,USD,0.248085,-0.152832,-0.026336,-0.04189,0.818751,0.811642,0.535981,0.010288,-0.003603,2767782813922.5483,0.248085,-0.152832,-0.026336,-0.04189,0.818751,0.811642,0.535981,0.010288,-0.003603,1.562314,4.793146,20260310
GLD,gold_etf,USD,0.184155,-0.126908,-0.024507,-0.038779,0.226887,0.26248,0.244383,0.081078,-0.000407,11765093111755.934,0.184155,-0.126908,-0.024507,-0.038779,0.226887,0.26248,0.244383,0.081078,-0.000407,0.811407,2.94454,20260310
GOOGL,us_stock,USD,0.309966,-0.164275,-0.026502,-0.037909,1.173746,1.113272,0.611694,-0.320698,0.000463,15857433132592.557,0.309966,-0.164275,-0.026502,-0.037909,1.173746,1.113272,0.611694,-0.320698,0.000463,0.836328,2.613201,20260310
HD,us_stock,USD,0.244282,-0.171883,-0.02335,-0.034178,0.849284,0.741933,0.470792,-0.264223,-0.000149,2322438055553.347,0.244282,-0.171883,-0.02335,-0.034178,0.849284,0.741933,0.470792,-0.264223,-0.000149,-0.023825,-0.217629,20260310
HYG,bond_etf,USD,0.10922,-0.066391,-0.010051,-0.017654,0.447682,0.434034,0.796435,-0.597361,0.000296,4839175510038.411,0.10922,-0.066391,-0.010051,-0.017654,0.447682,0.434034,0.796435,-0.597361,0.000296,0.096185,0.609727,20260310
IAU,gold_etf,USD,0.183637,-0.126055,-0.024314,-0.038524,0.226377,0.263431,0.243067,0.079468,-0.000411,2014882325045.7766,0.183637,-0.126055,-0.024314,-0.038524,0.226377,0.263431,0.243067,0.079468,-0.000411,0.813748,2.972472,20260310
IEF,bond_etf,USD,0.11459,-0.096275,-0.008366,-0.017049,0.195476,0.147527,0.627419,-0.561768,4.2e-05,1261955140466.467,0.11459,-0.096275,-0.008366,-0.017049,0.195476,0.147527,0.627419,-0.561768,4.2e-05,0.089887,0.562536,20260310
ITA,etf,USD,0.210629,-0.160681,-0.021588,-0.03571,0.855086,0.855744,0.707682,-0.152859,0.000838,336288444154.70123,0.210629,-0.160681,-0.021588,-0.03571,0.855086,0.855744,0.707682,-0.152859,0.000838,0.675847,2.617721,20260310
IWM,etf,USD,0.233338,-0.150828,-0.022757,-0.036274,1.09653,1.027602,0.871225,-0.305792,0.000445,15168057084988.545,0.233338,-0.150828,-0.022757,-0.036274,1.09653,1.027602,0.871225,-0.305792,0.000445,0.284754,1.028088,20260310
JNJ,us_stock,USD,0.191333,-0.156213,-0.017329,-0.031912,0.371406,0.341127,0.360659,-0.341374,0.000279,2924883234117.1196,0.191333,-0.156213,-0.017329,-0.031912,0.371406,0.341127,0.360659,-0.341374,0.000279,0.546219,2.434751,20260310
JPM,us_stock,USD,0.254558,-0.166465,-0.029002,-0.04317,0.931814,0.953338,0.640884,-0.176914,0.002874,4959456730846.364,0.254558,-0.166465,-0.029002,-0.04317,0.931814,0.953338,0.640884,-0.176914,0.002874,0.234048,0.743373,20260310
