ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,avg_stress_ret_krw,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
000270.KS,kr_stock,KRW,0.34097,-0.25534,-0.033481,-0.061262,-0.049608,-0.048616,-0.271043,0.658157,-0.001682,265898534801.66666,0.34097,-0.25534,-0.033481,-0.061262,-0.049608,-0.048616,-0.271043,0.658157,-0.001682,0.882545,1.901793,20260311
000660.KS,kr_stock,KRW,0.446704,-0.239308,-0.055407,-0.080837,-0.026846,0.062256,-0.365157,0.893059,-0.003018,3502463487323.9854,0.446704,-0.239308,-0.055407,-0.080837,-0.026846,0.062256,-0.365157,0.893059,-0.003018,3.834479,6.31531,20260311
000810.KS,kr_stock,KRW,0.382869,-0.257143,-0.038341,-0.067438,-0.078763,-0.056822,-0.045126,0.269191,-0.00137,54874145875.0,0.382869,-0.257143,-0.038341,-0.067438,-0.078763,-0.056822,-0.045126,0.269191,-0.00137,0.378859,0.649004,20260311
003670.KS,kr_stock,KRW,0.581127,-0.337086,-0.050673,-0.073154,-0.091485,-0.107951,-0.447296,0.692058,-0.009845,104952426361.66667,0.581127,-0.337086,-0.050673,-0.073154,-0.091485,-0.107951,-0.447296,0.692058,-0.009845,0.408497,0.57599,20260311
005380.KS,kr_stock,KRW,0.358386,-0.256677,-0.038039,-0.064211,-0.046692,0.047033,-0.216556,0.587286,-0.002556,1203152563160.818,0.358386,-0.256677,-0.038039,-0.064211,-0.046692,0.047033,-0.216556,0.587286,-0.002556,1.809622,3.241697,20260311
005490.KS,kr_stock,KRW,0.409735,-0.296687,-0.035524,-0.060229,-0.084798,-0.122753,-0.370433,0.654029,-0.006627,218560264589.4198,0.409735,-0.296687,-0.035524,-0.060229,-0.084798,-0.122753,-0.370433,0.654029,-0.006627,0.308234,0.617043,20260311
005930.KS,kr_stock,KRW,0.301281,-0.210092,-0.034219,-0.060643,-0.073128,-0.029291,-0.462833,0.940858,-0.005609,4737416192477.1875,0.301281,-0.210092,-0.034219,-0.060643,-0.073128,-0.029291,-0.462833,0.940858,-0.005609,2.439104,5.332741,20260311
006400.KS,kr_stock,KRW,0.448009,-0.328302,-0.048991,-0.06999,-0.138224,-0.13059,-0.403416,0.669636,-0.008172,359714845241.6667,0.448009,-0.328302,-0.048991,-0.06999,-0.138224,-0.13059,-0.403416,0.669636,-0.008172,0.674089,1.096898,20260311
011200.KS,kr_stock,KRW,0.474031,-0.280925,-0.030998,-0.053398,-0.183996,-0.189754,-0.375652,0.291473,-0.004006,48439780992.823685,0.474031,-0.280925,-0.030998,-0.053398,-0.183996,-0.189754,-0.375652,0.291473,-0.004006,0.137034,0.256154,20260311
017670.KS,kr_stock,KRW,0.253526,-0.187283,-0.018505,-0.045438,-0.10741,0.040952,-0.517674,0.560055,-0.000498,91031087290.0,0.253526,-0.187283,-0.018505,-0.045438,-0.10741,0.040952,-0.517674,0.560055,-0.000498,0.423141,1.15077,20260311
