ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,avg_stress_ret_krw,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
000270.KS,kr_stock,KRW,0.340595,-0.25534,-0.033481,-0.061262,-0.049609,-0.048618,-0.271043,0.654477,-0.001682,267353711815.0,0.340595,-0.25534,-0.033481,-0.061262,-0.049609,-0.048618,-0.271043,0.654477,-0.001682,0.827276,1.783547,20260311T191644822219-60e09191
000660.KS,kr_stock,KRW,0.446363,-0.239308,-0.055407,-0.080837,-0.026848,0.062254,-0.365157,0.892238,-0.003018,3534146532923.9854,0.446363,-0.239308,-0.055407,-0.080837,-0.026848,0.062254,-0.365157,0.892238,-0.003018,3.715962,6.128989,20260311T191644822219-60e09191
000810.KS,kr_stock,KRW,0.382504,-0.257143,-0.038341,-0.067438,-0.078763,-0.056822,-0.045126,0.261842,-0.00137,55288508858.333336,0.382504,-0.257143,-0.038341,-0.067438,-0.078763,-0.056822,-0.045126,0.261842,-0.00137,0.347706,0.592426,20260311T191644822219-60e09191
003670.KS,kr_stock,KRW,0.581015,-0.337086,-0.050673,-0.073154,-0.091485,-0.107953,-0.447296,0.690082,-0.009845,105379188320.0,0.581015,-0.337086,-0.050673,-0.073154,-0.091485,-0.107953,-0.447296,0.690082,-0.009845,0.375817,0.526613,20260311T191644822219-60e09191
005380.KS,kr_stock,KRW,0.358091,-0.256677,-0.038039,-0.064211,-0.046692,0.047033,-0.216556,0.585533,-0.002556,1208160195727.4849,0.358091,-0.256677,-0.038039,-0.064211,-0.046692,0.047033,-0.216556,0.585533,-0.002556,1.742357,3.123619,20260311T191644822219-60e09191
005490.KS,kr_stock,KRW,0.409575,-0.296687,-0.035524,-0.060229,-0.084799,-0.122753,-0.370433,0.651178,-0.006627,219454688714.4198,0.409575,-0.296687,-0.035524,-0.060229,-0.084799,-0.122753,-0.370433,0.651178,-0.006627,0.280399,0.556145,20260311T191644822219-60e09191
005930.KS,kr_stock,KRW,0.301092,-0.210092,-0.034219,-0.060643,-0.073128,-0.029293,-0.462833,0.942501,-0.005609,4776683455995.5205,0.301092,-0.210092,-0.034219,-0.060643,-0.073128,-0.029293,-0.462833,0.942501,-0.005609,2.387402,5.223693,20260311T191644822219-60e09191
006400.KS,kr_stock,KRW,0.447885,-0.328302,-0.048991,-0.06999,-0.138227,-0.130596,-0.403416,0.667757,-0.008172,361388803791.6667,0.447885,-0.328302,-0.048991,-0.06999,-0.138227,-0.130596,-0.403416,0.667757,-0.008172,0.619433,1.004347,20260311T191644822219-60e09191
011200.KS,kr_stock,KRW,0.473918,-0.280925,-0.030998,-0.053398,-0.183994,-0.189747,-0.375652,0.284802,-0.004006,49045758019.49035,0.473918,-0.280925,-0.030998,-0.053398,-0.183994,-0.189747,-0.375652,0.284802,-0.004006,0.115781,0.205598,20260311T191644822219-60e09191
017670.KS,kr_stock,KRW,0.25321,-0.187283,-0.018505,-0.045438,-0.107411,0.04095,-0.517674,0.556594,-0.000498,92014490718.33333,0.25321,-0.187283,-0.018505,-0.045438,-0.107411,0.04095,-0.517674,0.556594,-0.000498,0.394499,1.070342,20260311T191644822219-60e09191
032830.KS,kr_stock,KRW,0.340534,-0.197154,-0.033362,-0.050228,-0.093767,-0.075107,-0.422607,0.685514,-0.003578,70824942995.544,0.340534,-0.197154,-0.033362,-0.050228,-0.093767,-0.075107,-0.422607,0.685514,-0.003578,1.567286,3.462328,20260311T191644822219-60e09191
034020.KS,kr_stock,KRW,0.551132,-0.269027,-0.057748,-0.081449,-0.042955,0.155164,-0.296101,0.755471,-0.005263,634118684888.3334,0.551132,-0.269027,-0.057748,-0.081449,-0.042955,0.155164,-0.296101,0.755471,-0.005263,2.594306,3.882573,20260311T191644822219-60e09191
035420.KS,kr_stock,KRW,0.365752,-0.276472,-0.043743,-0.060212,-0.081642,0.014165,-0.325358,0.631932,-0.006767,362893763763.42346,0.365752,-0.276472,-0.043743,-0.060212,-0.081642,0.014165,-0.325358,0.631932,-0.006767,-0.011262,-0.089393,20260311T191644822219-60e09191
035720.KS,kr_stock,KRW,0.419683,-0.331676,-0.039157,-0.068055,-0.102612,-0.025291,-0.459312,0.738983,-0.009048,169998753243.5355,0.419683,-0.331676,-0.039157,-0.068055,-0.102612,-0.025291,-0.459312,0.738983,-0.009048,0.290728,0.490147,20260311T191644822219-60e09191
051910.KS,kr_stock,KRW,0.450898,-0.32691,-0.046008,-0.076497,-0.077625,-0.057299,-0.332189,0.688437,-0.007061,128318800291.66667,0.450898,-0.32691,-0.046008,-0.076497,-0.077625,-0.057299,-0.332189,0.688437,-0.007061,0.239441,0.373821,20260311T191644822219-60e09191
055550.KS,kr_stock,KRW,0.293487,-0.157864,-0.027039,-0.039525,-0.063363,-0.072488,-0.327076,0.605396,-0.00497,132157718309.36684,0.293487,-0.157864,-0.027039,-0.039525,-0.063363,-0.072488,-0.327076,0.605396,-0.00497,1.001055,2.950413,20260311T191644822219-60e09191
066570.KS,kr_stock,KRW,0.369477,-0.256987,-0.034778,-0.058255,-0.00832,0.099759,-0.254559,0.574431,-0.006067,190059065121.66666,0.369477,-0.256987,-0.034778,-0.058255,-0.00832,0.099759,-0.254559,0.574431,-0.006067,0.431608,0.853267,20260311T191644822219-60e09191
068270.KS,kr_stock,KRW,0.370378,-0.205634,-0.032667,-0.049117,-0.127553,-0.1212,-0.295603,0.655309,-0.001792,166015865928.41223,0.370378,-0.205634,-0.032667,-0.049117,-0.127553,-0.1212,-0.295603,0.655309,-0.001792,0.226233,0.534876,20260311T191644822219-60e09191
105560.KS,kr_stock,KRW,0.342565,-0.176359,-0.034217,-0.050839,-0.043784,-0.038052,-0.217528,0.663086,-0.004102,172055169166.26846,0.342565,-0.176359,-0.034217,-0.050839,-0.043784,-0.038052,-0.217528,0.663086,-0.004102,0.928484,2.399766,20260311T191644822219-60e09191
207940.KS,kr_stock,KRW,0.298127,-0.228499,-0.033445,-0.053442,-0.074739,-0.233229,-0.438906,0.639677,-0.001544,103201799116.66667,0.298127,-0.228499,-0.033445,-0.053442,-0.074739,-0.233229,-0.438906,0.639677,-0.001544,-0.063685,-0.268309,20260311T191644822219-60e09191
AAPL,us_stock,USD,0.282572,-0.221148,-0.032886,-0.050266,1.20409,1.252174,0.601582,-0.390533,0.000211,18589798397303.24,0.282572,-0.221148,-0.032886,-0.050266,1.20409,1.252174,0.601582,-0.390533,0.000211,0.109387,0.239907,20260311T191644822219-60e09191
AMZN,us_stock,USD,0.35537,-0.211379,-0.033416,-0.050219,1.40007,1.554171,0.545025,-0.267464,0.001419,15822121891734.729,0.35537,-0.211379,-0.033416,-0.050219,1.40007,1.554171,0.545025,-0.267464,0.001419,0.089047,0.161839,20260311T191644822219-60e09191
AVGO,us_stock,USD,0.427518,-0.263454,-0.041834,-0.061772,1.532589,1.527886,0.570224,-0.186229,0.001733,15729507019180.102,0.427518,-0.263454,-0.041834,-0.061772,1.532589,1.527886,0.570224,-0.186229,0.001733,0.795086,1.572002,20260311T191644822219-60e09191
BNB-USD,crypto,USD,0.588079,-0.547629,-0.041879,-0.072363,1.048368,1.06175,0.579869,-0.174954,0.009049,2318786344656938.5,0.588079,-0.547629,-0.041879,-0.072363,1.048368,1.06175,0.579869,-0.174954,0.009049,0.05738,0.055419,20260311T191644822219-60e09191
