ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,status
000270.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
000660.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
000810.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
003670.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
005380.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
005490.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
005930.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
006400.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
011200.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
017670.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
032830.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
034020.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
035420.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
035720.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
051910.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
055550.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
066570.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
068270.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
105560.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
207940.KS,kr_stock,KR,KR_WEEKDAY,1228,1311,0.0,1.0,0.93669,0,0,0,0,WARN
AAPL,us_stock,US,US_WEEKDAY,1262,1311,0.0,1.0,0.962624,0,0,0,0,WARN
AMZN,us_stock,US,US_WEEKDAY,1262,1311,0.0,1.0,0.962624,0,0,0,0,WARN
AVGO,us_stock,US,US_WEEKDAY,1262,1311,0.0,1.0,0.962624,0,0,0,0,WARN
BNB-USD,crypto,CRYPTO,CRYPTO_24_7,1835,1836,0.0,1.0,0.999455,0,0,0,0,PASS
BRK-B,us_stock,US,US_WEEKDAY,1262,1311,0.0,1.0,0.962624,0,0,0,0,WARN
BTC-USD,crypto,CRYPTO,CRYPTO_24_7,1835,1836,0.0,1.0,0.999455,0,0,0,0,PASS
