ticker,asset_class,hes_score,component_corr_improve,component_cvar_improve,component_stress_defense,component_liquidity_penalty,corr_sp500_60d,cvar_95_1y,avg_stress_ret,adv_60
SHY,bond_etf,0.766183,0.893097,1.0,0.993015,1.0,-0.202589,-0.001784,-0.000246,351539794.160588
IEF,bond_etf,0.711233,0.813139,0.943662,0.948037,1.0,-0.094922,-0.006826,-0.001155,851024883.709566
TIP,bond_etf,0.67885,0.720107,0.952364,0.917961,1.0,0.030349,-0.006047,-0.001764,288642451.658175
JNJ,us_stock,0.639919,0.818004,0.73021,0.955777,0.999999,-0.101472,-0.02593,-0.000999,1971033209.408106
KO,us_stock,0.632496,0.938302,0.798469,0.686165,1.0,-0.263458,-0.019821,-0.006453,1342286087.931268
017670.KS,kr_stock,0.628383,0.996982,0.512247,1.0,0.999976,-0.342473,-0.045438,-0.000104,88826612576.66667
TLT,bond_etf,0.623061,0.700783,0.842511,0.871788,0.999999,0.056369,-0.015879,-0.002698,3283056299.376391
LQD,bond_etf,0.603966,0.56801,0.917288,0.850049,0.999999,0.235153,-0.009187,-0.003137,3512277765.702201
XLP,etf,0.585581,0.804683,0.820902,0.627442,1.0,-0.083536,-0.017813,-0.00764,1637437642.475622
055550.KS,kr_stock,0.58348,0.908363,0.586247,0.823125,0.999966,-0.223144,-0.038815,-0.003682,125396406233.3509
