ticker,asset_class,hedge_bucket,hes_score,component_corr_improve,component_cvar_improve,component_stress_defense,component_sharpe_quality,component_liquidity_penalty,corr_sp500_60d_krw,cvar_95_1y_krw,avg_stress_ret_krw,sharpe_1y_krw_proxy,adv_60
IAU,gold_etf,gold,0.413493,0.826389,0.662199,0.206727,1.0,1.0,0.243067,-0.038524,-0.000411,2.972472,2014882325045.7766
GLD,gold_etf,gold,0.410913,0.82412,0.658276,0.207102,0.992623,0.999998,0.244383,-0.038779,-0.000407,2.94454,11765093111755.934
BTC-USD,crypto,crypto,0.334865,0.134983,0.404476,1.0,0.0,0.0,0.643946,-0.0553,0.007618,-0.814138,5.111255609833141e+18
USO,commodity_etf,commodity_energy,0.330107,1.0,0.464669,0.160521,0.545568,1.0,0.142407,-0.051382,-0.000878,1.251716,1632219016483.3198
XLU,etf,defensive,0.313513,0.45713,0.839456,0.220857,0.634634,1.0,0.457164,-0.026985,-0.000268,1.588973,1650941766724.0986
DBC,commodity_etf,commodity_energy,0.297108,0.652886,0.779371,0.0,0.593627,1.0,0.343664,-0.030896,-0.002503,1.433695,31566453060.943737
XLP,etf,defensive,0.273151,0.520085,0.857235,0.151005,0.324133,1.0,0.420663,-0.025828,-0.000975,0.413228,2475628987820.9033
XLE,etf,commodity_energy,0.269816,0.66836,0.572038,0.121889,0.568921,0.999999,0.334692,-0.044393,-0.001269,1.340145,3815510015425.9995
IEF,bond_etf,bond,0.243722,0.163488,0.992092,0.251463,0.363564,1.0,0.627419,-0.017049,4.2e-05,0.562536,1261955140466.467
TLT,bond_etf,bond,0.229155,0.267759,0.940094,0.185977,0.266639,0.999999,0.566962,-0.020434,-0.000621,0.195519,4967457365765.731
