ticker,asset_class,hedge_bucket,hes_score,component_corr_improve,component_cvar_improve,component_stress_defense,component_sharpe_quality,component_liquidity_penalty,corr_sp500_60d_krw,cvar_95_1y_krw,avg_stress_ret_krw,sharpe_1y_krw_proxy,adv_60
IAU,gold_etf,gold,0.415249,0.827289,0.668325,0.206727,1.0,1.0,0.245317,-0.038524,-0.000411,2.935596,2019363793005.4602
GLD,gold_etf,gold,0.412928,0.825563,0.664365,0.207101,0.993505,0.999998,0.246325,-0.038779,-0.000407,2.9109,11790667527650.867
BTC-USD,crypto,crypto,0.338751,0.146784,0.408218,1.0,0.0,0.0,0.642993,-0.0553,0.007618,-0.866774,5.171457602430322e+18
USO,commodity_etf,commodity_energy,0.330721,1.0,0.468967,0.160521,0.542498,1.0,0.144387,-0.051382,-0.000878,1.196003,1970411030431.8335
DBC,commodity_etf,commodity_energy,0.303056,0.669936,0.78658,0.0,0.592845,1.0,0.337271,-0.030897,-0.002503,1.387443,33038140848.53505
XLU,etf,defensive,0.29511,0.417346,0.845666,0.220857,0.567901,1.0,0.484881,-0.027086,-0.000268,1.292595,1652371120898.9595
XLP,etf,defensive,0.263976,0.490384,0.865072,0.151004,0.299406,1.0,0.442199,-0.025834,-0.000975,0.27168,2488623226050.437
XLE,etf,commodity_energy,0.253681,0.628175,0.577329,0.121891,0.51951,0.999999,0.361676,-0.044393,-0.001269,1.108596,3906806844881.679
IEF,bond_etf,bond,0.234363,0.147048,0.992464,0.251464,0.327947,1.0,0.642839,-0.017617,4.2e-05,0.380203,1255579678720.9255
TLT,bond_etf,bond,0.217373,0.245256,0.935819,0.185977,0.232727,0.999999,0.585448,-0.021271,-0.000621,0.018142,4971757114543.927
