ticker,asset_class,hedge_bucket,hes_score,component_corr_improve,component_cvar_improve,component_stress_defense,component_sharpe_quality,component_liquidity_penalty,corr_sp500_60d_krw,cvar_95_1y_krw,avg_stress_ret_krw,sharpe_1y_krw_proxy,adv_60
IAU,gold_etf,gold,0.415249,0.827288,0.668324,0.206727,1.0,1.0,0.245317,-0.038524,-0.000411,2.935596,2019363794163.3853
GLD,gold_etf,gold,0.412916,0.825563,0.664364,0.207102,0.993423,0.999998,0.246325,-0.038779,-0.000407,2.9109,11790667529426.021
BTC-USD,crypto,crypto,0.332536,0.121926,0.408217,1.0,0.0,0.0,0.65752,-0.0553,0.007618,-0.819497,5.115244366438626e+18
USO,commodity_etf,commodity_energy,0.329857,1.0,0.468967,0.160521,0.536738,1.0,0.144387,-0.051382,-0.000878,1.196003,1970411033369.56
DBC,commodity_etf,commodity_energy,0.302287,0.669937,0.78658,0.0,0.587719,1.0,0.337271,-0.030896,-0.002503,1.387443,33038140663.32702
XLU,etf,defensive,0.294294,0.417346,0.845666,0.220857,0.562461,1.0,0.484881,-0.027086,-0.000268,1.292596,1652371122214.9956
XLP,etf,defensive,0.262652,0.490384,0.865071,0.151001,0.290586,1.0,0.442199,-0.025834,-0.000975,0.271681,2488623226120.116
XLE,etf,commodity_energy,0.252773,0.628175,0.577328,0.12189,0.513461,0.999999,0.361676,-0.044393,-0.001269,1.108596,3906806842509.893
IEF,bond_etf,bond,0.233094,0.147048,0.992464,0.251465,0.319486,1.0,0.642839,-0.017617,4.2e-05,0.380203,1255579678910.7893
TLT,bond_etf,bond,0.215924,0.245256,0.935818,0.185976,0.223067,0.999999,0.585448,-0.021271,-0.000621,0.01814,4971757120341.5625
