candidate_ticker,status,message,hedge_weight_pct,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,weights_snapshot
SHY,PASS,PASS,10.0,0.246623,0.222088,-0.423439,-0.391463,-0.034327,-0.030864,9.948474,7.551416,10.089293,"{""AAPL"": 18.0, ""MSFT"": 18.0, ""NVDA"": 18.0, ""005930.KS"": 18.0, ""BTC-USD"": 18.0, ""SHY"": 10.0}"
IEF,PASS,PASS,10.0,0.246623,0.22248,-0.423439,-0.398163,-0.034327,-0.03081,9.789663,5.969253,10.244953,"{""AAPL"": 18.0, ""MSFT"": 18.0, ""NVDA"": 18.0, ""005930.KS"": 18.0, ""BTC-USD"": 18.0, ""IEF"": 10.0}"
TIP,PASS,PASS,10.0,0.246623,0.222865,-0.423439,-0.395082,-0.034327,-0.030856,9.633502,6.69674,10.109896,"{""AAPL"": 18.0, ""MSFT"": 18.0, ""NVDA"": 18.0, ""005930.KS"": 18.0, ""BTC-USD"": 18.0, ""TIP"": 10.0}"
JNJ,PASS,PASS,10.0,0.246623,0.222877,-0.423439,-0.386475,-0.034327,-0.031019,9.628422,8.729499,9.635211,"{""AAPL"": 18.0, ""MSFT"": 18.0, ""NVDA"": 18.0, ""005930.KS"": 18.0, ""BTC-USD"": 18.0, ""JNJ"": 10.0}"
KO,PASS,PASS,10.0,0.246623,0.224592,-0.423439,-0.391098,-0.034327,-0.031295,8.933312,7.637797,8.833189,"{""AAPL"": 18.0, ""MSFT"": 18.0, ""NVDA"": 18.0, ""005930.KS"": 18.0, ""BTC-USD"": 18.0, ""KO"": 10.0}"
017670.KS,PASS,PASS,10.0,0.246623,0.223447,-0.423439,-0.401864,-0.034327,-0.030794,9.397261,5.095257,10.29109,"{""AAPL"": 18.0, ""MSFT"": 18.0, ""NVDA"": 18.0, ""005930.KS"": 18.0, ""BTC-USD"": 18.0, ""017670.KS"": 10.0}"
TLT,PASS,PASS,10.0,0.246623,0.223257,-0.423439,-0.406273,-0.034327,-0.030783,9.474632,4.054082,10.323065,"{""AAPL"": 18.0, ""MSFT"": 18.0, ""NVDA"": 18.0, ""005930.KS"": 18.0, ""BTC-USD"": 18.0, ""TLT"": 10.0}"
LQD,PASS,PASS,10.0,0.246623,0.224588,-0.423439,-0.403013,-0.034327,-0.031097,8.934932,4.823852,9.410346,"{""AAPL"": 18.0, ""MSFT"": 18.0, ""NVDA"": 18.0, ""005930.KS"": 18.0, ""BTC-USD"": 18.0, ""LQD"": 10.0}"
XLP,PASS,PASS,10.0,0.246623,0.225892,-0.423439,-0.395222,-0.034327,-0.031516,8.405869,6.663851,8.188008,"{""AAPL"": 18.0, ""MSFT"": 18.0, ""NVDA"": 18.0, ""005930.KS"": 18.0, ""BTC-USD"": 18.0, ""XLP"": 10.0}"
055550.KS,PASS,PASS,10.0,0.246623,0.225951,-0.423439,-0.384669,-0.034327,-0.031223,8.382154,9.156012,9.042571,"{""AAPL"": 18.0, ""MSFT"": 18.0, ""NVDA"": 18.0, ""005930.KS"": 18.0, ""BTC-USD"": 18.0, ""055550.KS"": 10.0}"
