candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,FAIL,FAIL: Stress 개선 미달,19.671008,19.671008,2000000.0,1866941.364182,133058.635818,"{""IAU"": 13}",1,0.205127,0.176909,-0.190808,-0.163028,-0.025448,-0.022221,0.375271,0.364434,1.683207,1.890433,-0.000273,-0.000288,0.151049,0.224755,0.761412,0.671746,13.756266,14.558943,12.681524,-1.5e-05,-0.073706,0.089666,0.089666,0.207225,12.311348,2014882325045.7766,0.751935,0.718735,0.713124,0.905981,1.0,0.16903,0.748599,"Sharpe 개선, 노출(beta/corr) 감소, CVaR 개선","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""IAU"": 15.344, ""__CASH__"": 1.0936}"
GLD,gold,FAIL,FAIL: Stress 개선 미달,19.671008,19.671008,2000000.0,1402365.094608,597634.905392,"{""GLD"": 2}",1,0.205127,0.175187,-0.190808,-0.1627,-0.025448,-0.021905,0.375271,0.350207,1.683207,1.827799,-0.000273,-0.000273,0.151049,0.210827,0.761412,0.662997,14.59563,14.730892,13.923068,-0.0,-0.059778,0.098415,0.098415,0.144591,8.590226,11765093111755.934,0.872585,0.728646,0.742088,1.0,0.736095,1.0,0.823161,"노출(beta/corr) 감소, 유동성 양호, CVaR 개선","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""GLD"": 11.5257, ""__CASH__"": 4.9118}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,19.671008,19.671008,2000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO,commodity_energy,FAIL,FAIL: Stress 개선 미달,19.671008,19.671008,2000000.0,1857770.978793,142229.021207,"{""USO"": 12}",1,0.205127,0.189349,-0.190808,-0.170474,-0.025448,-0.02419,0.375271,0.362957,1.683207,1.758428,-0.000273,-0.000355,0.151049,0.179562,0.761412,0.71417,7.691741,10.656699,4.943729,-8.2e-05,-0.028513,0.047242,0.047242,0.075221,4.468921,1632219016483.3198,0.0,0.493817,0.581001,0.45009,0.443809,0.136417,0.486174,"Stress 방어, MDD 개선, 노출(beta/corr) 감소","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""USO"": 15.2686, ""__CASH__"": 1.1689}"
XLU,defensive,FAIL,FAIL: Stress 개선 미달,19.671008,19.671008,2000000.0,1946566.838579,53433.161421,"{""XLU"": 28}",1,0.205127,0.179595,-0.190808,-0.186821,-0.025448,-0.022513,0.375271,0.351146,1.683207,1.788165,-0.000273,-0.000316,0.151049,0.240237,0.761412,0.724052,12.446759,2.089163,11.533488,-4.2e-05,-0.089188,0.03736,0.03736,0.104957,6.235557,1650941766724.0986,0.640373,0.0,0.6587,0.343896,0.5691,0.138013,0.554071,"Stress 방어, CVaR 개선, Sharpe 개선","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""XLU"": 15.9984, ""__CASH__"": 0.4392}"
DBC,commodity_energy,FAIL,FAIL: Stress 개선 미달,19.671008,19.671008,2000000.0,1973365.902637,26634.097363,"{""DBC"": 49}",1,0.205127,0.182375,-0.190808,-0.166157,-0.025448,-0.023262,0.375271,0.34659,1.683207,1.735932,-0.000273,-0.000649,0.151049,0.221984,0.761412,0.701186,11.09164,12.919099,8.590644,-0.000376,-0.070935,0.060226,0.060226,0.052725,3.132385,31566453060.943737,0.354396,0.624217,0.0,0.58962,0.349021,0.0,0.467746,"MDD 개선, 노출(beta/corr) 감소, CVaR 개선","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""DBC"": 16.2187, ""__CASH__"": 0.2189}"
XLP,defensive,FAIL,FAIL: Stress 개선 미달,19.671008,19.671008,2000000.0,1913550.391102,86449.608898,"{""XLP"": 15}",1,0.205127,0.178745,-0.190808,-0.171881,-0.025448,-0.02258,0.375271,0.340897,1.683207,1.73933,-0.000273,-0.000432,0.151049,0.243093,0.761412,0.720462,12.861022,9.91953,11.267733,-0.000159,-0.092044,0.04095,0.04095,0.056123,3.334264,2475628987820.9033,0.614547,0.451328,0.427974,0.382475,0.363338,0.208297,0.475948,"CVaR 개선, MDD 개선, Stress 방어","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""XLP"": 15.7271, ""__CASH__"": 0.7105}"
XLE,commodity_energy,FAIL,FAIL: Stress 개선 미달,19.671008,19.671008,2000000.0,1922171.76983,77828.23017,"{""XLE"": 23}",1,0.205127,0.188975,-0.190808,-0.165571,-0.025448,-0.024055,0.375271,0.363889,1.683207,1.76684,-0.000273,-0.000414,0.151049,0.224015,0.761412,0.756053,7.874013,13.22625,5.473986,-0.000141,-0.072966,0.005359,0.005359,0.083633,4.968664,3815510015425.9995,0.051529,0.641921,0.464363,0.0,0.479251,0.32249,0.353341,"MDD 개선, Sharpe 개선, Stress 방어","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""XLE"": 15.7979, ""__CASH__"": 0.6397}"
IEF,bond,PASS,PASS,19.671008,19.671008,2000000.0,1866362.666366,133637.333634,"{""IEF"": 13}",1,0.205127,0.173134,-0.190808,-0.163769,-0.025448,-0.021599,0.375271,0.321694,1.683207,1.684792,-0.000273,-0.000243,0.151049,0.224352,0.761412,0.665299,15.596816,14.170421,15.122784,3e-05,-0.073303,0.096113,0.096113,0.001585,0.094176,1261955140466.467,0.989169,0.696341,0.801588,0.975261,0.133549,0.104861,0.761919,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""IEF"": 15.3392, ""__CASH__"": 1.0983}"
TLT,bond,FAIL,FAIL: Stress 개선 미달,19.671008,19.671008,2000000.0,1986112.657352,13887.342648,"{""TLT"": 15}",1,0.205127,0.174062,-0.190808,-0.169599,-0.025448,-0.021571,0.375271,0.317742,1.683207,1.653096,-0.000273,-0.000327,0.151049,0.234261,0.761412,0.66777,15.144088,11.115374,15.234237,-5.4e-05,-0.083212,0.093642,0.093642,-0.030111,-1.788894,4967457365765.731,1.0,0.520254,0.636771,0.948709,0.0,0.420666,0.747309,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""TLT"": 16.3234, ""__CASH__"": 0.1141}"
