candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1862878.988534,137121.011466,"{""IAU"": 13}",1,0.205068,0.176487,-0.190807,-0.162632,-0.025448,-0.02218,0.373135,0.362229,1.673272,1.882456,-0.000273,-0.000288,0.162454,0.236181,0.760965,0.670041,13.937436,14.766364,12.841429,-1.5e-05,-0.073727,0.090924,0.090924,0.209184,12.501462,2019363794163.3853,0.74945,0.724599,0.716681,0.908495,1.0,0.168939,0.74986,"Sharpe 개선, 노출(beta/corr) 감소, CVaR 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 15.524, ""__CASH__"": 1.1427}"
GLD,gold,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1399623.19675,600376.80325,"{""GLD"": 2}",1,0.205068,0.174733,-0.190807,-0.1623,-0.025448,-0.021858,0.373135,0.347914,1.673272,1.819429,-0.000273,-0.000273,0.162454,0.222423,0.760965,0.661193,14.792912,14.940279,14.105444,-0.0,-0.05997,0.099771,0.099771,0.146157,8.734811,11790667529426.021,0.869299,0.734392,0.745572,1.0,0.74399,1.0,0.824646,"노출(beta/corr) 감소, 유동성 양호, CVaR 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""GLD"": 11.6635, ""__CASH__"": 5.0031}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,20.0,2000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO,commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1860345.511134,139654.488866,"{""USO"": 12}",1,0.205068,0.189218,-0.190807,-0.170481,-0.025448,-0.024191,0.373135,0.361078,1.673272,1.749712,-0.000273,-0.000356,0.162454,0.19,0.760965,0.71312,7.72909,10.652894,4.937166,-8.3e-05,-0.027546,0.047845,0.047845,0.076439,4.56825,1970411033369.56,0.0,0.492957,0.583903,0.462939,0.460799,0.164776,0.315984,"Stress 방어, MDD 개선, 노출(beta/corr) 감소","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""USO"": 15.5029, ""__CASH__"": 1.1638}"
DBC,commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1980549.18878,19450.81122,"{""DBC"": 49}",1,0.205068,0.182096,-0.190807,-0.165965,-0.025448,-0.023245,0.373135,0.344712,1.673272,1.728275,-0.000273,-0.000656,0.162454,0.232065,0.760965,0.700061,11.202326,13.01965,8.65442,-0.000383,-0.069612,0.060904,0.060904,0.055002,3.287111,33038140663.32702,0.352455,0.626236,0.0,0.598007,0.373723,0.0,0.345779,"MDD 개선, 노출(beta/corr) 감소, Sharpe 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""DBC"": 16.5046, ""__CASH__"": 0.1621}"
XLU,defensive,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1977385.976113,22614.023887,"{""XLU"": 29}",1,0.205068,0.179422,-0.190807,-0.187184,-0.025448,-0.022498,0.373135,0.348775,1.673272,1.776681,-0.000273,-0.000318,0.162454,0.26025,0.760965,0.724761,12.506351,1.899016,11.591773,-4.4e-05,-0.097796,0.036204,0.036204,0.103409,6.18002,1652371122214.9956,0.630963,0.0,0.659246,0.342536,0.570347,0.137726,0.450861,"Stress 방어, CVaR 개선, Sharpe 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""XLU"": 16.4782, ""__CASH__"": 0.1885}"
XLP,defensive,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1883015.510679,116984.489321,"{""XLP"": 15}",1,0.205068,0.17823,-0.190807,-0.17145,-0.025448,-0.022519,0.373135,0.337414,1.673272,1.724812,-0.000273,-0.000431,0.162454,0.259276,0.760965,0.718289,13.08743,10.145108,11.508051,-0.000158,-0.096823,0.042676,0.042676,0.05154,3.080179,2488623226120.116,0.623024,0.464362,0.437593,0.409478,0.359658,0.20885,0.485806,"CVaR 개선, MDD 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""XLP"": 15.6918, ""__CASH__"": 0.9749}"
XLE,commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1954188.659008,45811.340992,"{""XLE"": 24}",1,0.205068,0.189168,-0.190807,-0.165809,-0.025448,-0.024105,0.373135,0.361599,1.673272,1.752931,-0.000273,-0.000419,0.162454,0.24589,0.760965,0.75788,7.753454,13.101197,5.276779,-0.000146,-0.083436,0.003085,0.003085,0.079659,4.760664,3906806842509.893,0.032201,0.630828,0.461456,0.0,0.473876,0.329469,0.293588,"MDD 개선, Sharpe 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""XLE"": 16.2849, ""__CASH__"": 0.3818}"
IEF,bond,PASS,PASS,20.0,20.0,2000000.0,1977268.817051,22731.182949,"{""IEF"": 14}",1,0.205068,0.172838,-0.190807,-0.163514,-0.025448,-0.021579,0.373135,0.319232,1.673272,1.673426,-0.000273,-0.000244,0.162454,0.246164,0.760965,0.665565,15.7167,14.30395,15.202382,2.9e-05,-0.083711,0.0954,0.0954,0.000153,0.009171,1255579678910.7893,0.973306,0.698559,0.80316,0.954789,0.150929,0.103979,0.756771,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IEF"": 16.4772, ""__CASH__"": 0.1894}"
TLT,bond,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1939251.113631,60748.886369,"{""TLT"": 15}",1,0.205068,0.173537,-0.190807,-0.169111,-0.025448,-0.021507,0.373135,0.313953,1.673272,1.636269,-0.000273,-0.000325,0.162454,0.252194,0.760965,0.66568,15.376147,11.37089,15.48392,-5.2e-05,-0.089741,0.095285,0.095285,-0.037003,-2.211431,4971757120341.5625,1.0,0.533389,0.644628,0.953595,0.0,0.420044,0.701965,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""TLT"": 16.1604, ""__CASH__"": 0.5062}"
