candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - IAU=32.2421%,50.0,50.0,4000000.0,3869056.360802,130943.639198,"{""IAU"": 27}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""IAU"": 32.2421, ""__CASH__"": 1.0912}"
GLD,gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - GLD=29.1588%,50.0,50.0,4000000.0,3499057.991875,500942.008125,"{""GLD"": 5}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""GLD"": 29.1588, ""__CASH__"": 4.1745}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,50.0,4000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO,commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - USO=32.2977%,50.0,50.0,4000000.0,3875719.814863,124280.185137,"{""USO"": 25}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""USO"": 32.2977, ""__CASH__"": 1.0357}"
DBC,commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - DBC=33.0092%,50.0,50.0,4000000.0,3961098.377561,38901.622439,"{""DBC"": 98}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""DBC"": 33.0092, ""__CASH__"": 0.3242}"
XLU,defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - XLU=32.9564%,50.0,50.0,4000000.0,3954771.952225,45228.047775,"{""XLU"": 58}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""XLU"": 32.9564, ""__CASH__"": 0.3769}"
XLP,defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - XLP=32.4297%,50.0,50.0,4000000.0,3891565.388736,108434.611264,"{""XLP"": 31}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""XLP"": 32.4297, ""__CASH__"": 0.9036}"
XLE,commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - XLE=33.2483%,50.0,50.0,4000000.0,3989801.845474,10198.154526,"{""XLE"": 49}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""XLE"": 33.2483, ""__CASH__"": 0.085}"
IEF,bond,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - IEF=32.9545%,50.0,50.0,4000000.0,3954537.634101,45462.365899,"{""IEF"": 28}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""IEF"": 32.9545, ""__CASH__"": 0.3789}"
TLT,bond,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - TLT=32.3209%,50.0,50.0,4000000.0,3878502.227262,121497.772738,"{""TLT"": 30}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""TLT"": 32.3209, ""__CASH__"": 1.0125}"
SHY,bond,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - SHY=33.3138%,50.0,50.0,4000000.0,3997651.596364,2348.403636,"{""SHY"": 33}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""SHY"": 33.3138, ""__CASH__"": 0.0196}"
XLV,defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - XLV=31.7735%,50.0,50.0,4000000.0,3812820.643621,187179.356379,"{""XLV"": 17}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""XLV"": 31.7735, ""__CASH__"": 1.5598}"
