candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,PASS,PASS,25.0,25.0,2000000.0,1862878.988534,137121.011466,"{""IAU"": 13}",1,0.23801,0.197237,-0.35281,-0.284293,-0.032141,-0.026543,0.364272,0.354218,1.404444,1.643801,-0.00087,-0.000768,0.258598,0.315965,1.030114,0.867175,17.130979,19.420365,17.417248,0.000101,-0.057367,0.162939,0.162939,0.239358,17.042878,2019363794163.3853,0.858567,0.388226,0.716681,0.908495,1.0,0.168939,0.720776,"Sharpe 개선, 노출(beta/corr) 감소, CVaR 개선","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""IAU"": 18.6288, ""__CASH__"": 1.3712}"
GLD,gold,PASS,PASS,25.0,25.0,2000000.0,1399623.19675,600376.80325,"{""GLD"": 2}",1,0.23801,0.195063,-0.35281,-0.285588,-0.032141,-0.026226,0.364272,0.337233,1.404444,1.575044,-0.00087,-0.000751,0.258598,0.307705,1.030114,0.856558,18.044287,19.053262,18.402234,0.000119,-0.049107,0.173555,0.173555,0.1706,12.14715,11790667529426.021,0.981977,0.376117,0.745572,1.0,0.757161,1.0,0.793746,"노출(beta/corr) 감소, 유동성 양호, CVaR 개선","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""GLD"": 13.9962, ""__CASH__"": 6.0038}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,25.0,25.0,2000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO,commodity_energy,PASS,PASS,25.0,25.0,2000000.0,1860345.511134,139654.488866,"{""USO"": 12}",1,0.23801,0.208916,-0.35281,-0.243501,-0.032141,-0.028473,0.364272,0.353394,1.404444,1.547964,-0.00087,-0.00085,0.258598,0.288317,1.030114,0.91887,12.224118,30.982436,11.411556,2e-05,-0.029719,0.111244,0.111244,0.14352,10.219004,1970411033369.56,0.106101,0.76961,0.583903,0.462939,0.661521,0.164776,0.428523,"MDD 개선, Sharpe 개선, Stress 방어","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""USO"": 18.6035, ""__CASH__"": 1.3965}"
DBC,commodity_energy,FAIL,FAIL: Stress 개선 미달,25.0,25.0,2000000.0,1980549.18878,19450.81122,"{""DBC"": 49}",1,0.23801,0.201958,-0.35281,-0.259095,-0.032141,-0.027585,0.364272,0.333686,1.404444,1.503707,-0.00087,-0.00121,0.258598,0.334634,1.030114,0.903199,15.147217,26.562554,14.176739,-0.00034,-0.076036,0.126915,0.126915,0.099264,7.067819,33038140663.32702,0.452556,0.623817,0.0,0.598007,0.505216,0.0,0.39348,"MDD 개선, 노출(beta/corr) 감소, Sharpe 개선","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""DBC"": 19.8055, ""__CASH__"": 0.1945}"
XLU,defensive,PASS,PASS,25.0,25.0,2000000.0,1977385.976113,22614.023887,"{""XLU"": 29}",1,0.23801,0.201634,-0.35281,-0.286589,-0.032141,-0.027323,0.364272,0.337847,1.404444,1.526762,-0.00087,-0.000804,0.258598,0.372773,1.030114,0.93284,15.283572,18.769611,14.989547,6.6e-05,-0.114175,0.097274,0.097274,0.122318,8.709348,1652371122214.9956,0.554395,0.36676,0.659246,0.342536,0.586639,0.137726,0.499043,"Stress 방어, Sharpe 개선, CVaR 개선","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""XLU"": 19.7739, ""__CASH__"": 0.2261}"
XLP,defensive,FAIL,FAIL: Stress 개선 미달,25.0,25.0,2000000.0,1883015.510679,116984.489321,"{""XLP"": 15}",1,0.23801,0.200405,-0.35281,-0.291706,-0.032141,-0.027452,0.364272,0.324314,1.404444,1.468598,-0.00087,-0.00094,0.258598,0.376106,1.030114,0.925073,15.799835,17.319448,14.58961,-7.1e-05,-0.117508,0.105041,0.105041,0.064154,4.567949,2488623226120.116,0.504286,0.318926,0.437593,0.409478,0.381217,0.20885,0.417316,"CVaR 개선, Stress 방어, 노출(beta/corr) 감소","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""XLP"": 18.8302, ""__CASH__"": 1.1698}"
XLE,commodity_energy,FAIL,FAIL: Stress 개선 미달,25.0,25.0,2000000.0,1954188.659008,45811.340992,"{""XLE"": 24}",1,0.23801,0.209196,-0.35281,-0.218859,-0.032141,-0.028745,0.364272,0.353925,1.404444,1.548425,-0.00087,-0.000926,0.258598,0.34318,1.030114,0.972582,12.10614,37.966964,10.564729,-5.6e-05,-0.084582,0.057532,0.057532,0.143982,10.251872,3906806842509.893,0.0,1.0,0.461456,0.0,0.663151,0.329469,0.37508,"MDD 개선, Sharpe 개선, Stress 방어","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""XLE"": 19.5419, ""__CASH__"": 0.4581}"
IEF,bond,PASS,PASS,25.0,25.0,2000000.0,1977268.817051,22731.182949,"{""IEF"": 14}",1,0.23801,0.193778,-0.35281,-0.30759,-0.032141,-0.02618,0.364272,0.302967,1.404444,1.40866,-0.00087,-0.000715,0.258598,0.361744,1.030114,0.861804,18.584362,12.817118,18.546078,0.000155,-0.103146,0.16831,0.16831,0.004217,0.300246,1255579678910.7893,1.0,0.170413,0.80316,0.954789,0.169529,0.103979,0.662345,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""IEF"": 19.7727, ""__CASH__"": 0.2273}"
TLT,bond,PASS,PASS,25.0,25.0,2000000.0,1939251.113631,60748.886369,"{""TLT"": 15}",1,0.23801,0.195785,-0.35281,-0.325817,-0.032141,-0.026316,0.364272,0.296397,1.404444,1.36066,-0.00087,-0.000813,0.258598,0.368021,1.030114,0.861942,17.740994,7.650867,18.12327,5.7e-05,-0.109423,0.168171,0.168171,-0.043784,-3.117535,4971757120341.5625,0.947025,0.0,0.644628,0.953595,0.0,0.420044,0.576746,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""TLT"": 19.3925, ""__CASH__"": 0.6075}"
