candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,18.181818,2000000.0,1862878.988534,137121.011466,"{""IAU"": 13}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IAU"": 14.3298, ""__CASH__"": 1.0548}"
GLD,gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,18.181818,2000000.0,1399623.19675,600376.80325,"{""GLD"": 2}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""GLD"": 10.7663, ""__CASH__"": 4.6183}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,18.181818,2000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO,commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,18.181818,2000000.0,1860345.511134,139654.488866,"{""USO"": 12}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""USO"": 14.3104, ""__CASH__"": 1.0743}"
DBC,commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,18.181818,2000000.0,1980549.18878,19450.81122,"{""DBC"": 49}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""DBC"": 15.235, ""__CASH__"": 0.1496}"
XLU,defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,18.181818,2000000.0,1977385.976113,22614.023887,"{""XLU"": 29}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLU"": 15.2107, ""__CASH__"": 0.174}"
XLP,defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,18.181818,2000000.0,1883015.510679,116984.489321,"{""XLP"": 15}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLP"": 14.4847, ""__CASH__"": 0.8999}"
XLE,commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,18.181818,2000000.0,1954188.659008,45811.340992,"{""XLE"": 24}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLE"": 15.0322, ""__CASH__"": 0.3524}"
IEF,bond,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,18.181818,2000000.0,1977268.817051,22731.182949,"{""IEF"": 14}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IEF"": 15.2098, ""__CASH__"": 0.1749}"
TLT,bond,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,18.181818,2000000.0,1939251.113631,60748.886369,"{""TLT"": 15}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""TLT"": 14.9173, ""__CASH__"": 0.4673}"
SHY,bond,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,18.181818,2000000.0,1938255.319449,61744.680551,"{""SHY"": 16}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""SHY"": 14.9097, ""__CASH__"": 0.475}"
XLV,defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,18.181818,2000000.0,1794268.538175,205731.461825,"{""XLV"": 8}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""XLV"": 13.8021, ""__CASH__"": 1.5825}"
