candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,0.205068,0.187589,-0.190808,-0.17406,-0.025448,-0.023396,0.373135,0.369391,1.673272,1.809227,-0.000273,-0.000285,0.162454,0.211546,0.760965,0.707997,8.523711,8.77727,8.062782,-1.2e-05,-0.049092,0.052969,0.052969,0.135955,8.125085,2019363794163.3853,0.611515,0.776654,0.228198,0.650777,0.767136,0.0,0.556792,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 10.0}"
GLD,gold,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,0.205068,0.187631,-0.190808,-0.17407,-0.025448,-0.023398,0.373135,0.369146,1.673272,1.807515,-0.000273,-0.000285,0.162454,0.212042,0.760965,0.708066,8.503126,8.772127,8.055533,-1.2e-05,-0.049589,0.052899,0.052899,0.134242,8.022742,11790667529426.021,0.611234,0.776577,0.228101,0.65038,0.764172,2e-06,0.556323,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 10.0}"
BTC-USD,crypto,FAIL,FAIL: CVaR 개선 미달; MDD 개선 미달; beta/corr 감소 미달,10.0,10.0,,,,,1,0.205068,0.204709,-0.190808,-0.207668,-0.025448,-0.025518,0.373135,0.350576,1.673272,1.566003,-0.000273,0.000486,0.162454,0.33953,0.760965,0.79139,0.175044,-8.83608,-0.276617,0.00076,-0.177077,-0.030425,-0.030425,-0.10727,-6.410783,5.171457602556728e+18,0.288282,0.514375,0.61704,0.173959,0.346204,1.0,0.429198,"유동성 양호, Stress 방어, MDD 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""BTC-USD"": 10.0}"
USO,commodity_energy,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,0.205068,0.194511,-0.190808,-0.175437,-0.025448,-0.02461,0.373135,0.368942,1.673272,1.742535,-0.000273,-0.000329,0.162454,0.183453,0.760965,0.735816,5.148379,8.055435,3.293214,-5.6e-05,-0.020999,0.02515,0.02515,0.069262,4.139324,1970411033369.56,0.426648,0.765905,0.206016,0.491715,0.651716,0.0,0.458054,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""USO"": 10.0}"
DBC,commodity_energy,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,0.205068,0.190588,-0.190808,-0.17309,-0.025448,-0.024024,0.373135,0.356523,1.673272,1.71324,-0.000273,-0.000505,0.162454,0.204134,0.760965,0.724811,7.061356,9.285487,5.592741,-0.000232,-0.04168,0.036154,0.036154,0.039967,2.388571,33038140663.32702,0.515777,0.784222,0.11704,0.554636,0.601017,0.0,0.47634,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""DBC"": 10.0}"
XLU,defensive,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,0.205068,0.189106,-0.190808,-0.188526,-0.025448,-0.023634,0.373135,0.359033,1.673272,1.73994,-0.000273,-0.0003,0.162454,0.218727,0.760965,0.739865,7.784016,1.195881,7.128821,-2.7e-05,-0.056273,0.0211,0.0211,0.066668,3.984265,1652371122214.9956,0.575315,0.66376,0.22032,0.468563,0.647225,0.0,0.489755,"MDD 개선, Sharpe 개선, CVaR 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""XLU"": 10.0}"
XLP,defensive,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,0.205068,0.188825,-0.190808,-0.179598,-0.025448,-0.023689,0.373135,0.352993,1.673272,1.710547,-0.000273,-0.000376,0.162454,0.220441,0.760965,0.738497,7.921179,5.874606,6.912743,-0.000103,-0.057987,0.022469,0.022469,0.037274,2.227623,2488623226120.116,0.56694,0.733431,0.182402,0.476388,0.596356,0.0,0.48887,"MDD 개선, Sharpe 개선, CVaR 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""XLP"": 10.0}"
XLE,commodity_energy,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,0.205068,0.1946,-0.190808,-0.170783,-0.025448,-0.024471,0.373135,0.367351,1.673272,1.733561,-0.000273,-0.000363,0.162454,0.212626,0.760965,0.760855,5.104875,10.494737,3.83732,-9e-05,-0.050172,0.000111,0.000111,0.060288,3.603012,3906806842509.893,0.447737,0.802228,0.188576,0.34855,0.636185,1e-06,0.453343,"MDD 개선, Sharpe 개선, CVaR 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""XLE"": 10.0}"
IEF,bond,PASS,PASS,10.0,10.0,,,,,1,0.205068,0.185476,-0.190808,-0.174531,-0.025448,-0.023077,0.373135,0.340858,1.673272,1.676,-0.000273,-0.000256,0.162454,0.209788,0.760965,0.703942,9.553917,8.530181,9.316048,1.8e-05,-0.047334,0.057023,0.057023,0.002728,0.163018,1255579678910.7893,0.660092,0.772974,0.242911,0.673959,0.536569,0.0,0.555262,"MDD 개선, 노출(beta/corr) 감소, CVaR 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IEF"": 10.0}"
TLT,bond,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,0.205068,0.185585,-0.190808,-0.177971,-0.025448,-0.023011,0.373135,0.337772,1.673272,1.65839,-0.000273,-0.000306,0.162454,0.214439,0.760965,0.704387,9.501142,6.727466,9.575164,-3.3e-05,-0.051985,0.056578,0.056578,-0.014883,-0.889425,4971757111657.575,0.670135,0.74613,0.21744,0.671413,0.506092,1e-06,0.545012,"MDD 개선, 노출(beta/corr) 감소, CVaR 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""TLT"": 10.0}"
