candidate_combo,status,message,hedge_budget_pct,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,weights_snapshot
SHY + IEF,PASS,PASS,20.0,0.246623,0.198024,-0.423439,-0.365461,-0.034327,-0.027368,19.705718,13.692169,20.271704,"{""AAPL"": 16.0, ""MSFT"": 16.0, ""NVDA"": 16.0, ""005930.KS"": 16.0, ""BTC-USD"": 16.0, ""SHY"": 10.0, ""IEF"": 10.0}"
SHY + TIP,PASS,PASS,20.0,0.246623,0.198383,-0.423439,-0.362028,-0.034327,-0.027406,19.560119,14.502959,20.161954,"{""AAPL"": 16.0, ""MSFT"": 16.0, ""NVDA"": 16.0, ""005930.KS"": 16.0, ""BTC-USD"": 16.0, ""SHY"": 10.0, ""TIP"": 10.0}"
SHY + JNJ,PASS,PASS,20.0,0.246623,0.198445,-0.423439,-0.353247,-0.034327,-0.027588,19.535218,16.576612,19.631595,"{""AAPL"": 16.0, ""MSFT"": 16.0, ""NVDA"": 16.0, ""005930.KS"": 16.0, ""BTC-USD"": 16.0, ""SHY"": 10.0, ""JNJ"": 10.0}"
SHY + KO,PASS,PASS,20.0,0.246623,0.200147,-0.423439,-0.358074,-0.034327,-0.02787,18.844996,15.436742,18.809243,"{""AAPL"": 16.0, ""MSFT"": 16.0, ""NVDA"": 16.0, ""005930.KS"": 16.0, ""BTC-USD"": 16.0, ""SHY"": 10.0, ""KO"": 10.0}"
IEF + TIP,PASS,PASS,20.0,0.246623,0.198942,-0.423439,-0.368995,-0.034327,-0.027394,19.333721,12.85764,20.196675,"{""AAPL"": 16.0, ""MSFT"": 16.0, ""NVDA"": 16.0, ""005930.KS"": 16.0, ""BTC-USD"": 16.0, ""IEF"": 10.0, ""TIP"": 10.0}"
IEF + JNJ,PASS,PASS,20.0,0.246623,0.198895,-0.423439,-0.360861,-0.034327,-0.027594,19.352585,14.778603,19.613102,"{""AAPL"": 16.0, ""MSFT"": 16.0, ""NVDA"": 16.0, ""005930.KS"": 16.0, ""BTC-USD"": 16.0, ""IEF"": 10.0, ""JNJ"": 10.0}"
IEF + KO,PASS,PASS,20.0,0.246623,0.200601,-0.423439,-0.365635,-0.034327,-0.027872,18.660878,13.651184,18.804151,"{""AAPL"": 16.0, ""MSFT"": 16.0, ""NVDA"": 16.0, ""005930.KS"": 16.0, ""BTC-USD"": 16.0, ""IEF"": 10.0, ""KO"": 10.0}"
TIP + JNJ,PASS,PASS,20.0,0.246623,0.19927,-0.423439,-0.356948,-0.034327,-0.02761,19.200796,15.70267,19.568361,"{""AAPL"": 16.0, ""MSFT"": 16.0, ""NVDA"": 16.0, ""005930.KS"": 16.0, ""BTC-USD"": 16.0, ""TIP"": 10.0, ""JNJ"": 10.0}"
TIP + KO,PASS,PASS,20.0,0.246623,0.200976,-0.423439,-0.361751,-0.034327,-0.027886,18.50907,14.568246,18.762149,"{""AAPL"": 16.0, ""MSFT"": 16.0, ""NVDA"": 16.0, ""005930.KS"": 16.0, ""BTC-USD"": 16.0, ""TIP"": 10.0, ""KO"": 10.0}"
JNJ + KO,PASS,PASS,20.0,0.246623,0.201575,-0.423439,-0.355191,-0.034327,-0.028161,18.265915,16.11748,17.963386,"{""AAPL"": 16.0, ""MSFT"": 16.0, ""NVDA"": 16.0, ""005930.KS"": 16.0, ""BTC-USD"": 16.0, ""JNJ"": 10.0, ""KO"": 10.0}"
