candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,19.671008,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1790550.734403,209449.265597,"{""IAU"": 6, ""USO"": 6}",2,0.205127,0.181053,-0.190808,-0.163715,-0.025448,-0.022923,0.375271,0.362008,1.683207,1.833755,-0.000273,-0.000319,0.151049,0.204301,0.761412,0.691593,11.735866,14.198914,9.919424,-4.6e-05,-0.053252,0.069819,0.069819,0.150548,8.944123,1632219016483.3198,0.2169,0.61301,0.61178,0.641654,0.970735,0.324288,0.498326,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""IAU"": 7.0818, ""USO"": 7.6343, ""__CASH__"": 1.7214}"
IAU + XLU,defensive|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1834948.664296,165051.335704,"{""IAU"": 6, ""XLU"": 14}",2,0.205127,0.177237,-0.190808,-0.1746,-0.025448,-0.022172,0.375271,0.355801,1.683207,1.838224,-0.000273,-0.0003,0.151049,0.233392,0.761412,0.696534,13.596519,8.494378,12.873203,-2.6e-05,-0.082343,0.064878,0.064878,0.155017,9.209599,1650941766724.0986,0.679707,0.135556,0.668955,0.579662,1.0,0.328082,0.57317,"Sharpe 개선, CVaR 개선, Stress 방어","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""IAU"": 7.0818, ""XLU"": 7.9992, ""__CASH__"": 1.3565}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1828211.809564,171788.190436,"{""IAU"": 6, ""DBC"": 24}",2,0.205127,0.178581,-0.190808,-0.161823,-0.025448,-0.022531,0.375271,0.353111,1.683207,1.80932,-0.000273,-0.000462,0.151049,0.222146,0.761412,0.684438,12.940927,15.190706,11.46072,-0.000189,-0.071097,0.076974,0.076974,0.126113,7.492395,31566453060.943737,0.458395,0.69602,0.196732,0.731418,0.810705,0.0,0.518201,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""IAU"": 7.0818, ""DBC"": 7.9438, ""__CASH__"": 1.4119}"
IAU + XLP,defensive|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1754655.427521,245344.572479,"{""IAU"": 6, ""XLP"": 7}",2,0.205127,0.176647,-0.190808,-0.167064,-0.025448,-0.022178,0.375271,0.349542,1.683207,1.808928,-0.000273,-0.000351,0.151049,0.232147,0.761412,0.691932,13.883956,12.443612,12.849543,-7.8e-05,-0.081098,0.06948,0.06948,0.125721,7.469106,2014882325045.7766,0.676,0.466096,0.51896,0.637399,0.808138,0.401815,0.598256,"Sharpe 개선, CVaR 개선, 노출(beta/corr) 감소","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""IAU"": 7.0818, ""XLP"": 7.3393, ""__CASH__"": 2.0164}"
IAU + XLE,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1780964.7871,219035.2129,"{""IAU"": 6, ""XLE"": 11}",2,0.205127,0.181035,-0.190808,-0.159516,-0.025448,-0.022818,0.375271,0.361118,1.683207,1.829028,-0.000273,-0.000345,0.151049,0.224021,0.761412,0.70993,11.744868,16.399844,10.33312,-7.2e-05,-0.072972,0.051482,0.051482,0.14582,8.66325,2014882325045.7766,0.281719,0.797222,0.53769,0.411585,0.939774,0.401815,0.520811,"Sharpe 개선, MDD 개선, Stress 방어","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""IAU"": 7.0818, ""XLE"": 7.5555, ""__CASH__"": 1.8002}"
IAU + IEF,bond|gold,PASS,PASS,19.671008,2000000.0,1723063.398714,276936.601286,"{""IAU"": 6, ""IEF"": 6}",2,0.205127,0.174253,-0.190808,-0.163262,-0.025448,-0.021764,0.375271,0.340364,1.683207,1.781112,-0.000273,-0.000263,0.151049,0.222837,0.761412,0.666041,15.050957,14.436641,14.474842,1e-05,-0.071788,0.095371,0.095371,0.097904,5.816534,1261955140466.467,0.930657,0.632907,0.775781,0.962242,0.625968,0.249274,0.778752,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""IAU"": 7.0818, ""IEF"": 7.0796, ""__CASH__"": 2.2761}"
IAU + TLT,bond|gold,FAIL,FAIL: Stress 개선 미달,19.671008,2000000.0,1788517.818438,211482.181562,"{""IAU"": 6, ""TLT"": 7}",2,0.205127,0.174377,-0.190808,-0.165989,-0.025448,-0.021733,0.375271,0.338633,1.683207,1.769914,-0.000273,-0.000302,0.151049,0.227973,0.761412,0.667343,14.990399,13.007095,14.596941,-2.9e-05,-0.076924,0.094069,0.094069,0.086706,5.151263,2014882325045.7766,0.949788,0.513258,0.66236,0.945907,0.552633,0.401815,0.737494,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""IAU"": 7.0818, ""TLT"": 7.6176, ""__CASH__"": 1.7381}"
IAU + SHY,bond|gold,PASS,PASS,19.671008,2000000.0,1844237.821726,155762.178274,"{""IAU"": 6, ""SHY"": 8}",2,0.205127,0.174501,-0.190808,-0.158327,-0.025448,-0.021823,0.375271,0.342517,1.683207,1.790924,-0.000273,-0.000256,0.151049,0.228182,0.761412,0.668579,14.930383,17.02253,14.244689,1.7e-05,-0.077133,0.092833,0.092833,0.107717,6.399506,532876567237.4225,0.894596,0.849339,0.79559,0.930389,0.690232,0.101564,0.809235,"노출(beta/corr) 감소, CVaR 개선, MDD 개선","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""IAU"": 7.0818, ""SHY"": 8.0756, ""__CASH__"": 1.2802}"
IAU + XLV,defensive|gold,PASS,PASS,19.671008,2000000.0,1777284.710185,222715.289815,"{""IAU"": 6, ""XLV"": 4}",2,0.205127,0.177767,-0.190808,-0.164954,-0.025448,-0.022339,0.375271,0.348971,1.683207,1.794323,-0.000273,-0.000213,0.151049,0.254576,0.761412,0.701821,13.338173,13.549471,12.215674,6e-05,-0.103527,0.059591,0.059591,0.111115,6.601409,2014882325045.7766,0.576684,0.558654,0.920101,0.513326,0.712488,0.401815,0.640262,"Stress 방어, Sharpe 개선, CVaR 개선","{""MSFT"": 16.4376, ""NVDA"": 16.4376, ""AVGO"": 8.4088, ""XOM"": 9.4033, ""011200.KS"": 16.4376, ""207940.KS"": 16.4376, ""IAU"": 7.0818, ""XLV"": 7.5253, ""__CASH__"": 1.8304}"
