candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1789963.058347,210036.941653,"{""IAU"": 6, ""USO"": 6}",2,0.205068,0.180718,-0.190808,-0.163344,-0.025448,-0.022896,0.373135,0.359963,1.673272,1.825841,-0.000273,-0.00032,0.162454,0.215674,0.760965,0.6902,11.874211,14.393592,10.028316,-4.7e-05,-0.05322,0.070765,0.070765,0.152569,9.117997,1970411030431.8335,0.20722,0.603703,0.612364,0.663143,0.997928,0.392282,0.501462,"Sharpe 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""USO"": 7.7514, ""__CASH__"": 1.7503}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1829855.228394,170144.771606,"{""IAU"": 6, ""DBC"": 24}",2,0.205068,0.178201,-0.190808,-0.16141,-0.025448,-0.0225,0.373135,0.351052,1.673272,1.801623,-0.000273,-0.000465,0.162454,0.233083,0.760965,0.682998,13.101524,15.407128,11.582233,-0.000192,-0.070629,0.077968,0.077968,0.12835,7.670618,33038140848.53505,0.44841,0.688082,0.193406,0.75037,0.843379,0.0,0.492616,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""DBC"": 8.0839, ""__CASH__"": 1.4179}"
IAU + XLU,defensive|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1814390.440251,185609.559749,"{""IAU"": 6, ""XLU"": 14}",2,0.205068,0.176742,-0.190808,-0.17413,-0.025448,-0.022115,0.373135,0.35276,1.673272,1.826166,-0.000273,-0.000299,0.162454,0.2478,0.760965,0.694458,13.813094,8.740305,13.095843,-2.6e-05,-0.085346,0.066507,0.066507,0.152894,9.137404,1652371120898.9595,0.683344,0.133052,0.672518,0.611571,1.0,0.327885,0.577836,"Sharpe 개선, CVaR 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""XLU"": 7.955, ""__CASH__"": 1.5467}"
IAU + XLP,defensive|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1738530.880127,261469.119873,"{""IAU"": 6, ""XLP"": 7}",2,0.205068,0.176164,-0.190808,-0.166651,-0.025448,-0.022123,0.373135,0.346708,1.673272,1.797803,-0.000273,-0.000351,0.162454,0.246089,0.760965,0.689979,14.095104,12.660139,13.063547,-7.7e-05,-0.083635,0.070986,0.070986,0.124531,7.442353,2019363793005.4602,0.678332,0.459388,0.523797,0.665814,0.819005,0.402195,0.602645,"Sharpe 개선, CVaR 개선, 노출(beta/corr) 감소","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""XLP"": 7.3228, ""__CASH__"": 2.1789}"
IAU + XLE,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1836884.64403,163115.35597,"{""IAU"": 6, ""XLE"": 12}",2,0.205068,0.181245,-0.190808,-0.159202,-0.025448,-0.022874,0.373135,0.360088,1.673272,1.821224,-0.000273,-0.000351,0.162454,0.242513,0.760965,0.71258,11.617278,16.564049,10.113378,-7.8e-05,-0.080059,0.048386,0.048386,0.147952,8.842063,2019363793005.4602,0.220423,0.784399,0.521869,0.392098,0.968464,0.402195,0.494568,"Sharpe 개선, MDD 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""XLE"": 8.1425, ""__CASH__"": 1.3593}"
IAU + IEF,bond|gold,PASS,PASS,20.0,2000000.0,1848424.719242,151575.280758,"{""IAU"": 6, ""IEF"": 7}",2,0.205068,0.173955,-0.190808,-0.163016,-0.025448,-0.021748,0.373135,0.338515,1.673272,1.77353,-0.000273,-0.000264,0.162454,0.242366,0.760965,0.666422,15.172042,14.56529,14.540272,1e-05,-0.079912,0.094543,0.094543,0.100258,5.99171,1255579678720.9255,0.907541,0.617997,0.77441,0.951113,0.664107,0.247542,0.77002,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""IEF"": 8.2386, ""__CASH__"": 1.2631}"
IAU + TLT,bond|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1764774.156974,235225.843026,"{""IAU"": 6, ""TLT"": 7}",2,0.205068,0.173896,-0.190808,-0.165549,-0.025448,-0.021678,0.373135,0.335647,1.673272,1.757638,-0.000273,-0.000301,0.162454,0.242739,0.760965,0.665429,15.20075,13.23755,14.812042,-2.8e-05,-0.080285,0.095537,0.095537,0.084366,5.041975,2019363793005.4602,0.949723,0.507459,0.66661,0.963149,0.562696,0.402195,0.739911,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""TLT"": 7.5415, ""__CASH__"": 1.9602}"
IAU + SHY,bond|gold,PASS,PASS,20.0,2000000.0,1828917.968506,171082.031494,"{""IAU"": 6, ""SHY"": 8}",2,0.205068,0.174026,-0.190808,-0.157921,-0.025448,-0.02177,0.373135,0.339755,1.673272,1.779938,-0.000273,-0.000256,0.162454,0.241825,0.760965,0.666744,15.137625,17.235644,14.451582,1.7e-05,-0.079372,0.094222,0.094222,0.106665,6.374652,534241831706.99005,0.893775,0.840311,0.797311,0.947221,0.704997,0.101485,0.810642,"노출(beta/corr) 감소, CVaR 개선, MDD 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""SHY"": 8.0761, ""__CASH__"": 1.4257}"
IAU + XLV,defensive|gold,PASS,PASS,20.0,2000000.0,1756924.574691,243075.425309,"{""IAU"": 6, ""XLV"": 4}",2,0.205068,0.177262,-0.190808,-0.164533,-0.025448,-0.022281,0.373135,0.34598,1.673272,1.782554,-0.000273,-0.000213,0.162454,0.268319,0.760965,0.699655,13.559342,13.770172,12.444105,6e-05,-0.105865,0.061311,0.061311,0.109282,6.531033,2019363793005.4602,0.582185,0.551801,0.919892,0.548635,0.721695,0.402195,0.645246,"Stress 방어, Sharpe 개선, CVaR 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""XLV"": 7.4761, ""__CASH__"": 2.0256}"
GLD + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
GLD + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1629984.350703,370015.649297,"{""GLD"": 1, ""USO"": 6}",2,0.205068,0.18021,-0.190808,-0.163275,-0.025448,-0.022813,0.373135,0.354949,1.673272,1.803171,-0.000273,-0.000315,0.162454,0.210134,0.760965,0.687157,12.122185,14.429644,10.355078,-4.2e-05,-0.047681,0.073808,0.073808,0.129898,7.763141,1970411030431.8335,0.257938,0.606704,0.627012,0.699994,0.853258,0.392282,0.511961,"Sharpe 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""GLD"": 5.8318, ""USO"": 7.7514, ""__CASH__"": 3.0835}"
GLD + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1669876.520749,330123.479251,"{""GLD"": 1, ""DBC"": 24}",2,0.205068,0.177681,-0.190808,-0.161296,-0.025448,-0.022409,0.373135,0.346072,1.673272,1.778872,-0.000273,-0.00046,0.162454,0.227772,0.760965,0.679955,13.355328,15.466455,11.939433,-0.000187,-0.065318,0.081011,0.081011,0.1056,6.310976,33038140848.53505,0.503853,0.693021,0.208054,0.787221,0.698198,0.0,0.505105,"노출(beta/corr) 감소, Sharpe 개선, MDD 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""GLD"": 5.8318, ""DBC"": 8.0839, ""__CASH__"": 2.751}"
GLD + XLU,defensive|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1654411.732607,345588.267393,"{""GLD"": 1, ""XLU"": 14}",2,0.205068,0.176261,-0.190808,-0.174064,-0.025448,-0.022044,0.373135,0.347764,1.673272,1.802797,-0.000273,-0.000294,0.162454,0.242011,0.760965,0.691415,14.047518,8.775153,13.374627,-2.1e-05,-0.079558,0.06955,0.06955,0.129525,7.740827,1652371120898.9595,0.726616,0.135953,0.687166,0.648422,0.850875,0.327885,0.585263,"Sharpe 개선, CVaR 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""GLD"": 5.8318, ""XLU"": 7.955, ""__CASH__"": 2.8799}"
GLD + XLP,defensive|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1578552.172482,421447.827518,"{""GLD"": 1, ""XLP"": 7}",2,0.205068,0.175698,-0.190808,-0.166539,-0.025448,-0.022049,0.373135,0.341729,1.673272,1.774237,-0.000273,-0.000346,0.162454,0.240158,0.760965,0.686937,14.322384,12.718735,13.357342,-7.2e-05,-0.077705,0.074029,0.074029,0.100965,6.03398,2488623226050.437,0.723933,0.464266,0.538444,0.702665,0.668621,0.497211,0.615908,"CVaR 개선, 노출(beta/corr) 감소, Sharpe 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""GLD"": 5.8318, ""XLP"": 7.3228, ""__CASH__"": 3.5121}"
GLD + XLE,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1676905.936386,323094.063614,"{""GLD"": 1, ""XLE"": 12}",2,0.205068,0.180762,-0.190808,-0.159025,-0.025448,-0.022789,0.373135,0.355068,1.673272,1.798324,-0.000273,-0.000346,0.162454,0.23691,0.760965,0.709537,11.85307,16.657113,10.449063,-7.3e-05,-0.074457,0.051428,0.051428,0.125052,7.473477,3906806844881.679,0.272526,0.792147,0.536517,0.428949,0.822328,0.784367,0.525463,"Sharpe 개선, MDD 개선, 유동성 양호","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""GLD"": 5.8318, ""XLE"": 8.1425, ""__CASH__"": 2.6925}"
GLD + IEF,bond|gold,PASS,PASS,20.0,2000000.0,1688446.011598,311553.988402,"{""GLD"": 1, ""IEF"": 7}",2,0.205068,0.173471,-0.190808,-0.162904,-0.025448,-0.021663,0.373135,0.33357,1.673272,1.749978,-0.000273,-0.000259,0.162454,0.236402,0.760965,0.66338,15.408421,14.623903,14.870767,1.5e-05,-0.073949,0.097586,0.097586,0.076705,4.584161,1255579678720.9255,0.958838,0.622877,0.789058,0.987965,0.513811,0.247542,0.780535,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""GLD"": 5.8318, ""IEF"": 8.2386, ""__CASH__"": 2.5963}"
GLD + TLT,bond|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1604795.44933,395204.55067,"{""GLD"": 1, ""TLT"": 7}",2,0.205068,0.17341,-0.190808,-0.165438,-0.025448,-0.021596,0.373135,0.330713,1.673272,1.734109,-0.000273,-0.000296,0.162454,0.236757,0.760965,0.662386,15.437748,13.295941,15.135961,-2.3e-05,-0.074303,0.098579,0.098579,0.060836,3.635769,4971757114543.927,1.0,0.51232,0.681258,1.0,0.412543,1.0,0.77997,"CVaR 개선, 노출(beta/corr) 감소, 유동성 양호","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""GLD"": 5.8318, ""TLT"": 7.5415, ""__CASH__"": 3.2934}"
