candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1789963.057968,210036.942032,"{""IAU"": 6, ""USO"": 6}",2,0.205068,0.180718,-0.190807,-0.163343,-0.025448,-0.022896,0.373135,0.359963,1.673272,1.825841,-0.000273,-0.00032,0.162454,0.215674,0.760965,0.690199,11.874212,14.393613,10.028304,-4.7e-05,-0.05322,0.070765,0.070765,0.152569,9.118,1970411033369.56,0.207221,0.603702,0.612362,0.663142,0.997928,0.392282,0.501461,"Sharpe 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""USO"": 7.7514, ""__CASH__"": 1.7503}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1829855.211191,170144.788809,"{""IAU"": 6, ""DBC"": 24}",2,0.205068,0.178201,-0.190807,-0.16141,-0.025448,-0.0225,0.373135,0.351051,1.673272,1.801623,-0.000273,-0.000465,0.162454,0.233083,0.760965,0.682997,13.101524,15.407123,11.582212,-0.000192,-0.070629,0.077968,0.077968,0.12835,7.670617,33038140663.32702,0.44841,0.68808,0.193408,0.75037,0.843378,0.0,0.492616,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""DBC"": 8.0839, ""__CASH__"": 1.4179}"
IAU + XLU,defensive|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1814390.4288,185609.5712,"{""IAU"": 6, ""XLU"": 14}",2,0.205068,0.176742,-0.190807,-0.17413,-0.025448,-0.022115,0.373135,0.35276,1.673272,1.826166,-0.000273,-0.000299,0.162454,0.2478,0.760965,0.694458,13.813094,8.740327,13.095838,-2.6e-05,-0.085346,0.066507,0.066507,0.152894,9.137402,1652371122214.9956,0.683347,0.133051,0.672516,0.611571,1.0,0.327885,0.577836,"Sharpe 개선, CVaR 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""XLU"": 7.955, ""__CASH__"": 1.5467}"
IAU + XLP,defensive|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1738530.874051,261469.125949,"{""IAU"": 6, ""XLP"": 7}",2,0.205068,0.176164,-0.190807,-0.166651,-0.025448,-0.022123,0.373135,0.346708,1.673272,1.797803,-0.000273,-0.000351,0.162454,0.246089,0.760965,0.689979,14.095107,12.660166,13.063552,-7.7e-05,-0.083635,0.070986,0.070986,0.124531,7.442357,2019363794163.3853,0.678336,0.459388,0.523792,0.665814,0.819005,0.402195,0.602645,"Sharpe 개선, CVaR 개선, 노출(beta/corr) 감소","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""XLP"": 7.3228, ""__CASH__"": 2.1789}"
IAU + XLE,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1836884.631904,163115.368096,"{""IAU"": 6, ""XLE"": 12}",2,0.205068,0.181245,-0.190807,-0.159202,-0.025448,-0.022874,0.373135,0.360088,1.673272,1.821224,-0.000273,-0.000351,0.162454,0.242513,0.760965,0.712579,11.617279,16.564088,10.113373,-7.8e-05,-0.080059,0.048385,0.048385,0.147952,8.842059,2019363794163.3853,0.220425,0.7844,0.521866,0.392098,0.968464,0.402195,0.494568,"Sharpe 개선, MDD 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""XLE"": 8.1425, ""__CASH__"": 1.3593}"
IAU + IEF,bond|gold,PASS,PASS,20.0,2000000.0,1848424.710926,151575.289074,"{""IAU"": 6, ""IEF"": 7}",2,0.205068,0.173955,-0.190807,-0.163016,-0.025448,-0.021748,0.373135,0.338515,1.673272,1.773531,-0.000273,-0.000264,0.162454,0.242366,0.760965,0.666422,15.172046,14.565318,14.540255,1e-05,-0.079912,0.094543,0.094543,0.100258,5.991748,1255579678910.7893,0.907542,0.617997,0.774408,0.951114,0.66411,0.247542,0.77002,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""IEF"": 8.2386, ""__CASH__"": 1.2631}"
IAU + TLT,bond|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1764774.155428,235225.844572,"{""IAU"": 6, ""TLT"": 7}",2,0.205068,0.173896,-0.190807,-0.165549,-0.025448,-0.021678,0.373135,0.335647,1.673272,1.757639,-0.000273,-0.000301,0.162454,0.242739,0.760965,0.665428,15.200757,13.237582,14.812014,-2.8e-05,-0.080285,0.095537,0.095537,0.084366,5.042001,2019363794163.3853,0.949723,0.50746,0.666604,0.963149,0.562697,0.402195,0.73991,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""TLT"": 7.5415, ""__CASH__"": 1.9602}"
IAU + SHY,bond|gold,PASS,PASS,20.0,2000000.0,1828917.962125,171082.037875,"{""IAU"": 6, ""SHY"": 8}",2,0.205068,0.174026,-0.190807,-0.157921,-0.025448,-0.02177,0.373135,0.339755,1.673272,1.779937,-0.000273,-0.000256,0.162454,0.241825,0.760965,0.666743,15.137632,17.235655,14.451567,1.7e-05,-0.079372,0.094222,0.094222,0.106665,6.374634,534241832039.15826,0.893776,0.84031,0.797314,0.947222,0.704994,0.101485,0.810642,"노출(beta/corr) 감소, CVaR 개선, MDD 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""SHY"": 8.0761, ""__CASH__"": 1.4257}"
IAU + XLV,defensive|gold,PASS,PASS,20.0,2000000.0,1756924.571488,243075.428512,"{""IAU"": 6, ""XLV"": 4}",2,0.205068,0.177262,-0.190807,-0.164533,-0.025448,-0.022281,0.373135,0.34598,1.673272,1.782554,-0.000273,-0.000213,0.162454,0.268319,0.760965,0.699654,13.559344,13.770162,12.444103,6e-05,-0.105865,0.061311,0.061311,0.109282,6.531037,2019363794163.3853,0.582188,0.551798,0.919886,0.548635,0.721695,0.402195,0.645246,"Stress 방어, Sharpe 개선, CVaR 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""IAU"": 7.1649, ""XLV"": 7.4761, ""__CASH__"": 2.0256}"
GLD + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
GLD + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1629984.353942,370015.646058,"{""GLD"": 1, ""USO"": 6}",2,0.205068,0.18021,-0.190807,-0.163275,-0.025448,-0.022813,0.373135,0.354949,1.673272,1.803171,-0.000273,-0.000315,0.162454,0.210134,0.760965,0.687157,12.122186,14.429665,10.355065,-4.2e-05,-0.047681,0.073808,0.073808,0.129899,7.763145,1970411033369.56,0.257939,0.606704,0.62701,0.699994,0.853258,0.392282,0.51196,"Sharpe 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""GLD"": 5.8318, ""USO"": 7.7514, ""__CASH__"": 3.0835}"
GLD + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1669876.507165,330123.492835,"{""GLD"": 1, ""DBC"": 24}",2,0.205068,0.177681,-0.190807,-0.161296,-0.025448,-0.022409,0.373135,0.346071,1.673272,1.778872,-0.000273,-0.00046,0.162454,0.227772,0.760965,0.679954,13.355328,15.46645,11.939423,-0.000187,-0.065318,0.08101,0.08101,0.1056,6.310975,33038140663.32702,0.503855,0.693019,0.208055,0.787221,0.698197,0.0,0.505106,"노출(beta/corr) 감소, Sharpe 개선, MDD 개선","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""GLD"": 5.8318, ""DBC"": 8.0839, ""__CASH__"": 2.751}"
GLD + XLU,defensive|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1654411.724774,345588.275226,"{""GLD"": 1, ""XLU"": 14}",2,0.205068,0.176261,-0.190807,-0.174064,-0.025448,-0.022044,0.373135,0.347764,1.673272,1.802797,-0.000273,-0.000294,0.162454,0.242011,0.760965,0.691415,14.047518,8.775175,13.374625,-2.1e-05,-0.079557,0.06955,0.06955,0.129525,7.740826,1652371122214.9956,0.726619,0.135952,0.687163,0.648422,0.850875,0.327885,0.585264,"Sharpe 개선, CVaR 개선, Stress 방어","{""MSFT"": 16.3925, ""NVDA"": 16.3925, ""AVGO"": 8.3858, ""XOM"": 9.3775, ""011200.KS"": 16.3925, ""207940.KS"": 16.3925, ""GLD"": 5.8318, ""XLU"": 7.955, ""__CASH__"": 2.8799}"
