candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2828242.970685,171757.029315,"{""IAU"": 10, ""USO"": 9}",2,0.205068,0.173775,-0.190807,-0.154793,-0.025448,-0.022271,0.373135,0.358287,1.673272,1.889148,-0.000273,-0.000342,0.162454,0.236097,0.760965,0.665531,15.259938,18.874824,12.481564,-6.9e-05,-0.073644,0.095433,0.095433,0.215876,12.901421,1970411033369.56,0.150008,0.556989,0.614907,0.680002,0.939145,0.392282,0.468411,"Sharpe 개선, 노출(beta/corr) 감소, Stress 방어","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""IAU"": 11.023, ""USO"": 10.7328, ""__CASH__"": 1.3212}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2928500.571719,71499.428281,"{""IAU"": 10, ""DBC"": 37}",2,0.205068,0.169837,-0.190807,-0.152734,-0.025448,-0.021777,0.373135,0.346834,1.673272,1.865518,-0.000273,-0.000552,0.162454,0.263254,0.760965,0.656801,17.180362,19.953954,14.426454,-0.000278,-0.100801,0.104164,0.104164,0.192245,11.48919,33038140663.32702,0.386433,0.622042,0.191788,0.761033,0.842313,0.0,0.458352,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""IAU"": 11.023, ""DBC"": 11.504, ""__CASH__"": 0.55}"
IAU + XLU,defensive|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2864884.026933,135115.973067,"{""IAU"": 10, ""XLU"": 21}",2,0.205068,0.167281,-0.190807,-0.168009,-0.025448,-0.021075,0.373135,0.348504,1.673272,1.903999,-0.000273,-0.000313,0.162454,0.287468,0.760965,0.671427,18.426539,11.948509,17.184992,-4e-05,-0.125014,0.089538,0.089538,0.230727,13.788955,1652371122214.9956,0.721768,0.139451,0.673319,0.62528,1.0,0.327885,0.594095,"Sharpe 개선, CVaR 개선, Stress 방어","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""IAU"": 11.023, ""XLU"": 11.0146, ""__CASH__"": 1.0394}"
IAU + XLP,defensive|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2813861.878499,186138.121501,"{""IAU"": 10, ""XLP"": 11}",2,0.205068,0.166534,-0.190807,-0.157629,-0.025448,-0.021074,0.373135,0.341159,1.673272,1.868442,-0.000273,-0.000391,0.162454,0.288871,0.760965,0.667815,18.791008,17.388562,17.186174,-0.000118,-0.126418,0.09315,0.09315,0.19517,11.663956,2019363794163.3853,0.721911,0.467393,0.516238,0.658805,0.854297,0.402195,0.620815,"Sharpe 개선, CVaR 개선, 노출(beta/corr) 감소","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""IAU"": 11.023, ""XLP"": 10.6221, ""__CASH__"": 1.4318}"
IAU + XLE,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2898625.33159,101374.66841,"{""IAU"": 10, ""XLE"": 18}",2,0.205068,0.173901,-0.190807,-0.150647,-0.025448,-0.022167,0.373135,0.358609,1.673272,1.889635,-0.000273,-0.000386,0.162454,0.277543,0.760965,0.696519,15.198551,21.047861,12.893624,-0.000113,-0.11509,0.064446,0.064446,0.216363,12.930505,2019363794163.3853,0.200099,0.687986,0.527032,0.392396,0.941139,0.402195,0.466501,"Sharpe 개선, MDD 개선, Stress 방어","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""IAU"": 11.023, ""XLE"": 11.2742, ""__CASH__"": 0.7798}"
IAU + IEF,bond|gold,PASS,PASS,30.0,3000000.0,2845318.706656,154681.293344,"{""IAU"": 10, ""IEF"": 10}",2,0.205068,0.163127,-0.190807,-0.152144,-0.025448,-0.020533,0.373135,0.328447,1.673272,1.829534,-0.000273,-0.000264,0.162454,0.278358,0.760965,0.631572,20.452326,20.263002,19.311017,9e-06,-0.115904,0.129392,0.129392,0.156262,9.338679,1255579678910.7893,0.980212,0.640673,0.773336,0.995186,0.694861,0.247542,0.807258,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""IAU"": 11.023, ""IEF"": 10.8641, ""__CASH__"": 1.1899}"
IAU + TLT,bond|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2855101.320664,144898.679336,"{""IAU"": 10, ""TLT"": 11}",2,0.205068,0.163485,-0.190807,-0.156019,-0.025448,-0.020517,0.373135,0.325114,1.673272,1.805152,-0.000273,-0.000319,0.162454,0.284367,0.760965,0.632203,20.278049,18.232059,19.375438,-4.6e-05,-0.121914,0.128762,0.128762,0.13188,7.881561,2019363794163.3853,0.988043,0.518241,0.661518,0.989332,0.594951,0.402195,0.760305,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""IAU"": 11.023, ""TLT"": 10.9394, ""__CASH__"": 1.1146}"
IAU + SHY,bond|gold,PASS,PASS,30.0,3000000.0,2886675.326921,113324.673079,"{""IAU"": 10, ""SHY"": 12}",2,0.205068,0.163219,-0.190807,-0.145072,-0.025448,-0.020559,0.373135,0.330602,1.673272,1.841708,-0.000273,-0.000253,0.162454,0.280189,0.760965,0.633054,20.40758,23.96954,19.210397,2e-05,-0.117736,0.127911,0.127911,0.168436,10.066268,534241832039.15826,0.967981,0.864113,0.794502,0.98144,0.744749,0.101485,0.848209,"노출(beta/corr) 감소, CVaR 개선, MDD 개선","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""IAU"": 11.023, ""SHY"": 11.1822, ""__CASH__"": 0.8717}"
IAU + XLV,defensive|gold,PASS,PASS,30.0,3000000.0,2778685.240965,221314.759035,"{""IAU"": 10, ""XLV"": 6}",2,0.205068,0.167767,-0.190807,-0.154575,-0.025448,-0.021263,0.373135,0.339215,1.673272,1.843126,-0.000273,-0.000194,0.162454,0.318213,0.760965,0.678623,18.189841,18.98922,16.442565,7.9e-05,-0.155759,0.082342,0.082342,0.169854,10.150998,2019363794163.3853,0.631516,0.563885,0.913524,0.558498,0.750559,0.402195,0.667528,"Stress 방어, Sharpe 개선, CVaR 개선","{""MSFT"": 15.1315, ""NVDA"": 15.1315, ""AVGO"": 7.7407, ""XOM"": 8.6562, ""011200.KS"": 15.1315, ""207940.KS"": 15.1315, ""IAU"": 11.023, ""XLV"": 10.3515, ""__CASH__"": 1.7024}"
