candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,50.0,4000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,PASS,PASS,50.0,4000000.0,3723224.499669,276775.500331,"{""IAU"": 13, ""USO"": 12}",2,0.23801,0.181634,-0.35281,-0.206804,-0.032141,-0.024666,0.364272,0.345562,1.404444,1.737348,-0.00087,-0.000769,0.258598,0.327595,1.030114,0.801628,23.686323,41.383878,23.256804,0.000101,-0.068996,0.228485,0.228485,0.332904,23.703608,1970411033369.56,0.316252,0.728057,0.61794,0.654293,0.981908,0.392282,0.563122,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""IAU"": 15.524, ""USO"": 15.5029, ""__CASH__"": 2.3065}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,50.0,4000000.0,3843428.177315,156571.822685,"{""IAU"": 13, ""DBC"": 49}",2,0.23801,0.176234,-0.35281,-0.211013,-0.032141,-0.024029,0.364272,0.328913,1.404444,1.69612,-0.00087,-0.001069,0.258598,0.358645,1.030114,0.788569,25.955448,40.19077,25.239369,-0.000199,-0.100046,0.241544,0.241544,0.291677,20.768122,33038140663.32702,0.508451,0.685677,0.19984,0.734337,0.869634,0.0,0.515458,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""IAU"": 15.524, ""DBC"": 16.5046, ""__CASH__"": 1.3048}"
IAU + XLU,defensive|gold,PASS,PASS,50.0,4000000.0,3840264.964647,159735.035353,"{""IAU"": 13, ""XLU"": 29}",2,0.23801,0.174969,-0.35281,-0.237811,-0.032141,-0.023506,0.364272,0.332588,1.404444,1.729376,-0.00087,-0.00073,0.258598,0.405268,1.030114,0.81327,26.486613,32.595271,26.865856,0.000139,-0.14667,0.216844,0.216844,0.324933,23.136031,1652371122214.9956,0.66613,0.415884,0.67189,0.58294,0.9602,0.327885,0.621409,"Sharpe 개선, Stress 방어, CVaR 개선","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""IAU"": 15.524, ""XLU"": 16.4782, ""__CASH__"": 1.3311}"
IAU + XLP,defensive|gold,PASS,PASS,50.0,4000000.0,3745894.499213,254105.500787,"{""IAU"": 13, ""XLP"": 15}",2,0.23801,0.17361,-0.35281,-0.242289,-0.032141,-0.023618,0.364272,0.321389,1.404444,1.678414,-0.00087,-0.000844,0.258598,0.4104,1.030114,0.806797,27.057931,31.326061,26.518845,2.6e-05,-0.151802,0.223316,0.223316,0.27397,19.507387,2019363794163.3853,0.632489,0.370802,0.513176,0.622611,0.821415,0.402195,0.562679,"Sharpe 개선, CVaR 개선, 노출(beta/corr) 감소","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""IAU"": 15.524, ""XLP"": 15.6918, ""__CASH__"": 2.1175}"
IAU + XLE,commodity_energy|gold,PASS,PASS,50.0,4000000.0,3817067.647542,182932.352458,"{""IAU"": 13, ""XLE"": 24}",2,0.23801,0.181282,-0.35281,-0.181396,-0.032141,-0.024706,0.364272,0.346154,1.404444,1.743991,-0.00087,-0.000832,0.258598,0.376367,1.030114,0.846388,23.834399,48.585548,23.133066,3.8e-05,-0.117769,0.183725,0.183725,0.339547,24.176629,2019363794163.3853,0.304256,0.983861,0.530263,0.379947,1.0,0.402195,0.567419,"Sharpe 개선, MDD 개선, Stress 방어","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""IAU"": 15.524, ""XLE"": 16.2849, ""__CASH__"": 1.5244}"
IAU + IEF,bond|gold,PASS,PASS,50.0,4000000.0,3840147.805585,159852.194415,"{""IAU"": 13, ""IEF"": 14}",2,0.23801,0.168525,-0.35281,-0.256928,-0.032141,-0.022709,0.364272,0.303329,1.404444,1.621885,-0.00087,-0.000657,0.258598,0.39993,1.030114,0.754073,29.194112,27.176695,29.345621,0.000213,-0.141332,0.27604,0.27604,0.217441,15.482378,1255579678910.7893,0.90653,0.223416,0.774938,0.945772,0.667469,0.247542,0.690658,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""IAU"": 15.524, ""IEF"": 16.4772, ""__CASH__"": 1.3321}"
IAU + TLT,bond|gold,PASS,PASS,50.0,4000000.0,3802130.102165,197869.897835,"{""IAU"": 13, ""TLT"": 15}",2,0.23801,0.170266,-0.35281,-0.273273,-0.032141,-0.022774,0.364272,0.297888,1.404444,1.573355,-0.00087,-0.000738,0.258598,0.406198,1.030114,0.754189,28.462832,22.543881,29.142587,0.000132,-0.1476,0.275925,0.275925,0.168911,12.026906,2019363794163.3853,0.886847,0.058858,0.661422,0.945065,0.535307,0.402195,0.622599,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""IAU"": 15.524, ""TLT"": 16.1604, ""__CASH__"": 1.6489}"
IAU + SHY,bond|gold,PASS,PASS,50.0,4000000.0,3801134.307984,198865.692016,"{""IAU"": 13, ""SHY"": 16}",2,0.23801,0.167833,-0.35281,-0.242862,-0.032141,-0.022672,0.364272,0.305927,1.404444,1.644057,-0.00087,-0.000641,0.258598,0.398487,1.030114,0.754716,29.484933,31.163567,29.460325,0.000229,-0.139888,0.275398,0.275398,0.239613,17.06109,534241832039.15826,0.91765,0.36503,0.797131,0.941832,0.727851,0.101485,0.725652,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""IAU"": 15.524, ""SHY"": 16.1521, ""__CASH__"": 1.6572}"
IAU + XLV,defensive|gold,PASS,PASS,50.0,4000000.0,3657147.526709,342852.473291,"{""IAU"": 13, ""XLV"": 8}",2,0.23801,0.175719,-0.35281,-0.241924,-0.032141,-0.023857,0.364272,0.317805,1.404444,1.637872,-0.00087,-0.000556,0.258598,0.442417,1.030114,0.820538,26.171849,31.429556,25.774014,0.000314,-0.183819,0.209576,0.209576,0.233429,16.620719,2019363794163.3853,0.560282,0.374478,0.915885,0.538391,0.711008,0.402195,0.599221,"Stress 방어, Sharpe 개선, CVaR 개선","{""AAPL"": 16.6667, ""MSFT"": 16.6667, ""NVDA"": 16.6667, ""005930.KS"": 16.6667, ""IAU"": 15.524, ""XLV"": 14.9522, ""__CASH__"": 2.8571}"
