candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + USO,commodity_energy|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1789963.057968,210036.942032,"{""IAU"": 6, ""USO"": 6}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""IAU"": 6.1414, ""USO"": 6.6441, ""__CASH__"": 1.5003}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1829855.211191,170144.788809,"{""IAU"": 6, ""DBC"": 24}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""IAU"": 6.1414, ""DBC"": 6.929, ""__CASH__"": 1.2153}"
IAU + XLU,defensive|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1814390.4288,185609.5712,"{""IAU"": 6, ""XLU"": 14}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""IAU"": 6.1414, ""XLU"": 6.8186, ""__CASH__"": 1.3258}"
IAU + XLP,defensive|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1738530.874051,261469.125949,"{""IAU"": 6, ""XLP"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""IAU"": 6.1414, ""XLP"": 6.2767, ""__CASH__"": 1.8676}"
IAU + XLE,commodity_energy|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1836884.631904,163115.368096,"{""IAU"": 6, ""XLE"": 12}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""IAU"": 6.1414, ""XLE"": 6.9792, ""__CASH__"": 1.1651}"
IAU + IEF,bond|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1848424.710926,151575.289074,"{""IAU"": 6, ""IEF"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""IAU"": 6.1414, ""IEF"": 7.0617, ""__CASH__"": 1.0827}"
IAU + TLT,bond|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1764774.155428,235225.844572,"{""IAU"": 6, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""IAU"": 6.1414, ""TLT"": 6.4642, ""__CASH__"": 1.6802}"
IAU + SHY,bond|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1828917.962125,171082.037875,"{""IAU"": 6, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""IAU"": 6.1414, ""SHY"": 6.9223, ""__CASH__"": 1.222}"
IAU + XLV,defensive|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - BTC-USD=28.5714%,16.666667,2000000.0,1756924.571488,243075.428512,"{""IAU"": 6, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 14.2857, ""MSFT"": 14.2857, ""NVDA"": 14.2857, ""005930.KS"": 14.2857, ""BTC-USD"": 28.5714, ""IAU"": 6.1414, ""XLV"": 6.4081, ""__CASH__"": 1.7363}"
IAU + ETH-USD,crypto|gold,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,16.666667,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
