candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,25.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,PASS,PASS,25.0,2000000.0,1789963.057968,210036.942032,"{""IAU"": 6, ""USO"": 6}",2,0.23801,0.20026,-0.35281,-0.261345,-0.032141,-0.02716,0.364272,0.351918,1.404444,1.607504,-0.00087,-0.000807,0.258598,0.311597,1.030114,0.891365,15.860872,25.92489,15.497126,6.3e-05,-0.052998,0.138748,0.138748,0.20306,14.45842,1970411033369.56,0.471446,0.833413,0.612362,0.663142,1.0,0.392282,0.640089,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""IAU"": 8.5979, ""USO"": 9.3017, ""__CASH__"": 2.1004}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,25.0,2000000.0,1829855.211191,170144.788809,"{""IAU"": 6, ""DBC"": 24}",2,0.23801,0.198217,-0.35281,-0.270523,-0.032141,-0.026865,0.364272,0.341117,1.404444,1.569578,-0.00087,-0.000981,0.258598,0.325779,1.030114,0.882723,16.719182,23.323404,16.415975,-0.000111,-0.06718,0.147391,0.147391,0.165135,11.758004,33038140663.32702,0.624255,0.667536,0.193408,0.75037,0.816468,0.0,0.547362,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""IAU"": 8.5979, ""DBC"": 9.7006, ""__CASH__"": 1.7014}"
IAU + XLU,defensive|gold,PASS,PASS,25.0,2000000.0,1814390.4288,185609.5712,"{""IAU"": 6, ""XLU"": 14}",2,0.23801,0.197892,-0.35281,-0.285504,-0.032141,-0.026684,0.364272,0.342827,1.404444,1.5808,-0.00087,-0.000781,0.258598,0.34536,1.030114,0.896475,16.85581,19.077297,16.979309,8.8e-05,-0.086761,0.133638,0.133638,0.176357,12.55704,1652371122214.9956,0.71794,0.396795,0.672516,0.611571,0.870774,0.327885,0.62977,"Sharpe 개선, CVaR 개선, Stress 방어","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""IAU"": 8.5979, ""XLU"": 9.546, ""__CASH__"": 1.8561}"
IAU + XLP,defensive|gold,PASS,PASS,25.0,2000000.0,1738530.874051,261469.125949,"{""IAU"": 6, ""XLP"": 7}",2,0.23801,0.197285,-0.35281,-0.287961,-0.032141,-0.026786,0.364272,0.335613,1.404444,1.549091,-0.00087,-0.000843,0.258598,0.345237,1.030114,0.891101,17.110552,18.380728,16.661459,2.6e-05,-0.086638,0.139013,0.139013,0.144647,10.299257,2019363794163.3853,0.66508,0.35238,0.523792,0.665814,0.717326,0.402195,0.566436,"Sharpe 개선, 노출(beta/corr) 감소, CVaR 개선","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""IAU"": 8.5979, ""XLP"": 8.7874, ""__CASH__"": 2.6147}"
IAU + XLE,commodity_energy|gold,PASS,PASS,25.0,2000000.0,1836884.631904,163115.368096,"{""IAU"": 6, ""XLE"": 12}",2,0.23801,0.201124,-0.35281,-0.252127,-0.032141,-0.027384,0.364272,0.351989,1.404444,1.600945,-0.00087,-0.000844,0.258598,0.333879,1.030114,0.918221,15.497708,28.537506,14.801094,2.6e-05,-0.075281,0.111892,0.111892,0.196502,13.991416,2019363794163.3853,0.355692,1.0,0.521866,0.392098,0.96826,0.402195,0.585011,"MDD 개선, Sharpe 개선, Stress 방어","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""IAU"": 8.5979, ""XLE"": 9.7709, ""__CASH__"": 1.6312}"
IAU + IEF,bond|gold,PASS,PASS,25.0,2000000.0,1848424.710926,151575.289074,"{""IAU"": 6, ""IEF"": 7}",2,0.23801,0.194607,-0.35281,-0.296155,-0.032141,-0.026218,0.364272,0.325952,1.404444,1.520764,-0.00087,-0.000739,0.258598,0.3413,1.030114,0.862832,18.235775,16.058379,18.429985,0.000131,-0.082702,0.167281,0.167281,0.11632,8.282293,1255579678910.7893,0.959194,0.204301,0.774408,0.951114,0.580245,0.247542,0.696973,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""IAU"": 8.5979, ""IEF"": 9.8863, ""__CASH__"": 1.5158}"
IAU + TLT,bond|gold,PASS,PASS,25.0,2000000.0,1764774.155428,235225.844572,"{""IAU"": 6, ""TLT"": 7}",2,0.23801,0.195023,-0.35281,-0.304166,-0.032141,-0.026206,0.364272,0.322422,1.404444,1.499423,-0.00087,-0.000784,0.258598,0.341483,1.030114,0.86164,18.061231,13.787682,18.466759,8.6e-05,-0.082885,0.168474,0.168474,0.09498,6.762804,2019363794163.3853,0.96531,0.059516,0.666604,0.963149,0.476974,0.402195,0.647204,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""IAU"": 8.5979, ""TLT"": 9.0498, ""__CASH__"": 2.3523}"
IAU + SHY,bond|gold,PASS,PASS,25.0,2000000.0,1828917.962125,171082.037875,"{""IAU"": 6, ""SHY"": 8}",2,0.23801,0.194382,-0.35281,-0.288204,-0.032141,-0.026234,0.364272,0.327502,1.404444,1.530499,-0.00087,-0.000729,0.258598,0.340505,1.030114,0.863218,18.330233,18.311998,18.378479,0.00014,-0.081907,0.166896,0.166896,0.126055,8.975462,534241832039.15826,0.950629,0.347997,0.797314,0.947222,0.627355,0.101485,0.724314,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""IAU"": 8.5979, ""SHY"": 9.6913, ""__CASH__"": 1.7108}"
IAU + XLV,defensive|gold,PASS,PASS,25.0,2000000.0,1756924.571488,243075.428512,"{""IAU"": 6, ""XLV"": 4}",2,0.23801,0.199038,-0.35281,-0.28791,-0.032141,-0.026994,0.364272,0.334596,1.404444,1.530344,-0.00087,-0.000678,0.258598,0.366923,1.030114,0.902711,16.374367,18.395348,16.014822,0.000191,-0.108325,0.127403,0.127403,0.1259,8.964432,2019363794163.3853,0.557541,0.353312,0.919886,0.548635,0.626606,0.402195,0.587413,"Stress 방어, Sharpe 개선, CVaR 개선","{""AAPL"": 20.0, ""MSFT"": 20.0, ""NVDA"": 20.0, ""005930.KS"": 20.0, ""IAU"": 8.5979, ""XLV"": 8.9713, ""__CASH__"": 2.4308}"
