candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,PASS,PASS,10.0,,,,,2,0.205068,0.194581,-0.190808,-0.18398,-0.025448,-0.024178,0.373135,0.360417,1.673272,1.698097,-0.000273,0.000101,0.162454,0.282962,0.760965,0.749693,5.114265,3.578198,4.988252,0.000374,-0.120508,0.011272,0.011272,0.024825,1.483626,2019363794163.3853,0.226242,0.518122,0.495593,0.267605,0.482364,0.168939,0.365371,"MDD 개선, Stress 방어, Sharpe 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 5.0, ""BTC-USD"": 5.0}"
IAU + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.190288,-0.190808,-0.174301,-0.025448,-0.023895,0.373135,0.369373,1.673272,1.783467,-0.000273,-0.000307,0.162454,0.199403,0.760965,0.721906,7.207306,8.650739,6.099726,-3.4e-05,-0.036949,0.039059,0.039059,0.110194,6.585558,1970411033369.56,0.268874,0.603701,0.264962,0.398651,0.619752,0.164776,0.377918,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 5.0, ""USO"": 5.0}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.188828,-0.190808,-0.173325,-0.025448,-0.023644,0.373135,0.36301,1.673272,1.763567,-0.000273,-0.000395,0.162454,0.208529,0.760965,0.716404,7.919623,9.162527,7.089312,-0.000122,-0.046076,0.044561,0.044561,0.090294,5.396261,33038140663.32702,0.306832,0.612335,0.215037,0.4246,0.587726,0.0,0.374098,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 5.0, ""DBC"": 5.0}"
IAU + XLU,defensive|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.188046,-0.190808,-0.180982,-0.025448,-0.023462,0.373135,0.36428,1.673272,1.777651,-0.000273,-0.000293,0.162454,0.216466,0.760965,0.723931,8.300901,5.149698,7.801807,-1.9e-05,-0.054013,0.037035,0.037035,0.104379,6.237987,1652371122214.9956,0.334161,0.544635,0.272988,0.389103,0.610392,0.137726,0.387317,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 5.0, ""XLU"": 5.0}"
IAU + XLP,defensive|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.187934,-0.190808,-0.17683,-0.025448,-0.02349,0.373135,0.361238,1.673272,1.762524,-0.000273,-0.00033,0.162454,0.217441,0.760965,0.723247,8.35561,7.325421,7.694502,-5.7e-05,-0.054988,0.037719,0.037719,0.089252,5.333981,2019363794163.3853,0.330045,0.581341,0.251712,0.392329,0.586049,0.168939,0.388411,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 5.0, ""XLP"": 5.0}"
IAU + XLE,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.19059,-0.190808,-0.17181,-0.025448,-0.023868,0.373135,0.368511,1.673272,1.77612,-0.000273,-0.000324,0.162454,0.213441,0.760965,0.734426,7.060242,9.95656,6.208514,-5.1e-05,-0.050988,0.02654,0.02654,0.102848,6.146493,2019363794163.3853,0.273047,0.625731,0.255176,0.339608,0.607928,0.168939,0.374949,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 5.0, ""XLE"": 5.0}"
IAU + IEF,bond|gold,PASS,PASS,10.0,,,,,2,0.205068,0.186353,-0.190808,-0.174294,-0.025448,-0.023206,0.373135,0.355096,1.673272,1.744518,-0.000273,-0.00027,0.162454,0.212064,0.760965,0.705969,9.126472,8.654695,8.80833,3e-06,-0.04961,0.054996,0.054996,0.071246,4.257884,1255579678910.7893,0.372768,0.603767,0.285664,0.47381,0.557071,0.103979,0.416642,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 5.0, ""IEF"": 5.0}"
IAU + TLT,bond|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.186301,-0.190808,-0.176012,-0.025448,-0.023171,0.373135,0.353562,1.673272,1.736774,-0.000273,-0.000296,0.162454,0.214451,0.760965,0.706192,9.151939,7.754061,8.946556,-2.2e-05,-0.051998,0.054773,0.054773,0.063502,3.795056,2019363794163.3853,0.37807,0.588573,0.271372,0.47276,0.544607,0.168939,0.414497,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 5.0, ""TLT"": 5.0}"
IAU + SHY,bond|gold,PASS,PASS,10.0,,,,,2,0.205068,0.186445,-0.190808,-0.171196,-0.025448,-0.023232,0.373135,0.355945,1.673272,1.748208,-0.000273,-0.000265,0.162454,0.212257,0.760965,0.70636,9.081513,10.278292,8.708554,8e-06,-0.049803,0.054605,0.054605,0.074936,4.478393,534241832039.15826,0.368941,0.631159,0.288393,0.471966,0.563009,0.042628,0.418669,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 5.0, ""SHY"": 5.0}"
IAU + XLV,defensive|gold,PASS,PASS,10.0,,,,,2,0.205068,0.188625,-0.190808,-0.175368,-0.025448,-0.023588,0.373135,0.360524,1.673272,1.752284,-0.000273,-0.000237,0.162454,0.230715,0.760965,0.729168,8.018533,8.09197,7.308459,3.6e-05,-0.068262,0.031798,0.031798,0.079012,4.721994,2019363794163.3853,0.315237,0.594274,0.30449,0.364405,0.569569,0.168939,0.39193,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 5.0, ""XLV"": 5.0}"
GLD + BTC-USD,crypto|gold,PASS,PASS,10.0,,,,,2,0.205068,0.1946,-0.190808,-0.183985,-0.025448,-0.02418,0.373135,0.360296,1.673272,1.697305,-0.000273,0.000101,0.162454,0.283173,0.760965,0.749728,5.104863,3.575753,4.980789,0.000374,-0.120719,0.011237,0.011237,0.024033,1.436285,11790667529426.021,0.225955,0.518081,0.495538,0.267441,0.481089,1.0,0.406661,"유동성 양호, MDD 개선, Stress 방어","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 5.0, ""BTC-USD"": 5.0}"
GLD + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.190308,-0.190808,-0.174333,-0.025448,-0.023897,0.373135,0.369251,1.673272,1.782639,-0.000273,-0.000307,0.162454,0.199661,0.760965,0.721941,7.197645,8.633965,6.094501,-3.4e-05,-0.037208,0.039024,0.039024,0.109366,6.536082,1970411033369.56,0.268674,0.603418,0.264908,0.398487,0.618419,0.164776,0.37763,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 5.0, ""USO"": 5.0}"
GLD + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.188847,-0.190808,-0.17333,-0.025448,-0.023645,0.373135,0.362889,1.673272,1.762739,-0.000273,-0.000395,0.162454,0.20879,0.760965,0.716439,7.910048,9.159957,7.083955,-0.000122,-0.046336,0.044527,0.044527,0.089467,5.346833,33038140663.32702,0.306626,0.612292,0.214982,0.424436,0.586395,0.0,0.373857,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 5.0, ""DBC"": 5.0}"
GLD + XLU,defensive|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.188066,-0.190808,-0.181014,-0.025448,-0.023463,0.373135,0.364158,1.673272,1.776812,-0.000273,-0.000293,0.162454,0.216736,0.760965,0.723966,8.291043,5.133004,7.799045,-2e-05,-0.054282,0.037,0.037,0.10354,6.187859,1652371122214.9956,0.334055,0.544353,0.272934,0.388939,0.609042,0.137726,0.387061,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 5.0, ""XLU"": 5.0}"
GLD + XLP,defensive|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.187954,-0.190808,-0.176835,-0.025448,-0.02349,0.373135,0.361116,1.673272,1.761693,-0.000273,-0.00033,0.162454,0.21771,0.760965,0.723281,8.345947,7.322821,7.693559,-5.7e-05,-0.055256,0.037684,0.037684,0.08842,5.284265,2488623226120.116,0.330009,0.581298,0.251657,0.392166,0.58471,0.20885,0.390224,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 5.0, ""XLP"": 5.0}"
GLD + XLE,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.190609,-0.190808,-0.171815,-0.025448,-0.023869,0.373135,0.368389,1.673272,1.775302,-0.000273,-0.000324,0.162454,0.213703,0.760965,0.73446,7.050941,9.954045,6.205564,-5.1e-05,-0.05125,0.026505,0.026505,0.10203,6.097634,3906806842509.893,0.272934,0.625689,0.255122,0.339444,0.606613,0.329469,0.382768,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 5.0, ""XLE"": 5.0}"
GLD + IEF,bond|gold,PASS,PASS,10.0,,,,,2,0.205068,0.186373,-0.190808,-0.174299,-0.025448,-0.023206,0.373135,0.354975,1.673272,1.743683,-0.000273,-0.00027,0.162454,0.212338,0.760965,0.706004,9.116754,8.652097,8.810686,3e-06,-0.049885,0.054961,0.054961,0.070411,4.207977,1255579678910.7893,0.372858,0.603724,0.28561,0.473646,0.555727,0.103979,0.416503,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 5.0, ""IEF"": 5.0}"
GLD + TLT,bond|gold,FAIL,FAIL: Stress 개선 미달,10.0,,,,,2,0.205068,0.186321,-0.190808,-0.176017,-0.025448,-0.02317,0.373135,0.353441,1.673272,1.735939,-0.000273,-0.000296,0.162454,0.214725,0.760965,0.706227,9.142146,7.751472,8.948876,-2.2e-05,-0.052271,0.054739,0.054739,0.062666,3.745132,4971757111657.575,0.378159,0.588529,0.271317,0.472596,0.543263,0.420044,0.426913,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 5.0, ""TLT"": 5.0}"
GLD + SHY,bond|gold,PASS,PASS,10.0,,,,,2,0.205068,0.186465,-0.190808,-0.171201,-0.025448,-0.023231,0.373135,0.355824,1.673272,1.747372,-0.000273,-0.000266,0.162454,0.21253,0.760965,0.706395,9.071782,10.275681,8.709479,8e-06,-0.050076,0.05457,0.05457,0.0741,4.428444,534241832039.15826,0.368976,0.631115,0.288338,0.471802,0.561664,0.042628,0.41851,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 5.0, ""SHY"": 5.0}"
GLD + XLV,defensive|gold,PASS,PASS,10.0,,,,,2,0.205068,0.188645,-0.190808,-0.175373,-0.025448,-0.023588,0.373135,0.360403,1.673272,1.751457,-0.000273,-0.000237,0.162454,0.230982,0.760965,0.729202,8.008883,8.089352,7.307534,3.6e-05,-0.068528,0.031763,0.031763,0.078185,4.672555,2989320532229.1396,0.315202,0.59423,0.304435,0.364242,0.568237,0.251435,0.395873,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 5.0, ""XLV"": 5.0}"
BTC-USD + USO,commodity_energy|crypto,FAIL,FAIL: beta/corr 감소 미달,10.0,,,,,2,0.205068,0.19737,-0.190808,-0.185039,-0.025448,-0.024748,0.373135,0.360349,1.673272,1.673757,-0.000273,7.9e-05,0.162454,0.269499,0.760965,0.763603,3.754054,3.023303,2.749667,0.000352,-0.107046,-0.002638,-0.002638,0.000485,0.028964,1970411033369.56,0.140377,0.508761,0.483146,0.202006,0.443192,0.164776,0.320272,"MDD 개선, Stress 방어, Sharpe 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""BTC-USD"": 5.0, ""USO"": 5.0}"
BTC-USD + DBC,commodity_energy|crypto,PASS,PASS,10.0,,,,,2,0.205068,0.195998,-0.190808,-0.184225,-0.025448,-0.024485,0.373135,0.354019,1.673272,1.653175,-0.000273,-9e-06,0.162454,0.278912,0.760965,0.758101,4.423159,3.450014,3.782201,0.000264,-0.116458,0.002865,0.002865,-0.020097,-1.201074,33038140663.32702,0.179981,0.51596,0.433221,0.227955,0.410068,0.0,0.316632,"MDD 개선, Stress 방어, Sharpe 개선","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""BTC-USD"": 5.0, ""DBC"": 5.0}"
