candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,PASS,PASS,20.0,20.0,2000000.0,1866941.364182,133058.635818,"{""IAU"": 13}",1,0.59802,0.500276,-0.71603,-0.631384,-0.080393,-0.067415,0.17056,0.221102,0.235043,0.381994,-0.002338,-0.002012,0.592445,0.614481,1.806537,1.540667,16.344672,11.821574,16.142735,0.000326,-0.022037,0.26587,0.26587,0.146952,62.521357,2014882325045.7766,0.917621,0.610396,0.672796,0.91034,1.0,0.16903,0.777291,"Sharpe 개선, CVaR 개선, 노출(beta/corr) 감소","{""TSLA"": 83.3333, ""IAU"": 15.5578, ""__CASH__"": 1.1088}"
GLD,gold,PASS,PASS,20.0,20.0,2000000.0,1402365.094608,597634.905392,"{""GLD"": 2}",1,0.59802,0.499654,-0.71603,-0.632734,-0.080393,-0.067306,0.17056,0.207722,0.235043,0.355691,-0.002338,-0.001996,0.592445,0.611254,1.806537,1.531962,16.448661,11.632972,16.279215,0.000342,-0.01881,0.274575,0.274575,0.120648,51.330437,11765093111755.934,1.0,0.570404,0.704422,1.0,0.746821,1.0,0.829647,"CVaR 개선, 노출(beta/corr) 감소, 유동성 양호","{""TSLA"": 83.3333, ""GLD"": 11.6864, ""__CASH__"": 4.9803}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,20.0,2000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO,commodity_energy,PASS,PASS,20.0,20.0,2000000.0,1857770.978793,142229.021207,"{""USO"": 12}",1,0.59802,0.505101,-0.71603,-0.631171,-0.080393,-0.068194,0.17056,0.221478,0.235043,0.379088,-0.002338,-0.002084,0.592445,0.600334,1.806537,1.585853,15.537701,11.851287,15.173848,0.000254,-0.007889,0.220684,0.220684,0.144046,61.284956,1632219016483.3198,0.3328,0.616696,0.533317,0.444901,0.972028,0.136417,0.494996,"Sharpe 개선, MDD 개선, Stress 방어","{""TSLA"": 83.3333, ""USO"": 15.4814, ""__CASH__"": 1.1852}"
XLU,defensive,PASS,PASS,20.0,20.0,2000000.0,1946566.838579,53433.161421,"{""XLU"": 28}",1,0.59802,0.503965,-0.71603,-0.628613,-0.080393,-0.06768,0.17056,0.202533,0.235043,0.342352,-0.002338,-0.001992,0.592445,0.615901,1.806537,1.594481,15.727804,12.208525,15.813769,0.000346,-0.023456,0.212056,0.212056,0.10731,45.655456,1650941766724.0986,0.719057,0.692446,0.712407,0.356023,0.618432,0.138013,0.636987,"CVaR 개선, Stress 방어, MDD 개선","{""TSLA"": 83.3333, ""XLU"": 16.2214, ""__CASH__"": 0.4453}"
DBC,commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1973365.902637,26634.097363,"{""DBC"": 49}",1,0.59802,0.503389,-0.71603,-0.631404,-0.080393,-0.068057,0.17056,0.205377,0.235043,0.348393,-0.002338,-0.00236,0.592445,0.62068,1.806537,1.57204,15.824034,11.818745,15.345167,-2.2e-05,-0.028236,0.234497,0.234497,0.113351,48.225523,31566453060.943737,0.436208,0.609796,0.0,0.587177,0.676576,0.0,0.526007,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""TSLA"": 83.3333, ""DBC"": 16.4447, ""__CASH__"": 0.222}"
XLP,defensive,PASS,PASS,20.0,20.0,2000000.0,1913550.391102,86449.608898,"{""XLP"": 15}",1,0.59802,0.502912,-0.71603,-0.63086,-0.080393,-0.067735,0.17056,0.194831,0.235043,0.327752,-0.002338,-0.002104,0.592445,0.617414,1.806537,1.590115,15.903802,11.894702,15.745587,0.000234,-0.024969,0.216422,0.216422,0.09271,39.443855,2475628987820.9033,0.677902,0.625902,0.495698,0.401,0.477903,0.208297,0.559891,"CVaR 개선, MDD 개선, Stress 방어","{""TSLA"": 83.3333, ""XLP"": 15.9463, ""__CASH__"": 0.7204}"
XLE,commodity_energy,PASS,PASS,20.0,20.0,2000000.0,1922171.76983,77828.23017,"{""XLE"": 23}",1,0.59802,0.507861,-0.71603,-0.618228,-0.080393,-0.068638,0.17056,0.219531,0.235043,0.373194,-0.002338,-0.002151,0.592445,0.615976,1.806537,1.629045,15.076271,13.658949,14.62249,0.000186,-0.023532,0.177492,0.177492,0.138152,58.777302,3815510015425.9995,0.0,1.0,0.403012,0.0,0.915296,0.32249,0.613256,"MDD 개선, Sharpe 개선, Stress 방어","{""TSLA"": 83.3333, ""XLE"": 16.0181, ""__CASH__"": 0.6486}"
IEF,bond,PASS,PASS,20.0,20.0,2000000.0,1866362.666366,133637.333634,"{""IEF"": 13}",1,0.59802,0.499737,-0.71603,-0.641273,-0.080393,-0.06734,0.17056,0.177458,0.235043,0.295071,-0.002338,-0.001942,0.592445,0.613689,1.806537,1.53585,16.434667,10.44049,16.23706,0.000396,-0.021245,0.270687,0.270687,0.060029,25.539473,1261955140466.467,0.974555,0.317545,0.80909,0.959956,0.163335,0.104861,0.683994,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""TSLA"": 83.3333, ""IEF"": 15.553, ""__CASH__"": 1.1136}"
TLT,bond,PASS,PASS,20.0,20.0,2000000.0,1986112.657352,13887.342648,"{""TLT"": 15}",1,0.59802,0.500876,-0.71603,-0.651996,-0.080393,-0.067536,0.17056,0.169294,0.235043,0.278102,-0.002338,-0.002051,0.592445,0.615239,1.806537,1.538677,16.244344,8.942948,15.992844,0.000287,-0.022794,0.267859,0.267859,0.043059,18.319796,4967457365765.731,0.827146,0.0,0.597648,0.93083,0.0,0.420666,0.673147,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""TSLA"": 83.3333, ""TLT"": 16.5509, ""__CASH__"": 0.1157}"
SHY,bond,PASS,PASS,20.0,20.0,2000000.0,1965145.153438,34854.846562,"{""SHY"": 16}",1,0.59802,0.499692,-0.71603,-0.634798,-0.080393,-0.06732,0.17056,0.182645,0.235043,0.305478,-0.002338,-0.00191,0.592445,0.616344,1.806537,1.538886,16.442321,11.344721,16.261308,0.000428,-0.0239,0.26765,0.26765,0.070436,29.967198,532876567237.4225,0.989192,0.509282,0.869822,0.928677,0.263507,0.042725,0.743392,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""TSLA"": 83.3333, ""SHY"": 16.3762, ""__CASH__"": 0.2905}"
