candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1862878.988534,137121.011466,"{""IAU"": 13}",1,0.282572,0.240522,-0.320566,-0.264819,-0.039909,-0.033778,0.232355,0.250543,0.716119,0.916937,0.000211,0.000112,0.601582,0.653913,1.204088,1.038317,14.881264,17.390188,15.363783,-9.9e-05,-0.052331,0.165771,0.165771,0.200817,28.042424,2019363794163.3853,0.933872,0.995445,0.676783,0.913303,1.0,0.168939,0.861078,"Sharpe 개선, MDD 개선, CVaR 개선","{""AAPL"": 83.3333, ""IAU"": 15.524, ""__CASH__"": 1.1427}"
GLD,gold,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1399623.19675,600376.80325,"{""GLD"": 2}",1,0.282572,0.238968,-0.320566,-0.264715,-0.039909,-0.033609,0.232355,0.236856,0.716119,0.865624,0.000211,0.000128,0.601582,0.645742,1.204088,1.029692,15.431191,17.422536,15.787318,-8.3e-05,-0.04416,0.174396,0.174396,0.149504,20.87703,11790667529426.021,1.0,1.0,0.708358,1.0,0.772606,1.0,0.918932,"CVaR 개선, MDD 개선, 노출(beta/corr) 감소","{""AAPL"": 83.3333, ""GLD"": 11.6635, ""__CASH__"": 5.0031}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,20.0,2000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO,commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1860345.511134,139654.488866,"{""USO"": 12}",1,0.282572,0.249693,-0.320566,-0.28748,-0.039909,-0.035983,0.232355,0.252198,0.716119,0.889884,0.000211,4e-05,0.601582,0.60758,1.204088,1.083305,11.635649,10.321297,9.83815,-0.000171,-0.005998,0.120783,0.120783,0.173765,24.264818,1970411033369.56,0.071134,0.0,0.5365,0.461077,0.880117,0.164776,0.274555,"Sharpe 개선, Stress 방어, 노출(beta/corr) 감소","{""AAPL"": 83.3333, ""USO"": 15.5029, ""__CASH__"": 1.1638}"
DBC,commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1980549.18878,19450.81122,"{""DBC"": 49}",1,0.282572,0.244873,-0.320566,-0.280523,-0.039909,-0.03511,0.232355,0.235656,0.716119,0.839849,0.000211,-0.000237,0.601582,0.64513,1.204088,1.069968,13.341347,12.491405,12.025955,-0.000448,-0.043548,0.13412,0.13412,0.12373,17.277816,33038140663.32702,0.412724,0.305596,0.0,0.595141,0.658385,0.0,0.330925,"Sharpe 개선, 노출(beta/corr) 감소, CVaR 개선","{""AAPL"": 83.3333, ""DBC"": 16.5046, ""__CASH__"": 0.1621}"
XLU,defensive,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1977385.976113,22614.023887,"{""XLU"": 29}",1,0.282572,0.24722,-0.320566,-0.281929,-0.039909,-0.034757,0.232355,0.232163,0.716119,0.817746,0.000211,0.000132,0.601582,0.648459,1.204088,1.093813,12.510723,12.052889,12.90966,-7.9e-05,-0.046877,0.110275,0.110275,0.101627,14.191305,1652371122214.9956,0.5507,0.243844,0.714843,0.355445,0.560434,0.137726,0.482957,"Stress 방어, Sharpe 개선, CVaR 개선","{""AAPL"": 83.3333, ""XLU"": 16.4782, ""__CASH__"": 0.1885}"
XLP,defensive,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1883015.510679,116984.489321,"{""XLP"": 15}",1,0.282572,0.247528,-0.320566,-0.275668,-0.039909,-0.035147,0.232355,0.222566,0.716119,0.777954,0.000211,2.3e-05,0.601582,0.628336,1.204088,1.086666,12.401676,14.005962,11.932669,-0.000188,-0.026755,0.117422,0.117422,0.061834,8.634636,2488623226120.116,0.398159,0.518876,0.503996,0.427287,0.384093,0.20885,0.435511,"MDD 개선, Stress 방어, 노출(beta/corr) 감소","{""AAPL"": 83.3333, ""XLP"": 15.6918, ""__CASH__"": 0.9749}"
XLE,commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1954188.659008,45811.340992,"{""XLE"": 24}",1,0.282572,0.252561,-0.320566,-0.282479,-0.039909,-0.036165,0.232355,0.250563,0.716119,0.873306,0.000211,-3.1e-05,0.601582,0.635354,1.204088,1.129173,10.620513,11.881288,9.382557,-0.000242,-0.033772,0.074915,0.074915,0.157186,21.949724,3906806842509.893,0.0,0.219679,0.399844,0.0,0.806648,0.329469,0.221043,"Sharpe 개선, Stress 방어, 유동성 양호","{""AAPL"": 83.3333, ""XLE"": 16.2849, ""__CASH__"": 0.3818}"
IEF,bond,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1977268.817051,22731.182949,"{""IEF"": 14}",1,0.282572,0.24022,-0.320566,-0.276859,-0.039909,-0.033887,0.232355,0.205939,0.716119,0.732407,0.000211,0.000183,0.601582,0.634913,1.204088,1.035484,14.988146,13.63425,15.089084,-2.8e-05,-0.033331,0.168604,0.168604,0.016288,2.274467,1255579678910.7893,0.890982,0.466532,0.81373,0.941777,0.182253,0.103979,0.685498,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""AAPL"": 83.3333, ""IEF"": 16.4772, ""__CASH__"": 0.1894}"
TLT,bond,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1939251.113631,60748.886369,"{""TLT"": 15}",1,0.282572,0.241595,-0.320566,-0.282255,-0.039909,-0.033946,0.232355,0.19701,0.716119,0.691281,0.000211,7.5e-05,0.601582,0.639726,1.204088,1.035795,14.501337,11.951172,14.942795,-0.000135,-0.038144,0.168293,0.168293,-0.024838,-3.468479,4971757120341.5625,0.868141,0.22952,0.605966,0.938657,0.0,0.420044,0.585814,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""AAPL"": 83.3333, ""TLT"": 16.1604, ""__CASH__"": 0.5062}"
