candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - IAU=22.0459%,30.0,30.0,3000000.0,2865967.674668,134032.325332,"{""IAU"": 20}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""USO"": 76.9231, ""IAU"": 22.0459, ""__CASH__"": 1.031}"
GLD,gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - GLD=21.5327%,30.0,30.0,3000000.0,2799246.3935,200753.6065,"{""GLD"": 4}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""USO"": 76.9231, ""GLD"": 21.5327, ""__CASH__"": 1.5443}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,30.0,3000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
DBC,commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - DBC=23.0079%,30.0,30.0,3000000.0,2991033.46877,8966.53123,"{""DBC"": 74}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""USO"": 76.9231, ""DBC"": 23.0079, ""__CASH__"": 0.069}"
XLU,defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - XLU=22.5537%,30.0,30.0,3000000.0,2931986.102512,68013.897488,"{""XLU"": 43}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""USO"": 76.9231, ""XLU"": 22.5537, ""__CASH__"": 0.5232}"
XLP,defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - XLP=22.2099%,30.0,30.0,3000000.0,2887290.449708,112709.550292,"{""XLP"": 23}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""USO"": 76.9231, ""XLP"": 22.2099, ""__CASH__"": 0.867}"
XLE,commodity_energy,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - XLE=22.5483%,30.0,30.0,3000000.0,2931282.988512,68717.011488,"{""XLE"": 36}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""USO"": 76.9231, ""XLE"": 22.5483, ""__CASH__"": 0.5286}"
IEF,bond,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - IEF=22.8146%,30.0,30.0,3000000.0,2965903.225576,34096.774424,"{""IEF"": 21}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""USO"": 76.9231, ""IEF"": 22.8146, ""__CASH__"": 0.2623}"
TLT,bond,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - TLT=22.8732%,30.0,30.0,3000000.0,2973518.374234,26481.625766,"{""TLT"": 23}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""USO"": 76.9231, ""TLT"": 22.8732, ""__CASH__"": 0.2037}"
SHY,bond,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - SHY=22.3645%,30.0,30.0,3000000.0,2907382.979174,92617.020826,"{""SHY"": 24}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""USO"": 76.9231, ""SHY"": 22.3645, ""__CASH__"": 0.7124}"
XLV,defensive,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - XLV=22.4284%,30.0,30.0,3000000.0,2915686.374534,84313.625466,"{""XLV"": 13}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""USO"": 76.9231, ""XLV"": 22.4284, ""__CASH__"": 0.6486}"
ETH-USD,crypto,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - ETH-USD=22.8069%,30.0,30.0,3000000.0,2964899.822764,35100.177236,"{""ETH-USD"": 1}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""USO"": 76.9231, ""ETH-USD"": 22.8069, ""__CASH__"": 0.27}"
