candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,PASS,PASS,20.0,20.0,2000000.0,1862878.988534,137121.011466,"{""IAU"": 13}",1,0.356086,0.306348,-0.345884,-0.283109,-0.05089,-0.043557,0.285314,0.297301,0.717,0.872541,-0.000878,-0.000796,0.144387,0.172604,0.515375,0.46439,13.968205,18.149177,14.410042,8.3e-05,-0.028217,0.050986,0.050986,0.155541,21.693326,2019363794163.3853,0.760093,1.0,0.676783,0.899834,1.0,0.168939,0.79982,"MDD 개선, Sharpe 개선, 노출(beta/corr) 감소","{""USO"": 83.3333, ""IAU"": 15.524, ""__CASH__"": 1.1427}"
GLD,gold,PASS,PASS,20.0,20.0,2000000.0,1399623.19675,600376.80325,"{""GLD"": 2}",1,0.356086,0.303747,-0.345884,-0.285479,-0.05089,-0.043253,0.285314,0.28364,0.717,0.835038,-0.000878,-0.00078,0.144387,0.1664,0.515375,0.455765,14.698648,17.463968,15.006214,9.9e-05,-0.022013,0.05961,0.05961,0.118038,16.462782,11790667529426.021,0.823952,0.945342,0.708358,1.0,0.751457,1.0,0.844269,"노출(beta/corr) 감소, 유동성 양호, MDD 개선","{""USO"": 83.3333, ""GLD"": 11.6635, ""__CASH__"": 5.0031}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,20.0,2000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
DBC,commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1980549.18878,19450.81122,"{""DBC"": 49}",1,0.356086,0.328684,-0.345884,-0.32647,-0.05089,-0.047168,0.285314,0.274093,0.717,0.742637,-0.000878,-0.001145,0.144387,0.164736,0.515375,0.496041,7.695517,5.612812,7.313933,-0.000267,-0.020349,0.019335,0.019335,0.025638,3.575713,33038140663.32702,0.0,0.0,0.0,0.532244,0.139095,0.0,0.067134,"노출(beta/corr) 감소, Sharpe 개선, CVaR 개선","{""USO"": 83.3333, ""DBC"": 16.5046, ""__CASH__"": 0.1621}"
XLU,defensive,FAIL,FAIL: beta/corr 감소 미달,20.0,20.0,2000000.0,1977385.976113,22614.023887,"{""XLU"": 29}",1,0.356086,0.303645,-0.345884,-0.290177,-0.05089,-0.04343,0.285314,0.281344,0.717,0.827754,-0.000878,-0.000776,0.144387,0.178828,0.515375,0.519886,14.727139,16.105697,14.658923,0.000102,-0.034441,-0.00451,-0.00451,0.110755,15.446982,1652371122214.9956,0.786752,0.836996,0.714843,0.255309,0.703189,0.137726,0.688467,"MDD 개선, CVaR 개선, Stress 방어","{""USO"": 83.3333, ""XLU"": 16.4782, ""__CASH__"": 0.1885}"
XLP,defensive,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1883015.510679,116984.489321,"{""XLP"": 15}",1,0.356086,0.302227,-0.345884,-0.286242,-0.05089,-0.043102,0.285314,0.272033,0.717,0.800831,-0.000878,-0.000885,0.144387,0.175254,0.515375,0.512739,15.125405,17.243295,15.304237,-7e-06,-0.030867,0.002636,0.002636,0.083831,11.691985,2488623226120.116,0.855874,0.92774,0.503996,0.338312,0.524761,0.20885,0.682653,"MDD 개선, CVaR 개선, Sharpe 개선","{""USO"": 83.3333, ""XLP"": 15.6918, ""__CASH__"": 0.9749}"
XLE,commodity_energy,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,20.0,2000000.0,1954188.659008,45811.340992,"{""XLE"": 24}",1,0.356086,0.329074,-0.345884,-0.302192,-0.05089,-0.04716,0.285314,0.291764,0.717,0.795458,-0.000878,-0.000939,0.144387,0.170881,0.515375,0.555246,7.585975,12.63198,7.328935,-6e-05,-0.026494,-0.03987,-0.026494,0.078459,10.942653,3906806842509.893,0.001607,0.559905,0.399844,0.0,0.489154,0.329469,0.257901,"MDD 개선, Sharpe 개선, Stress 방어","{""USO"": 83.3333, ""XLE"": 16.2849, ""__CASH__"": 0.3818}"
IEF,bond,PASS,PASS,20.0,20.0,2000000.0,1977268.817051,22731.182949,"{""IEF"": 14}",1,0.356086,0.299902,-0.345884,-0.288465,-0.05089,-0.042715,0.285314,0.253396,0.717,0.744896,-0.000878,-0.000725,0.144387,0.172062,0.515375,0.461557,15.778229,16.600746,16.06421,0.000153,-0.027675,0.053818,0.053818,0.027896,3.890721,1255579678910.7893,0.937278,0.876485,0.81373,0.932731,0.154063,0.103979,0.779969,"CVaR 개선, 노출(beta/corr) 감소, MDD 개선","{""USO"": 83.3333, ""IEF"": 16.4772, ""__CASH__"": 0.1894}"
TLT,bond,PASS,PASS,20.0,20.0,2000000.0,1939251.113631,60748.886369,"{""TLT"": 15}",1,0.356086,0.298169,-0.345884,-0.290214,-0.05089,-0.042417,0.285314,0.245174,0.717,0.721649,-0.000878,-0.000832,0.144387,0.175908,0.515375,0.461867,16.264897,16.094869,16.649775,4.6e-05,-0.031521,0.053508,0.053508,0.00465,0.648479,4971757120341.5625,1.0,0.836132,0.605966,0.929127,0.0,0.420044,0.752334,"CVaR 개선, 노출(beta/corr) 감소, MDD 개선","{""USO"": 83.3333, ""TLT"": 16.1604, ""__CASH__"": 0.5062}"
SHY,bond,PASS,PASS,20.0,20.0,2000000.0,1938255.319449,61744.680551,"{""SHY"": 16}",1,0.356086,0.301347,-0.345884,-0.289752,-0.05089,-0.043005,0.285314,0.257673,0.717,0.755517,-0.000878,-0.000695,0.144387,0.171838,0.515375,0.462253,15.372435,16.228666,15.49421,0.000184,-0.027451,0.053122,0.053122,0.038518,5.372053,534241832039.15826,0.876223,0.846805,0.872781,0.924645,0.224453,0.042628,0.767636,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""USO"": 83.3333, ""SHY"": 16.1521, ""__CASH__"": 0.5145}"
