candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,PASS,PASS,20.0,20.0,2000000.0,1862878.988534,137121.011466,"{""IAU"": 13}",1,0.180227,0.159419,-0.17065,-0.154558,-0.025523,-0.022769,0.19134,0.21152,0.895206,1.138633,-0.001187,-0.001053,0.299324,0.351036,0.439144,0.400864,11.545104,9.430008,10.792086,0.000134,-0.051712,0.038281,0.038281,0.243427,27.19233,2019363794163.3853,0.814839,0.567568,0.676783,0.904157,1.0,0.168939,0.732927,"Sharpe 개선, 노출(beta/corr) 감소, CVaR 개선","{""KO"": 83.3333, ""IAU"": 15.524, ""__CASH__"": 1.1427}"
GLD,gold,PASS,PASS,20.0,20.0,2000000.0,1399623.19675,600376.80325,"{""GLD"": 2}",1,0.180227,0.156678,-0.17065,-0.151976,-0.025523,-0.022366,0.19134,0.19833,0.895206,1.07437,-0.001187,-0.001037,0.299324,0.342307,0.439144,0.392239,13.066073,10.942993,12.37105,0.00015,-0.042983,0.046905,0.046905,0.179165,20.013809,11790667529426.021,1.0,0.667224,0.708358,1.0,0.806337,1.0,0.85575,"CVaR 개선, 노출(beta/corr) 감소, 유동성 양호","{""KO"": 83.3333, ""GLD"": 11.6635, ""__CASH__"": 5.0031}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,20.0,2000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO,commodity_energy,FAIL,FAIL: beta/corr 감소 미달,20.0,20.0,2000000.0,1860345.511134,139654.488866,"{""USO"": 12}",1,0.180227,0.168352,-0.17065,-0.156913,-0.025523,-0.024208,0.19134,0.214114,0.895206,1.093624,-0.001187,-0.001125,0.299324,0.309893,0.439144,0.445852,6.588736,8.049755,5.154353,6.2e-05,-0.010569,-0.006707,-0.006707,0.198418,22.164531,1970411033369.56,0.153718,0.476655,0.5365,0.404225,0.86436,0.164776,0.39153,"Sharpe 개선, Stress 방어, MDD 개선","{""KO"": 83.3333, ""USO"": 15.5029, ""__CASH__"": 1.1638}"
DBC,commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1980549.18878,19450.81122,"{""DBC"": 49}",1,0.180227,0.162101,-0.17065,-0.151797,-0.025523,-0.023358,0.19134,0.19787,0.895206,1.035592,-0.001187,-0.001402,0.299324,0.35118,0.439144,0.432515,10.05712,11.047903,8.483064,-0.000215,-0.051857,0.00663,0.00663,0.140386,15.682035,33038140663.32702,0.544067,0.674135,0.0,0.552432,0.689474,0.0,0.449441,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""KO"": 83.3333, ""DBC"": 16.5046, ""__CASH__"": 0.1621}"
XLU,defensive,FAIL,FAIL: beta/corr 감소 미달,20.0,20.0,2000000.0,1977385.976113,22614.023887,"{""XLU"": 29}",1,0.180227,0.170062,-0.17065,-0.169262,-0.025523,-0.024144,0.19134,0.193563,0.895206,0.961785,-0.001187,-0.001033,0.299324,0.351021,0.439144,0.45636,5.639841,0.813163,5.406233,0.000154,-0.051697,-0.017216,-0.017216,0.066579,7.43731,1652371122214.9956,0.183255,0.0,0.714843,0.28745,0.467047,0.137726,0.289444,"Stress 방어, Sharpe 개선, 노출(beta/corr) 감소","{""KO"": 83.3333, ""XLU"": 16.4782, ""__CASH__"": 0.1885}"
XLP,defensive,FAIL,FAIL: beta/corr 감소 미달,20.0,20.0,2000000.0,1883015.510679,116984.489321,"{""XLP"": 15}",1,0.180227,0.171491,-0.17065,-0.161299,-0.025523,-0.024542,0.19134,0.184068,0.895206,0.898402,-0.001187,-0.001142,0.299324,0.327893,0.439144,0.449213,4.847101,5.479904,3.843519,4.5e-05,-0.02857,-0.010069,-0.010069,0.003196,0.356995,2488623226120.116,0.0,0.307386,0.503996,0.366871,0.276034,0.20885,0.237009,"Stress 방어, 노출(beta/corr) 감소, MDD 개선","{""KO"": 83.3333, ""XLP"": 15.6918, ""__CASH__"": 0.9749}"
XLE,commodity_energy,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,20.0,2000000.0,1954188.659008,45811.340992,"{""XLE"": 24}",1,0.180227,0.168531,-0.17065,-0.14609,-0.025523,-0.024191,0.19134,0.213362,0.895206,1.088001,-0.001187,-0.001196,0.299324,0.342406,0.439144,0.49172,6.489162,14.391841,5.220351,-9e-06,-0.043083,-0.052576,-0.043083,0.192796,21.536477,3906806842509.893,0.161457,0.894391,0.399844,0.0,0.847416,0.329469,0.416572,"MDD 개선, Sharpe 개선, Stress 방어","{""KO"": 83.3333, ""XLE"": 16.2849, ""__CASH__"": 0.3818}"
IEF,bond,PASS,PASS,20.0,20.0,2000000.0,1977268.817051,22731.182949,"{""IEF"": 14}",1,0.180227,0.15932,-0.17065,-0.15316,-0.025523,-0.02267,0.19134,0.168244,0.895206,0.867712,-0.001187,-0.000982,0.299324,0.343492,0.439144,0.398031,11.599972,10.249072,11.178295,0.000205,-0.044168,0.041113,0.041113,-0.027494,-3.071195,1255579678910.7893,0.860129,0.621518,0.81373,0.935635,0.183548,0.103979,0.705212,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""KO"": 83.3333, ""IEF"": 16.4772, ""__CASH__"": 0.1894}"
TLT,bond,PASS,PASS,20.0,20.0,2000000.0,1939251.113631,60748.886369,"{""TLT"": 15}",1,0.180227,0.160763,-0.17065,-0.16643,-0.025523,-0.022703,0.19134,0.159705,0.895206,0.806806,-0.001187,-0.001089,0.299324,0.350698,0.439144,0.398342,10.799373,2.473111,11.051406,9.7e-05,-0.051374,0.040803,0.040803,-0.0884,-9.874776,4971757120341.5625,0.845249,0.109336,0.605966,0.932186,0.0,0.420044,0.553118,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""KO"": 83.3333, ""TLT"": 16.1604, ""__CASH__"": 0.5062}"
