candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,PASS,PASS,20.0,20.0,2000000.0,1862878.988534,137121.011466,"{""IAU"": 13}",1,0.184038,0.181843,-0.126908,-0.125356,-0.024964,-0.024666,0.313278,0.309742,1.539235,1.538367,-0.000407,-0.000403,0.246325,0.24617,0.225365,0.222714,1.192848,1.222631,1.193348,4e-06,0.000155,0.002651,0.002651,-0.000868,-0.05639,2019363794163.3853,0.0,0.0,0.676783,0.949632,0.531856,0.402195,0.303615,"노출(beta/corr) 감소, Stress 방어, Sharpe 개선","{""GLD"": 83.3333, ""IAU"": 15.524, ""__CASH__"": 1.1427}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,20.0,2000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO,commodity_energy,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,20.0,2000000.0,1860345.511134,139654.488866,"{""USO"": 12}",1,0.184038,0.177621,-0.126908,-0.115426,-0.024964,-0.024322,0.313278,0.315521,1.539235,1.607472,-0.000407,-0.000475,0.246325,0.256118,0.225365,0.267702,3.486949,9.047689,2.572017,-6.8e-05,-0.009792,-0.042337,-0.009792,0.068236,4.433139,1970411033369.56,0.126186,0.394463,0.5365,0.728372,0.761869,0.392282,0.398996,"Sharpe 개선, 노출(beta/corr) 감소, Stress 방어","{""GLD"": 83.3333, ""USO"": 15.5029, ""__CASH__"": 1.1638}"
DBC,commodity_energy,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,20.0,2000000.0,1980549.18878,19450.81122,"{""DBC"": 49}",1,0.184038,0.172557,-0.126908,-0.115178,-0.024964,-0.023706,0.313278,0.29771,1.539235,1.551436,-0.000407,-0.000752,0.246325,0.263119,0.225365,0.254365,6.23884,9.242786,5.039152,-0.000345,-0.016794,-0.029,-0.016794,0.0122,0.792634,33038140663.32702,0.351996,0.404298,0.0,0.603872,0.575354,0.0,0.321981,"노출(beta/corr) 감소, Sharpe 개선, MDD 개선","{""GLD"": 83.3333, ""DBC"": 16.5046, ""__CASH__"": 0.1621}"
XLU,defensive,FAIL,FAIL: beta/corr 감소 미달,20.0,20.0,2000000.0,1977385.976113,22614.023887,"{""XLU"": 29}",1,0.184038,0.165784,-0.126908,-0.10761,-0.024964,-0.02245,0.313278,0.296237,1.539235,1.605921,-0.000407,-0.000383,0.246325,0.283012,0.225365,0.27821,9.918624,15.20576,10.072536,2.4e-05,-0.036687,-0.052846,-0.036687,0.066685,4.332369,1652371122214.9956,0.812688,0.704893,0.714843,0.250143,0.756706,0.327885,0.685467,"CVaR 개선, Sharpe 개선, Stress 방어","{""GLD"": 83.3333, ""XLU"": 16.4782, ""__CASH__"": 0.1885}"
XLP,defensive,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,20.0,2000000.0,1883015.510679,116984.489321,"{""XLP"": 15}",1,0.184038,0.162178,-0.126908,-0.100181,-0.024964,-0.022104,0.313278,0.287013,1.539235,1.584759,-0.000407,-0.000492,0.246325,0.281135,0.225365,0.271063,11.878164,21.059862,11.45577,-8.5e-05,-0.03481,-0.045699,-0.03481,0.045524,2.957572,2488623226120.116,0.939291,1.0,0.503996,0.283514,0.686271,0.497211,0.75139,"MDD 개선, CVaR 개선, Sharpe 개선","{""GLD"": 83.3333, ""XLP"": 15.6918, ""__CASH__"": 0.9749}"
XLE,commodity_energy,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,20.0,2000000.0,1954188.659008,45811.340992,"{""XLE"": 24}",1,0.184038,0.170546,-0.126908,-0.105363,-0.024964,-0.023439,0.313278,0.31635,1.539235,1.679015,-0.000407,-0.000546,0.246325,0.276096,0.225365,0.31357,7.331204,16.97707,6.108033,-0.000139,-0.02977,-0.088205,-0.02977,0.13978,9.081103,3906806842509.893,0.449828,0.794185,0.399844,0.37313,1.0,0.784367,0.572777,"Sharpe 개선, MDD 개선, 유동성 양호","{""GLD"": 83.3333, ""XLE"": 16.2849, ""__CASH__"": 0.3818}"
IEF,bond,PASS,PASS,20.0,20.0,2000000.0,1977268.817051,22731.182949,"{""IEF"": 14}",1,0.184038,0.162894,-0.126908,-0.104979,-0.024964,-0.022181,0.313278,0.267106,1.539235,1.455586,-0.000407,-0.000332,0.246325,0.279145,0.225365,0.219882,11.489104,17.279488,11.147607,7.5e-05,-0.032819,0.005483,0.005483,-0.083649,-5.434457,1255579678910.7893,0.911086,0.80943,0.81373,1.0,0.256319,0.247542,0.781521,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""GLD"": 83.3333, ""IEF"": 16.4772, ""__CASH__"": 0.1894}"
TLT,bond,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1939251.113631,60748.886369,"{""TLT"": 15}",1,0.184038,0.165148,-0.126908,-0.117832,-0.024964,-0.022288,0.313278,0.25767,1.539235,1.378579,-0.000407,-0.000439,0.246325,0.283191,0.225365,0.220192,10.264254,7.151284,10.719961,-3.2e-05,-0.036865,0.005173,0.005173,-0.160657,-10.437435,4971757120341.5625,0.871945,0.298865,0.605966,0.994482,0.0,1.0,0.635595,"유동성 양호, 노출(beta/corr) 감소, CVaR 개선","{""GLD"": 83.3333, ""TLT"": 16.1604, ""__CASH__"": 0.5062}"
SHY,bond,PASS,PASS,20.0,20.0,2000000.0,1938255.319449,61744.680551,"{""SHY"": 16}",1,0.184038,0.160738,-0.126908,-0.104512,-0.024964,-0.021939,0.313278,0.272434,1.539235,1.508253,-0.000407,-0.000302,0.246325,0.279395,0.225365,0.220578,12.660398,17.647125,12.119054,0.000105,-0.03307,0.004787,0.004787,-0.030982,-2.012811,534241832039.15826,1.0,0.827963,0.872781,0.987619,0.431622,0.101485,0.837147,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""GLD"": 83.3333, ""SHY"": 16.1521, ""__CASH__"": 0.5145}"
XLV,defensive,FAIL,FAIL: beta/corr 감소 미달,20.0,20.0,2000000.0,1794268.538175,205731.461825,"{""XLV"": 8}",1,0.184038,0.161196,-0.126908,-0.102943,-0.024964,-0.021942,0.313278,0.284086,1.539235,1.576262,-0.000407,-0.000236,0.246325,0.297079,0.225365,0.285165,12.411991,18.883717,12.107078,0.000171,-0.050754,-0.059801,-0.050754,0.037026,2.405505,2989320532229.1396,0.998904,0.8903,1.0,0.0,0.657987,0.598593,0.823405,"Stress 방어, CVaR 개선, MDD 개선","{""GLD"": 83.3333, ""XLV"": 14.9522, ""__CASH__"": 1.7144}"
