candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,PASS,PASS,20.0,2000000.0,1790550.734403,209449.265597,"{""IAU"": 6, ""USO"": 6}",2,0.59802,0.501875,-0.71603,-0.629825,-0.080393,-0.067763,0.17056,0.219687,0.235043,0.377956,-0.002338,-0.002046,0.592445,0.6111,1.806537,1.561905,16.077159,12.039311,15.710228,0.000292,-0.018655,0.244632,0.244632,0.142914,60.803313,1632219016483.3198,0.539463,0.619936,0.510997,0.642054,1.0,0.324288,0.595419,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""TSLA"": 83.3333, ""IAU"": 7.1805, ""USO"": 7.7407, ""__CASH__"": 1.7454}"
IAU + XLU,defensive|gold,PASS,PASS,20.0,2000000.0,1834948.664296,165051.335704,"{""IAU"": 6, ""XLU"": 14}",2,0.59802,0.501752,-0.71603,-0.629653,-0.080393,-0.067507,0.17056,0.209919,0.235043,0.358582,-0.002338,-0.001999,0.592445,0.616961,1.806537,1.566219,16.097846,12.063334,16.028983,0.000338,-0.024516,0.240317,0.240317,0.12354,52.560487,1650941766724.0986,0.797581,0.628752,0.644864,0.589111,0.754767,0.328082,0.684669,"CVaR 개선, Sharpe 개선, Stress 방어","{""TSLA"": 83.3333, ""IAU"": 7.1805, ""XLU"": 8.1107, ""__CASH__"": 1.3754}"
IAU + DBC,commodity_energy|gold,PASS,PASS,20.0,2000000.0,1828211.809564,171788.190436,"{""IAU"": 6, ""DBC"": 24}",2,0.59802,0.501424,-0.71603,-0.629977,-0.080393,-0.067705,0.17056,0.210959,0.235043,0.36089,-0.002338,-0.002179,0.592445,0.617881,1.806537,1.554319,16.152685,12.018021,15.782387,0.000159,-0.025436,0.252217,0.252217,0.125847,53.542225,31566453060.943737,0.597895,0.612124,0.1245,0.735145,0.783975,0.0,0.5335,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""TSLA"": 83.3333, ""IAU"": 7.1805, ""DBC"": 8.0546, ""__CASH__"": 1.4316}"
IAU + XLP,defensive|gold,PASS,PASS,20.0,2000000.0,1754655.427521,245344.572479,"{""IAU"": 6, ""XLP"": 7}",2,0.59802,0.5011,-0.71603,-0.63113,-0.080393,-0.067499,0.17056,0.205129,0.235043,0.349489,-0.002338,-0.00205,0.592445,0.617116,1.806537,1.561214,16.206786,11.857034,16.038513,0.000288,-0.024671,0.245323,0.245323,0.114447,48.691919,2014882325045.7766,0.805298,0.553045,0.497864,0.650537,0.639673,0.401815,0.641148,"CVaR 개선, 노출(beta/corr) 감소, Sharpe 개선","{""TSLA"": 83.3333, ""IAU"": 7.1805, ""XLP"": 7.4416, ""__CASH__"": 2.0445}"
IAU + XLE,commodity_energy|gold,PASS,PASS,20.0,2000000.0,1780964.7871,219035.2129,"{""IAU"": 6, ""XLE"": 11}",2,0.59802,0.503265,-0.71603,-0.623613,-0.080393,-0.067966,0.17056,0.21746,0.235043,0.372489,-0.002338,-0.002075,0.592445,0.616382,1.806537,1.580814,15.844818,12.906821,15.458183,0.000263,-0.023937,0.225722,0.225722,0.137446,58.477028,2014882325045.7766,0.335365,0.938291,0.426382,0.410007,0.93079,0.401815,0.544483,"MDD 개선, Sharpe 개선, Stress 방어","{""TSLA"": 83.3333, ""IAU"": 7.1805, ""XLE"": 7.6608, ""__CASH__"": 1.8253}"
IAU + IEF,bond|gold,PASS,PASS,20.0,2000000.0,1723063.398714,276936.601286,"{""IAU"": 6, ""IEF"": 6}",2,0.59802,0.499698,-0.71603,-0.63635,-0.080393,-0.067344,0.17056,0.196821,0.235043,0.333844,-0.002338,-0.001975,0.592445,0.615002,1.806537,1.535734,16.441313,11.12801,16.231735,0.000363,-0.022557,0.270802,0.270802,0.098801,42.035559,1261955140466.467,0.961764,0.285512,0.716406,0.963214,0.441638,0.249274,0.68995,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""TSLA"": 83.3333, ""IAU"": 7.1805, ""IEF"": 7.1783, ""__CASH__"": 2.3078}"
IAU + TLT,bond|gold,PASS,PASS,20.0,2000000.0,1788517.818438,211482.181562,"{""IAU"": 6, ""TLT"": 7}",2,0.59802,0.500125,-0.71603,-0.641451,-0.080393,-0.067423,0.17056,0.193055,0.235043,0.326029,-0.002338,-0.002026,0.592445,0.616015,1.806537,1.53721,16.369825,10.415594,16.132942,0.000312,-0.023571,0.269327,0.269327,0.090986,38.710584,2014882325045.7766,0.881764,0.024072,0.56899,0.945108,0.342717,0.401815,0.576103,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""TSLA"": 83.3333, ""IAU"": 7.1805, ""TLT"": 7.7238, ""__CASH__"": 1.7624}"
IAU + SHY,bond|gold,PASS,PASS,20.0,2000000.0,1844237.821726,155762.178274,"{""IAU"": 6, ""SHY"": 8}",2,0.59802,0.499734,-0.71603,-0.633268,-0.080393,-0.067345,0.17056,0.199797,0.235043,0.339775,-0.002338,-0.001959,0.592445,0.617078,1.806537,1.538422,16.435158,11.558399,16.230487,0.000379,-0.024633,0.268115,0.268115,0.104732,44.558714,532876567237.4225,0.960753,0.443454,0.762529,0.930232,0.516705,0.101564,0.727232,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""TSLA"": 83.3333, ""IAU"": 7.1805, ""SHY"": 8.1881, ""__CASH__"": 1.298}"
IAU + XLV,defensive|gold,PASS,PASS,20.0,2000000.0,1777284.710185,222715.289815,"{""IAU"": 6, ""XLV"": 4}",2,0.59802,0.502188,-0.71603,-0.631732,-0.080393,-0.067698,0.17056,0.204079,0.235043,0.346641,-0.002338,-0.001925,0.592445,0.625825,1.806537,1.571368,16.024803,11.773014,15.790635,0.000413,-0.03338,0.235169,0.235169,0.111598,47.480102,2014882325045.7766,0.604574,0.522212,0.859835,0.525925,0.60362,0.401815,0.621056,"Stress 방어, CVaR 개선, Sharpe 개선","{""TSLA"": 83.3333, ""IAU"": 7.1805, ""XLV"": 7.6302, ""__CASH__"": 1.856}"
