candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,PASS,PASS,20.0,2000000.0,1789963.057968,210036.942032,"{""IAU"": 6, ""USO"": 6}",2,0.597359,0.501252,-0.71603,-0.629827,-0.080312,-0.067648,0.183057,0.231331,0.256223,0.401657,-0.002338,-0.002046,0.58866,0.607702,1.802682,1.558297,16.088718,12.039086,15.76875,0.000292,-0.019042,0.244386,0.244386,0.145434,56.760543,1970411033369.56,0.557384,0.607302,0.512271,0.666242,1.0,0.392282,0.605237,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""TSLA"": 83.3333, ""IAU"": 7.1649, ""USO"": 7.7514, ""__CASH__"": 1.7503}"
IAU + DBC,commodity_energy|gold,PASS,PASS,20.0,2000000.0,1829855.211191,170144.788809,"{""IAU"": 6, ""DBC"": 24}",2,0.597359,0.500832,-0.71603,-0.629982,-0.080312,-0.067605,0.183057,0.222269,0.256223,0.383899,-0.002338,-0.00218,0.58866,0.614019,1.802682,1.550949,16.158905,12.017323,15.821426,0.000158,-0.025359,0.251733,0.251733,0.127675,49.829646,33038140663.32702,0.598532,0.599367,0.121959,0.754442,0.783468,0.0,0.507542,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""TSLA"": 83.3333, ""IAU"": 7.1649, ""DBC"": 8.0839, ""__CASH__"": 1.4179}"
IAU + XLU,defensive|gold,PASS,PASS,20.0,2000000.0,1814390.4288,185609.5712,"{""IAU"": 6, ""XLU"": 14}",2,0.597359,0.501091,-0.71603,-0.629744,-0.080312,-0.06739,0.183057,0.220511,0.256223,0.380191,-0.002338,-0.001999,0.58866,0.614502,1.802682,1.561992,16.11555,12.050631,16.089953,0.000339,-0.025842,0.24069,0.24069,0.123968,48.382834,1652371122214.9956,0.808291,0.611512,0.648303,0.621882,0.738268,0.327885,0.687274,"CVaR 개선, Sharpe 개선, Stress 방어","{""TSLA"": 83.3333, ""IAU"": 7.1649, ""XLU"": 7.955, ""__CASH__"": 1.5467}"
IAU + XLP,defensive|gold,PASS,PASS,20.0,2000000.0,1738530.874051,261469.125949,"{""IAU"": 6, ""XLP"": 7}",2,0.597359,0.500464,-0.71603,-0.631183,-0.080312,-0.067387,0.183057,0.215839,0.256223,0.371333,-0.002338,-0.002049,0.58866,0.614324,1.802682,1.557202,16.220551,11.849628,16.09337,0.000289,-0.025664,0.24548,0.24548,0.11511,44.925645,2019363794163.3853,0.81096,0.538226,0.502704,0.679382,0.63026,0.402195,0.643096,"CVaR 개선, 노출(beta/corr) 감소, Sharpe 개선","{""TSLA"": 83.3333, ""IAU"": 7.1649, ""XLP"": 7.3228, ""__CASH__"": 2.1789}"
IAU + XLE,commodity_energy|gold,PASS,PASS,20.0,2000000.0,1836884.631904,163115.368096,"{""IAU"": 6, ""XLE"": 12}",2,0.597359,0.502954,-0.71603,-0.623306,-0.080312,-0.067887,0.183057,0.229945,0.256223,0.397541,-0.002338,-0.002081,0.58866,0.615271,1.802682,1.581231,15.803738,12.949767,15.470911,0.000257,-0.026611,0.221452,0.221452,0.141318,55.15409,2019363794163.3853,0.324727,0.939338,0.40973,0.390944,0.949812,0.402195,0.537653,"Sharpe 개선, MDD 개선, Stress 방어","{""TSLA"": 83.3333, ""IAU"": 7.1649, ""XLE"": 8.1425, ""__CASH__"": 1.3593}"
IAU + IEF,bond|gold,PASS,PASS,20.0,2000000.0,1848424.710926,151575.289074,"{""IAU"": 6, ""IEF"": 7}",2,0.597359,0.499207,-0.71603,-0.636681,-0.080312,-0.067251,0.183057,0.208201,0.256223,0.356968,-0.002338,-0.001974,0.58866,0.613812,1.802682,1.534386,16.430902,11.081745,16.262498,0.000364,-0.025152,0.268296,0.268296,0.100744,39.318921,1255579678910.7893,0.943074,0.258254,0.720292,0.953256,0.455098,0.247542,0.678998,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""TSLA"": 83.3333, ""IAU"": 7.1649, ""IEF"": 8.2386, ""__CASH__"": 1.2631}"
IAU + TLT,bond|gold,PASS,PASS,20.0,2000000.0,1764774.155428,235225.844572,"{""IAU"": 6, ""TLT"": 7}",2,0.597359,0.499499,-0.71603,-0.641284,-0.080312,-0.067298,0.183057,0.203679,0.256223,0.347706,-0.002338,-0.002024,0.58866,0.613601,1.802682,1.533462,16.382162,10.438878,16.203681,0.000313,-0.02494,0.26922,0.26922,0.091483,35.704446,2019363794163.3853,0.897129,0.023864,0.574116,0.964353,0.342176,0.402195,0.584354,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""TSLA"": 83.3333, ""IAU"": 7.1649, ""TLT"": 7.5415, ""__CASH__"": 1.9602}"
IAU + SHY,bond|gold,PASS,PASS,20.0,2000000.0,1828917.962125,171082.037875,"{""IAU"": 6, ""SHY"": 8}",2,0.597359,0.499121,-0.71603,-0.633286,-0.080312,-0.067223,0.183057,0.210577,0.256223,0.36179,-0.002338,-0.001959,0.58866,0.614133,1.802682,1.534735,16.445329,11.556006,16.297992,0.000379,-0.025473,0.267948,0.267948,0.105566,41.200855,534241832039.15826,0.9708,0.431171,0.764602,0.949077,0.513892,0.101485,0.730306,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""TSLA"": 83.3333, ""IAU"": 7.1649, ""SHY"": 8.0761, ""__CASH__"": 1.4257}"
IAU + XLV,defensive|gold,PASS,PASS,20.0,2000000.0,1756924.571488,243075.428512,"{""IAU"": 6, ""XLV"": 4}",2,0.597359,0.501521,-0.71603,-0.631785,-0.080312,-0.067576,0.183057,0.214695,0.256223,0.368269,-0.002338,-0.001926,0.58866,0.622746,1.802682,1.567028,16.043583,11.765547,15.858455,0.000412,-0.034086,0.235654,0.235654,0.112046,43.729788,2019363794163.3853,0.627456,0.507569,0.860061,0.561429,0.5929,0.402195,0.628678,"Stress 방어, CVaR 개선, Sharpe 개선","{""TSLA"": 83.3333, ""IAU"": 7.1649, ""XLV"": 7.4761, ""__CASH__"": 2.0256}"
