candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1789963.057968,210036.942032,"{""IAU"": 6, ""USO"": 6}",2,0.282572,0.243427,-0.320566,-0.273789,-0.039909,-0.034733,0.232355,0.249728,0.716119,0.902643,0.000211,7.8e-05,0.601582,0.638211,1.204088,1.059468,13.853167,14.592219,12.969731,-0.000133,-0.036629,0.14462,0.14462,0.186524,26.046439,1970411033369.56,0.453746,0.55557,0.512271,0.666242,1.0,0.392282,0.558618,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""AAPL"": 83.3333, ""IAU"": 7.1649, ""USO"": 7.7514, ""__CASH__"": 1.7503}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1829855.211191,170144.788809,"{""IAU"": 6, ""DBC"": 24}",2,0.282572,0.241827,-0.320566,-0.272461,-0.039909,-0.034354,0.232355,0.240754,0.716119,0.871504,0.000211,-5.6e-05,0.601582,0.650408,1.204088,1.052121,14.41922,15.00629,13.920116,-0.000267,-0.048827,0.151968,0.151968,0.155385,21.698202,33038140663.32702,0.648797,0.645558,0.121959,0.754442,0.820172,0.0,0.538044,"Sharpe 개선, 노출(beta/corr) 감소, CVaR 개선","{""AAPL"": 83.3333, ""IAU"": 7.1649, ""DBC"": 8.0839, ""__CASH__"": 1.4179}"
IAU + XLU,defensive|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1814390.4288,185609.5712,"{""IAU"": 6, ""XLU"": 14}",2,0.282572,0.24287,-0.320566,-0.273022,-0.039909,-0.034162,0.232355,0.238793,0.716119,0.859689,0.000211,0.000125,0.601582,0.654551,1.204088,1.063164,14.05019,14.831373,14.401532,-8.6e-05,-0.052969,0.140925,0.140925,0.14357,20.048325,1652371122214.9956,0.747599,0.607544,0.648303,0.621882,0.751939,0.327885,0.666606,"Sharpe 개선, CVaR 개선, Stress 방어","{""AAPL"": 83.3333, ""IAU"": 7.1649, ""XLU"": 7.955, ""__CASH__"": 1.5467}"
IAU + XLP,defensive|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1738530.874051,261469.125949,"{""IAU"": 6, ""XLP"": 7}",2,0.282572,0.242915,-0.320566,-0.268949,-0.039909,-0.034319,0.232355,0.233676,0.716119,0.838466,0.000211,7.5e-05,0.601582,0.644329,1.204088,1.058374,14.034268,16.101989,14.007864,-0.000136,-0.042747,0.145715,0.145715,0.122347,17.084704,2019363794163.3853,0.666805,0.88368,0.502704,0.679382,0.629374,0.402195,0.661644,"MDD 개선, 노출(beta/corr) 감소, CVaR 개선","{""AAPL"": 83.3333, ""IAU"": 7.1649, ""XLP"": 7.3228, ""__CASH__"": 2.1789}"
IAU + XLE,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1836884.631904,163115.368096,"{""IAU"": 6, ""XLE"": 12}",2,0.282572,0.24531,-0.320566,-0.270275,-0.039909,-0.034878,0.232355,0.248787,0.716119,0.891881,0.000211,4.3e-05,0.601582,0.648075,1.204088,1.082402,13.186814,15.68832,12.606078,-0.000168,-0.046494,0.121686,0.121686,0.175761,24.543569,2019363794163.3853,0.379112,0.793779,0.40973,0.390944,0.937847,0.402195,0.52638,"Sharpe 개선, MDD 개선, Stress 방어","{""AAPL"": 83.3333, ""IAU"": 7.1649, ""XLE"": 8.1425, ""__CASH__"": 1.3593}"
IAU + IEF,bond|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1848424.710926,151575.289074,"{""IAU"": 6, ""IEF"": 7}",2,0.282572,0.239811,-0.320566,-0.270826,-0.039909,-0.033754,0.232355,0.226074,0.716119,0.81762,0.000211,0.00015,0.601582,0.648217,1.204088,1.035558,15.132869,15.516293,15.423628,-6.1e-05,-0.046635,0.16853,0.16853,0.101501,14.173716,1255579678910.7893,0.957367,0.756394,0.720292,0.953256,0.508986,0.247542,0.789017,"CVaR 개선, 노출(beta/corr) 감소, MDD 개선","{""AAPL"": 83.3333, ""IAU"": 7.1649, ""IEF"": 8.2386, ""__CASH__"": 1.2631}"
IAU + TLT,bond|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1764774.155428,235225.844572,"{""IAU"": 6, ""TLT"": 7}",2,0.282572,0.240071,-0.320566,-0.272925,-0.039909,-0.033715,0.232355,0.221587,0.716119,0.798041,0.000211,9.9e-05,0.601582,0.649871,1.204088,1.034634,15.04064,14.861748,15.52058,-0.000111,-0.048289,0.169455,0.169455,0.081921,11.439599,2019363794163.3853,0.977265,0.614146,0.574116,0.964353,0.395912,0.402195,0.735831,"CVaR 개선, 노출(beta/corr) 감소, MDD 개선","{""AAPL"": 83.3333, ""IAU"": 7.1649, ""TLT"": 7.5415, ""__CASH__"": 1.9602}"
IAU + SHY,bond|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1828917.962125,171082.037875,"{""IAU"": 6, ""SHY"": 8}",2,0.282572,0.239625,-0.320566,-0.267686,-0.039909,-0.033775,0.232355,0.228487,0.716119,0.828325,0.000211,0.000165,0.601582,0.647462,1.204088,1.035906,15.198688,16.49576,15.369476,-4.6e-05,-0.04588,0.168182,0.168182,0.112205,15.668538,534241832039.15826,0.946253,0.969255,0.764602,0.949077,0.570806,0.101485,0.835023,"MDD 개선, 노출(beta/corr) 감소, CVaR 개선","{""AAPL"": 83.3333, ""IAU"": 7.1649, ""SHY"": 8.0761, ""__CASH__"": 1.4257}"
IAU + XLV,defensive|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1756924.571488,243075.428512,"{""IAU"": 6, ""XLV"": 4}",2,0.282572,0.243792,-0.320566,-0.267233,-0.039909,-0.034383,0.232355,0.23291,0.716119,0.832308,0.000211,0.000198,0.601582,0.658111,1.204088,1.0682,13.723882,16.637228,13.847124,-1.3e-05,-0.056529,0.135888,0.135888,0.116188,16.224734,2019363794163.3853,0.633816,1.0,0.860061,0.561429,0.593809,0.402195,0.729481,"MDD 개선, Stress 방어, CVaR 개선","{""AAPL"": 83.3333, ""IAU"": 7.1649, ""XLV"": 7.4761, ""__CASH__"": 2.0256}"
