candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2928500.571719,71499.428281,"{""IAU"": 10, ""DBC"": 37}",2,0.356086,0.303045,-0.345884,-0.288956,-0.05089,-0.043305,0.285314,0.286468,0.717,0.846305,-0.000878,-0.001009,0.144387,0.179875,0.515375,0.467625,14.895801,16.458821,14.905026,-0.000131,-0.035488,0.04775,0.04775,0.129305,18.034185,33038140663.32702,0.0,0.148133,0.119208,0.763716,0.621264,0.0,0.191966,"노출(beta/corr) 감소, Sharpe 개선, MDD 개선","{""USO"": 76.9231, ""IAU"": 11.023, ""DBC"": 11.504, ""__CASH__"": 0.55}"
IAU + XLU,defensive|gold,PASS,PASS,30.0,3000000.0,2864884.026933,135115.973067,"{""IAU"": 10, ""XLU"": 21}",2,0.356086,0.285256,-0.345884,-0.262667,-0.05089,-0.040715,0.285314,0.29001,0.717,0.911497,-0.000878,-0.00075,0.144387,0.190378,0.515375,0.481662,19.891295,24.059175,19.994632,0.000128,-0.045991,0.033714,0.033714,0.194497,27.126542,1652371122214.9956,0.714225,0.923305,0.648026,0.635011,1.0,0.327885,0.74414,"Sharpe 개선, MDD 개선, CVaR 개선","{""USO"": 76.9231, ""IAU"": 11.023, ""XLU"": 11.0146, ""__CASH__"": 1.0394}"
IAU + XLP,defensive|gold,PASS,PASS,30.0,3000000.0,2813861.878499,186138.121501,"{""IAU"": 10, ""XLP"": 11}",2,0.356086,0.284342,-0.345884,-0.260066,-0.05089,-0.040471,0.285314,0.283965,0.717,0.893167,-0.000878,-0.000825,0.144387,0.188198,0.515375,0.477591,20.14805,24.811154,20.474031,5.4e-05,-0.043811,0.037784,0.037784,0.176168,24.570138,2019363794163.3853,0.781499,1.0,0.496518,0.672335,0.893515,0.402195,0.749523,"MDD 개선, Sharpe 개선, CVaR 개선","{""USO"": 76.9231, ""IAU"": 11.023, ""XLP"": 10.6221, ""__CASH__"": 1.4318}"
IAU + XLE,commodity_energy|gold,PASS,PASS,30.0,3000000.0,2898625.33159,101374.66841,"{""IAU"": 10, ""XLE"": 18}",2,0.356086,0.302724,-0.345884,-0.269783,-0.05089,-0.043267,0.285314,0.298827,0.717,0.888027,-0.000878,-0.000864,0.144387,0.184919,0.515375,0.5083,14.98585,22.001886,14.980082,1.4e-05,-0.040532,0.007076,0.007076,0.171028,23.853248,2019363794163.3853,0.010533,0.713479,0.415549,0.390757,0.863653,0.402195,0.375043,"Sharpe 개선, MDD 개선, Stress 방어","{""USO"": 76.9231, ""IAU"": 11.023, ""XLE"": 11.2742, ""__CASH__"": 0.7798}"
IAU + IEF,bond|gold,PASS,PASS,30.0,3000000.0,2845318.706656,154681.293344,"{""IAU"": 10, ""IEF"": 10}",2,0.356086,0.282882,-0.345884,-0.261769,-0.05089,-0.040226,0.285314,0.270928,0.717,0.851692,-0.000878,-0.000716,0.144387,0.185478,0.515375,0.442381,20.558047,24.318817,20.955229,0.000162,-0.041091,0.072994,0.072994,0.134692,18.785559,1255579678910.7893,0.849026,0.949786,0.717709,0.995188,0.652562,0.247542,0.80781,"노출(beta/corr) 감소, MDD 개선, CVaR 개선","{""USO"": 76.9231, ""IAU"": 11.023, ""IEF"": 10.8641, ""__CASH__"": 1.1899}"
IAU + TLT,bond|gold,PASS,PASS,30.0,3000000.0,2855101.320664,144898.679336,"{""IAU"": 10, ""TLT"": 11}",2,0.356086,0.281715,-0.345884,-0.262943,-0.05089,-0.040029,0.285314,0.265446,0.717,0.835757,-0.000878,-0.000789,0.144387,0.18877,0.515375,0.443155,20.885648,23.979492,21.341683,9e-05,-0.044383,0.07222,0.07222,0.118758,16.563152,2019363794163.3853,0.903257,0.915178,0.569419,0.988091,0.559989,0.402195,0.787977,"노출(beta/corr) 감소, MDD 개선, CVaR 개선","{""USO"": 76.9231, ""IAU"": 11.023, ""TLT"": 10.9394, ""__CASH__"": 1.1146}"
IAU + SHY,bond|gold,PASS,PASS,30.0,3000000.0,2886675.326921,113324.673079,"{""IAU"": 10, ""SHY"": 12}",2,0.356086,0.283928,-0.345884,-0.262524,-0.05089,-0.040419,0.285314,0.274303,0.717,0.860438,-0.000878,-0.000695,0.144387,0.186209,0.515375,0.44392,20.264171,24.100556,20.576494,0.000183,-0.041822,0.071455,0.071455,0.143438,20.005358,534241832039.15826,0.795878,0.927525,0.761353,0.981072,0.703372,0.101485,0.789851,"노출(beta/corr) 감소, MDD 개선, CVaR 개선","{""USO"": 76.9231, ""IAU"": 11.023, ""SHY"": 11.1822, ""__CASH__"": 0.8717}"
IAU + XLV,defensive|gold,PASS,PASS,30.0,3000000.0,2778685.240965,221314.759035,"{""IAU"": 10, ""XLV"": 6}",2,0.356086,0.283856,-0.345884,-0.260084,-0.05089,-0.040524,0.285314,0.282454,0.717,0.889372,-0.000878,-0.00065,0.144387,0.20003,0.515375,0.488635,20.284478,24.806056,20.369136,0.000229,-0.055643,0.02674,0.02674,0.172373,24.040855,2019363794163.3853,0.766779,0.99948,0.854373,0.571072,0.871468,0.402195,0.803507,"MDD 개선, Sharpe 개선, Stress 방어","{""USO"": 76.9231, ""IAU"": 11.023, ""XLV"": 10.3515, ""__CASH__"": 1.7024}"
IAU + ETH-USD,crypto|gold,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
GLD + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,30.0,3000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
GLD + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,30.0,3000000.0,2895139.931135,104860.068865,"{""GLD"": 2, ""DBC"": 37}",2,0.356086,0.302878,-0.345884,-0.28921,-0.05089,-0.043286,0.285314,0.285389,0.717,0.843209,-0.000878,-0.001008,0.144387,0.179661,0.515375,0.4671,14.94255,16.385246,14.942044,-0.000129,-0.035274,0.048275,0.048275,0.126209,17.602389,33038140663.32702,0.005195,0.140629,0.1222,0.768528,0.603278,0.0,0.191565,"노출(beta/corr) 감소, Sharpe 개선, MDD 개선","{""USO"": 76.9231, ""GLD"": 10.7663, ""DBC"": 11.504, ""__CASH__"": 0.8066}"
GLD + XLU,defensive|gold,PASS,PASS,30.0,3000000.0,2831523.386349,168476.613651,"{""GLD"": 2, ""XLU"": 21}",2,0.356086,0.28509,-0.345884,-0.262934,-0.05089,-0.040693,0.285314,0.288925,0.717,0.908223,-0.000878,-0.000749,0.144387,0.190152,0.515375,0.481137,19.938078,23.98214,20.038146,0.000129,-0.045765,0.034238,0.034238,0.191223,26.669899,1652371122214.9956,0.720331,0.915448,0.651018,0.639823,0.980979,0.327885,0.743883,"Sharpe 개선, MDD 개선, CVaR 개선","{""USO"": 76.9231, ""GLD"": 10.7663, ""XLU"": 11.0146, ""__CASH__"": 1.296}"
GLD + XLP,defensive|gold,PASS,PASS,30.0,3000000.0,2780501.237915,219498.762085,"{""GLD"": 2, ""XLP"": 11}",2,0.356086,0.284176,-0.345884,-0.260333,-0.05089,-0.04045,0.285314,0.282884,0.717,0.889885,-0.000878,-0.000823,0.144387,0.187968,0.515375,0.477066,20.194578,24.733994,20.514967,5.5e-05,-0.043581,0.038309,0.038309,0.172885,24.112349,2488623226120.116,0.787244,0.99213,0.499509,0.677147,0.874446,0.497211,0.753883,"MDD 개선, Sharpe 개선, CVaR 개선","{""USO"": 76.9231, ""GLD"": 10.7663, ""XLP"": 10.6221, ""__CASH__"": 1.6885}"
