candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1829855.211191,170144.788809,"{""IAU"": 6, ""DBC"": 24}",2,0.356086,0.316585,-0.345884,-0.305022,-0.05089,-0.045239,0.285314,0.283428,0.717,0.800505,-0.000878,-0.000964,0.144387,0.167611,0.515375,0.478193,11.093123,11.813683,11.104505,-8.5e-05,-0.023224,0.037182,0.037182,0.083506,11.646565,33038140663.32702,0.014177,0.133627,0.121959,0.754442,0.602296,0.0,0.191753,"노출(beta/corr) 감소, Sharpe 개선, MDD 개선","{""USO"": 83.3333, ""IAU"": 7.1649, ""DBC"": 8.0839, ""__CASH__"": 1.4179}"
IAU + XLU,defensive|gold,PASS,PASS,20.0,2000000.0,1814390.4288,185609.5712,"{""IAU"": 6, ""XLU"": 14}",2,0.356086,0.30401,-0.345884,-0.286847,-0.05089,-0.043403,0.285314,0.28674,0.717,0.844514,-0.000878,-0.000783,0.144387,0.174489,0.515375,0.489236,14.624733,17.068371,14.712114,9.6e-05,-0.030102,0.026139,0.026139,0.127514,17.784427,1652371122214.9956,0.715166,0.922169,0.648303,0.621882,1.0,0.327885,0.742985,"Sharpe 개선, MDD 개선, CVaR 개선","{""USO"": 83.3333, ""IAU"": 7.1649, ""XLU"": 7.955, ""__CASH__"": 1.5467}"
IAU + XLP,defensive|gold,PASS,PASS,20.0,2000000.0,1738530.874051,261469.125949,"{""IAU"": 6, ""XLP"": 7}",2,0.356086,0.303309,-0.345884,-0.285172,-0.05089,-0.043189,0.285314,0.281726,0.717,0.829933,-0.000878,-0.000833,0.144387,0.17235,0.515375,0.484446,14.821612,17.55272,15.133667,4.6e-05,-0.027963,0.030929,0.030929,0.112933,15.750776,2019363794163.3853,0.797077,0.994852,0.502704,0.679382,0.868229,0.402195,0.753359,"MDD 개선, Sharpe 개선, CVaR 개선","{""USO"": 83.3333, ""IAU"": 7.1649, ""XLP"": 7.3228, ""__CASH__"": 2.1789}"
IAU + XLE,commodity_energy|gold,PASS,PASS,20.0,2000000.0,1836884.631904,163115.368096,"{""IAU"": 6, ""XLE"": 12}",2,0.356086,0.316696,-0.345884,-0.291999,-0.05089,-0.045276,0.285314,0.292786,0.717,0.829774,-0.000878,-0.000865,0.144387,0.17114,0.515375,0.508475,11.061947,15.578814,11.031541,1.4e-05,-0.026753,0.0069,0.0069,0.112774,15.72867,2019363794163.3853,0.0,0.698639,0.40973,0.390944,0.866797,0.402195,0.367558,"Sharpe 개선, MDD 개선, Stress 방어","{""USO"": 83.3333, ""IAU"": 7.1649, ""XLE"": 8.1425, ""__CASH__"": 1.3593}"
IAU + IEF,bond|gold,PASS,PASS,20.0,2000000.0,1848424.710926,151575.289074,"{""IAU"": 6, ""IEF"": 7}",2,0.356086,0.302483,-0.345884,-0.286111,-0.05089,-0.043045,0.285314,0.273202,0.717,0.804021,-0.000878,-0.000758,0.144387,0.171723,0.515375,0.461631,15.053621,17.281261,15.415419,0.00012,-0.027336,0.053745,0.053745,0.087022,12.136957,1255579678910.7893,0.851824,0.954116,0.720292,0.953256,0.634071,0.247542,0.80413,"MDD 개선, 노출(beta/corr) 감소, CVaR 개선","{""USO"": 83.3333, ""IAU"": 7.1649, ""IEF"": 8.2386, ""__CASH__"": 1.2631}"
IAU + TLT,bond|gold,PASS,PASS,20.0,2000000.0,1764774.155428,235225.844572,"{""IAU"": 6, ""TLT"": 7}",2,0.356086,0.301397,-0.345884,-0.28701,-0.05089,-0.042872,0.285314,0.269037,0.717,0.793097,-0.000878,-0.000808,0.144387,0.172614,0.515375,0.460706,15.35851,17.021467,15.75635,7e-05,-0.028227,0.054669,0.054669,0.076098,10.613358,2019363794163.3853,0.918069,0.91513,0.574116,0.964353,0.535349,0.402195,0.789254,"노출(beta/corr) 감소, CVaR 개선, MDD 개선","{""USO"": 83.3333, ""IAU"": 7.1649, ""TLT"": 7.5415, ""__CASH__"": 1.9602}"
IAU + SHY,bond|gold,PASS,PASS,20.0,2000000.0,1828917.962125,171082.037875,"{""IAU"": 6, ""SHY"": 8}",2,0.356086,0.303204,-0.345884,-0.286756,-0.05089,-0.043202,0.285314,0.275371,0.717,0.809261,-0.000878,-0.000743,0.144387,0.171609,0.515375,0.461979,14.851085,17.094781,15.10756,0.000136,-0.027222,0.053397,0.053397,0.092262,12.867753,534241832039.15826,0.792004,0.926132,0.764602,0.949077,0.681423,0.101485,0.783472,"노출(beta/corr) 감소, MDD 개선, CVaR 개선","{""USO"": 83.3333, ""IAU"": 7.1649, ""SHY"": 8.0761, ""__CASH__"": 1.4257}"
IAU + XLV,defensive|gold,PASS,PASS,20.0,2000000.0,1756924.571488,243075.428512,"{""IAU"": 6, ""XLV"": 4}",2,0.356086,0.303087,-0.345884,-0.285053,-0.05089,-0.043282,0.285314,0.281283,0.717,0.829081,-0.000878,-0.00071,0.144387,0.18097,0.515375,0.494272,14.883967,17.587023,14.950962,0.000169,-0.036583,0.021103,0.021103,0.112081,15.631945,2019363794163.3853,0.761576,1.0,0.860061,0.561429,0.86053,0.402195,0.800869,"MDD 개선, Sharpe 개선, Stress 방어","{""USO"": 83.3333, ""IAU"": 7.1649, ""XLV"": 7.4761, ""__CASH__"": 2.0256}"
IAU + ETH-USD,crypto|gold,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
