candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,PASS,PASS,20.0,2000000.0,1789963.057968,210036.942032,"{""IAU"": 6, ""USO"": 6}",2,0.180227,0.161304,-0.17065,-0.140887,-0.025523,-0.023248,0.19134,0.211232,0.895206,1.123547,-0.001187,-0.001087,0.299324,0.33464,0.439144,0.422015,10.499508,17.441063,8.913323,0.0001,-0.035316,0.017129,0.017129,0.228342,25.507173,1970411033369.56,0.509263,0.989142,0.512271,0.666242,1.0,0.392282,0.664763,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""KO"": 83.3333, ""IAU"": 7.1649, ""USO"": 7.7514, ""__CASH__"": 1.7503}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1829855.211191,170144.788809,"{""IAU"": 6, ""DBC"": 24}",2,0.180227,0.159405,-0.17065,-0.14709,-0.025523,-0.022924,0.19134,0.202428,0.895206,1.081701,-0.001187,-0.001221,0.299324,0.351111,0.439144,0.414668,11.553192,13.806321,10.183457,-3.4e-05,-0.051787,0.024477,0.024477,0.186495,20.832684,33038140663.32702,0.69726,0.749987,0.121959,0.754442,0.842147,0.0,0.578089,"Sharpe 개선, 노출(beta/corr) 감소, MDD 개선","{""KO"": 83.3333, ""IAU"": 7.1649, ""DBC"": 8.0839, ""__CASH__"": 1.4179}"
IAU + XLU,defensive|gold,PASS,PASS,20.0,2000000.0,1814390.4288,185609.5712,"{""IAU"": 6, ""XLU"": 14}",2,0.180227,0.163217,-0.17065,-0.161058,-0.025523,-0.023265,0.19134,0.200077,0.895206,1.04203,-0.001187,-0.00104,0.299324,0.352717,0.439144,0.425711,9.437742,5.621119,8.847671,0.000147,-0.053393,0.013434,0.013434,0.146825,16.401209,1652371122214.9956,0.499546,0.211425,0.648303,0.621882,0.692501,0.327885,0.494619,"Sharpe 개선, Stress 방어, 노출(beta/corr) 감소","{""KO"": 83.3333, ""IAU"": 7.1649, ""XLU"": 7.955, ""__CASH__"": 1.5467}"
IAU + XLP,defensive|gold,PASS,PASS,20.0,2000000.0,1738530.874051,261469.125949,"{""IAU"": 6, ""XLP"": 7}",2,0.180227,0.163729,-0.17065,-0.156918,-0.025523,-0.023423,0.19134,0.195034,0.895206,1.007973,-0.001187,-0.00109,0.299324,0.340667,0.439144,0.420921,9.153916,8.046658,8.227541,9.7e-05,-0.041343,0.018224,0.018224,0.112768,12.596841,2019363794163.3853,0.407758,0.371018,0.502704,0.679382,0.564032,0.402195,0.461911,"노출(beta/corr) 감소, Sharpe 개선, Stress 방어","{""KO"": 83.3333, ""IAU"": 7.1649, ""XLP"": 7.3228, ""__CASH__"": 2.1789}"
IAU + XLE,commodity_energy|gold,FAIL,FAIL: beta/corr 감소 미달,20.0,2000000.0,1836884.631904,163115.368096,"{""IAU"": 6, ""XLE"": 12}",2,0.180227,0.162015,-0.17065,-0.146139,-0.025523,-0.023281,0.19134,0.210736,0.895206,1.115551,-0.001187,-0.001122,0.299324,0.348756,0.439144,0.444949,10.104578,14.363522,8.785212,6.5e-05,-0.049432,-0.005805,-0.005805,0.220345,24.613926,2019363794163.3853,0.490301,0.786649,0.40973,0.390944,0.969836,0.402195,0.567069,"Sharpe 개선, MDD 개선, CVaR 개선","{""KO"": 83.3333, ""IAU"": 7.1649, ""XLE"": 8.1425, ""__CASH__"": 1.3593}"
IAU + IEF,bond|gold,PASS,PASS,20.0,2000000.0,1848424.710926,151575.289074,"{""IAU"": 6, ""IEF"": 7}",2,0.180227,0.158468,-0.17065,-0.153435,-0.025523,-0.022603,0.19134,0.187792,0.895206,0.995731,-0.001187,-0.001015,0.299324,0.34966,0.439144,0.398105,12.072608,10.087894,11.441202,0.000172,-0.050336,0.04104,0.04104,0.100525,11.229303,1255579678910.7893,0.883424,0.505325,0.720292,0.953256,0.517851,0.247542,0.71381,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""KO"": 83.3333, ""IAU"": 7.1649, ""IEF"": 8.2386, ""__CASH__"": 1.2631}"
IAU + TLT,bond|gold,PASS,PASS,20.0,2000000.0,1764774.155428,235225.844572,"{""IAU"": 6, ""TLT"": 7}",2,0.180227,0.158507,-0.17065,-0.15925,-0.025523,-0.022538,0.19134,0.183508,0.895206,0.968458,-0.001187,-0.001065,0.299324,0.351985,0.439144,0.39718,12.051086,6.680645,11.695784,0.000122,-0.052662,0.041964,0.041964,0.073252,8.182692,2019363794163.3853,0.921105,0.281139,0.574116,0.964353,0.41497,0.402195,0.65148,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""KO"": 83.3333, ""IAU"": 7.1649, ""TLT"": 7.5415, ""__CASH__"": 1.9602}"
IAU + SHY,bond|gold,PASS,PASS,20.0,2000000.0,1828917.962125,171082.037875,"{""IAU"": 6, ""SHY"": 8}",2,0.180227,0.158107,-0.17065,-0.148547,-0.025523,-0.022557,0.19134,0.190147,0.895206,1.012903,-0.001187,-0.001,0.299324,0.350041,0.439144,0.398453,12.273014,12.952375,11.623254,0.000187,-0.050717,0.040691,0.040691,0.117697,13.147526,534241832039.15826,0.91037,0.6938,0.764602,0.949077,0.582628,0.101485,0.768554,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""KO"": 83.3333, ""IAU"": 7.1649, ""SHY"": 8.0761, ""__CASH__"": 1.4257}"
IAU + XLV,defensive|gold,PASS,PASS,20.0,2000000.0,1756924.571488,243075.428512,"{""IAU"": 6, ""XLV"": 4}",2,0.180227,0.161594,-0.17065,-0.150804,-0.025523,-0.023095,0.19134,0.194963,0.895206,1.020844,-0.001187,-0.000967,0.299324,0.363479,0.439144,0.430747,10.338131,11.629921,9.51247,0.00022,-0.064156,0.008398,0.008398,0.125638,14.034575,2019363794163.3853,0.597945,0.606786,0.860061,0.561429,0.612582,0.402195,0.640161,"Stress 방어, Sharpe 개선, MDD 개선","{""KO"": 83.3333, ""IAU"": 7.1649, ""XLV"": 7.4761, ""__CASH__"": 2.0256}"
