candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,2000000.0,1789963.057968,210036.942032,"{""IAU"": 6, ""USO"": 6}",2,0.184038,0.176611,-0.126908,-0.117458,-0.024964,-0.023999,0.313278,0.311086,1.539235,1.591559,-0.000407,-0.000437,0.246325,0.252187,0.225365,0.243865,4.036031,7.446083,3.864455,-3e-05,-0.005862,-0.018501,-0.005862,0.052324,3.399355,1970411033369.56,0.0,0.11696,0.512271,0.739932,0.652406,0.500126,0.290086,"노출(beta/corr) 감소, Sharpe 개선, Stress 방어","{""GLD"": 83.3333, ""IAU"": 7.1649, ""USO"": 7.7514, ""__CASH__"": 1.7503}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,2000000.0,1829855.211191,170144.788809,"{""IAU"": 6, ""DBC"": 24}",2,0.184038,0.175221,-0.126908,-0.119438,-0.024964,-0.023889,0.313278,0.301466,1.539235,1.549277,-0.000407,-0.000571,0.246325,0.254384,0.225365,0.236518,4.790956,5.885759,4.307516,-0.000164,-0.008059,-0.011153,-0.008059,0.010042,0.652401,33038140663.32702,0.052879,0.0,0.121959,0.69308,0.42948,0.0,0.155156,"노출(beta/corr) 감소, Sharpe 개선, Stress 방어","{""GLD"": 83.3333, ""IAU"": 7.1649, ""DBC"": 8.0839, ""__CASH__"": 1.4179}"
IAU + XLU,defensive|gold,FAIL,FAIL: beta/corr 감소 미달,20.0,2000000.0,1814390.4288,185609.5712,"{""IAU"": 6, ""XLU"": 14}",2,0.184038,0.171849,-0.126908,-0.115248,-0.024964,-0.023263,0.313278,0.300481,1.539235,1.573952,-0.000407,-0.00039,0.246325,0.263038,0.225365,0.247561,6.623563,9.1874,6.815295,1.7e-05,-0.016713,-0.022196,-0.016713,0.034717,2.255451,1652371122214.9956,0.352182,0.247488,0.648303,0.508535,0.559573,0.418025,0.430134,"Stress 방어, Sharpe 개선, 노출(beta/corr) 감소","{""GLD"": 83.3333, ""IAU"": 7.1649, ""XLU"": 7.955, ""__CASH__"": 1.5467}"
IAU + XLP,defensive|gold,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,2000000.0,1738530.874051,261469.125949,"{""IAU"": 6, ""XLP"": 7}",2,0.184038,0.170171,-0.126908,-0.112117,-0.024964,-0.023128,0.313278,0.295503,1.539235,1.560216,-0.000407,-0.00044,0.246325,0.261646,0.225365,0.242771,7.535143,11.654946,7.356317,-3.3e-05,-0.01532,-0.017406,-0.01532,0.020981,1.363063,2019363794163.3853,0.416753,0.432452,0.502704,0.53823,0.487153,0.512763,0.461071,"노출(beta/corr) 감소, 유동성 양호, Stress 방어","{""GLD"": 83.3333, ""IAU"": 7.1649, ""XLP"": 7.3228, ""__CASH__"": 2.1789}"
IAU + XLE,commodity_energy|gold,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,20.0,2000000.0,1836884.631904,163115.368096,"{""IAU"": 6, ""XLE"": 12}",2,0.184038,0.173665,-0.126908,-0.114634,-0.024964,-0.023659,0.313278,0.311368,1.539235,1.620177,-0.000407,-0.000472,0.246325,0.260742,0.225365,0.2668,5.636494,9.671403,5.226039,-6.5e-05,-0.014416,-0.041435,-0.014416,0.080942,5.258593,2019363794163.3853,0.162504,0.283768,0.40973,0.557513,0.80329,0.512763,0.357295,"Sharpe 개선, 노출(beta/corr) 감소, 유동성 양호","{""GLD"": 83.3333, ""IAU"": 7.1649, ""XLE"": 8.1425, ""__CASH__"": 1.3593}"
IAU + IEF,bond|gold,PASS,PASS,20.0,2000000.0,1848424.710926,151575.289074,"{""IAU"": 6, ""IEF"": 7}",2,0.184038,0.171047,-0.126908,-0.114449,-0.024964,-0.023235,0.313278,0.286366,1.539235,1.498807,-0.000407,-0.000365,0.246325,0.261559,0.225365,0.219955,7.059197,9.816801,6.924787,4.2e-05,-0.015234,0.00541,0.00541,-0.040428,-2.626494,1255579678910.7893,0.36525,0.294667,0.720292,0.980287,0.163384,0.315595,0.460976,"노출(beta/corr) 감소, Stress 방어, CVaR 개선","{""GLD"": 83.3333, ""IAU"": 7.1649, ""IEF"": 8.2386, ""__CASH__"": 1.2631}"
IAU + TLT,bond|gold,FAIL,FAIL: Stress 개선 미달,20.0,2000000.0,1764774.155428,235225.844572,"{""IAU"": 6, ""TLT"": 7}",2,0.184038,0.171443,-0.126908,-0.116948,-0.024964,-0.023229,0.313278,0.281647,1.539235,1.467819,-0.000407,-0.000415,0.246325,0.262326,0.225365,0.219031,6.844048,7.847756,6.951728,-8e-06,-0.016001,0.006334,0.006334,-0.071417,-4.639754,2019363794163.3853,0.368465,0.147069,0.574116,1.0,0.0,0.512763,0.398838,"노출(beta/corr) 감소, Stress 방어, 유동성 양호","{""GLD"": 83.3333, ""IAU"": 7.1649, ""TLT"": 7.5415, ""__CASH__"": 1.9602}"
IAU + SHY,bond|gold,PASS,PASS,20.0,2000000.0,1828917.962125,171082.037875,"{""IAU"": 6, ""SHY"": 8}",2,0.184038,0.170031,-0.126908,-0.114217,-0.024964,-0.023113,0.313278,0.289066,1.539235,1.523639,-0.000407,-0.00035,0.246325,0.26167,0.225365,0.220303,7.611021,9.999637,7.415461,5.7e-05,-0.015345,0.005061,0.005061,-0.015597,-1.013279,534241832039.15826,0.423811,0.308372,0.764602,0.972863,0.294303,0.129384,0.496115,"노출(beta/corr) 감소, Stress 방어, CVaR 개선","{""GLD"": 83.3333, ""IAU"": 7.1649, ""SHY"": 8.0761, ""__CASH__"": 1.4257}"
IAU + XLV,defensive|gold,FAIL,FAIL: beta/corr 감소 미달,20.0,2000000.0,1756924.571488,243075.428512,"{""IAU"": 6, ""XLV"": 4}",2,0.184038,0.169956,-0.126908,-0.11324,-0.024964,-0.023068,0.313278,0.295019,1.539235,1.55934,-0.000407,-0.000317,0.246325,0.270106,0.225365,0.252597,7.652068,10.769993,7.593842,9e-05,-0.023781,-0.027232,-0.023781,0.020105,1.306143,2019363794163.3853,0.445101,0.366117,0.860061,0.357815,0.482533,0.512763,0.510694,"Stress 방어, 유동성 양호, Sharpe 개선","{""GLD"": 83.3333, ""IAU"": 7.1649, ""XLV"": 7.4761, ""__CASH__"": 2.0256}"
IAU + ETH-USD,crypto|gold,FAIL,FAIL: 예산 부족 - ETH-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + USO,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + DBC,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLU,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLP,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLE,commodity_energy|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + IEF,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + TLT,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + SHY,bond|crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
BTC-USD + XLV,crypto|defensive,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
